res_expno,res_lbl_score,res_tst_score
0,0.81259,0.84803
1,0.89994,0.80909
2,0.87622,0.80773
3,0.85484,0.89832
4,0.89149,0.81612
5,0.85608,0.83234
6,0.89655,0.82477
7,0.81521,0.94402
8,0.82934,0.83478
9,0.84577,0.87317
10,0.86184,0.84127
11,0.85681,0.83478
12,0.8915,0.80909
13,0.90027,0.83099
14,0.88275,0.85965
15,0.87927,0.83775
16,0.87391,0.87723
17,0.89051,0.81639
18,0.8548,0.90481
19,0.88478,0.76933
20,0.82884,0.8583
21,0.87933,0.85046
22,0.87,0.88372
23,0.89269,0.84938
24,0.90461,0.83856
25,0.84326,0.80665
26,0.87217,0.88345
27,0.87756,0.87101
28,0.86138,0.83207
29,0.87799,0.81882
30,0.90484,0.81612
31,0.82813,0.86696
32,0.90409,0.81855
33,0.86064,0.87885
34,0.85928,0.8729
35,0.87849,0.84045
36,0.86162,0.86371
37,0.90588,0.78259
38,0.7968,0.90346
39,0.82205,0.8729
40,0.90097,0.83423
41,0.90719,0.79448
42,0.8628,0.82774
43,0.8327,0.89156
44,0.88096,0.79611
45,0.8574,0.87831
46,0.8723,0.83883
47,0.81725,0.91157
48,0.8794,0.79611
49,0.85161,0.85641
50,0.83761,0.88129
51,0.84036,0.81747
52,0.91928,0.82396
53,0.82888,0.86668
54,0.81599,0.89913
55,0.9444,0.81152
56,0.89103,0.82153
57,0.85778,0.85046
58,0.83544,0.85019
59,0.85872,0.80827
60,0.8663,0.84235
61,0.87615,0.82747
62,0.87093,0.87561
63,0.90186,0.84154
64,0.89683,0.84072
65,0.88608,0.8172
66,0.88519,0.86804
67,0.87976,0.87155
68,0.87499,0.8656
69,0.84881,0.8867
70,0.88794,0.84451
71,0.87416,0.8464
72,0.88252,0.86831
73,0.90358,0.85965
74,0.87873,0.82396
75,0.92597,0.81125
76,0.92689,0.80827
77,0.86007,0.9059
78,0.90468,0.84343
79,0.86747,0.82693
80,0.89433,0.82207
81,0.8954,0.83153
82,0.84811,0.89913
83,0.90881,0.87561
84,0.87798,0.87507
85,0.92152,0.83694
86,0.8257,0.88832
87,0.88045,0.84127
88,0.82917,0.87372
89,0.86006,0.84586
90,0.84455,0.89454
91,0.84265,0.90103
92,0.92276,0.7861
93,0.85781,0.8391
94,0.88733,0.80882
95,0.90386,0.83964
96,0.88372,0.88318
97,0.85128,0.85046
98,0.90689,0.74094
99,0.83286,0.88291
100,0.89119,0.82774
101,0.83783,0.85479
102,0.87167,0.84721
103,0.87665,0.8172
104,0.84388,0.86506
105,0.91482,0.80692
106,0.89008,0.86074
107,0.87826,0.84045
108,0.91527,0.80692
109,0.81983,0.86182
110,0.87574,0.8272
111,0.92565,0.84478
112,0.95532,0.7377
113,0.90636,0.79881
114,0.86813,0.88345
115,0.84267,0.93997
116,0.89739,0.83126
117,0.81664,0.85884
118,0.87084,0.87588
119,0.88178,0.85857
120,0.87399,0.8556
121,0.88998,0.84532
122,0.92403,0.80151
123,0.85388,0.87885
124,0.84298,0.84911
125,0.86345,0.84992
126,0.89341,0.85019
127,0.86057,0.85506
128,0.86526,0.84072
129,0.9088,0.72904
130,0.88778,0.8921
131,0.88299,0.84289
132,0.8853,0.81044
133,0.88978,0.81693
134,0.85496,0.87885
135,0.84622,0.90022
136,0.93105,0.73094
137,0.87769,0.82261
138,0.86221,0.87345
139,0.90853,0.83802
140,0.80512,0.90725
141,0.89652,0.79313
142,0.89838,0.841
143,0.84609,0.89562
144,0.89934,0.86398
145,0.86809,0.88318
146,0.8489,0.89508
147,0.91959,0.80584
148,0.89475,0.82125
149,0.83068,0.87345
