res_expno,res_lbl_score,res_tst_score
0,0.83626,0.8629
1,0.91369,0.81774
2,0.90519,0.85749
3,0.85592,0.87317
4,0.86607,0.83991
5,0.85185,0.82125
6,0.88982,0.83613
7,0.89489,0.8867
8,0.81069,0.83829
9,0.84383,0.81747
10,0.87602,0.83045
11,0.86937,0.78664
12,0.89186,0.81449
13,0.87396,0.76366
14,0.87405,0.80395
15,0.89038,0.83478
16,0.86029,0.85911
17,0.90906,0.8172
18,0.82895,0.8748
19,0.89828,0.83342
20,0.85107,0.86047
21,0.86812,0.88102
22,0.8442,0.86966
23,0.90396,0.8583
24,0.90687,0.82234
25,0.87325,0.78313
26,0.86908,0.86668
27,0.92058,0.83829
28,0.92694,0.8483
29,0.88127,0.83964
30,0.88831,0.77096
31,0.80519,0.73202
32,0.8705,0.81639
33,0.8615,0.87912
34,0.83788,0.89346
35,0.86577,0.8364
36,0.83383,0.85911
37,0.90084,0.81666
38,0.89655,0.88129
39,0.85315,0.86371
40,0.89525,0.83423
41,0.90006,0.79557
42,0.83398,0.85911
43,0.80711,0.88534
44,0.88229,0.79151
45,0.85352,0.88318
46,0.85654,0.81828
47,0.84092,0.90914
48,0.93635,0.80449
49,0.85323,0.86317
50,0.86666,0.85316
51,0.8901,0.85046
52,0.92397,0.81612
53,0.85095,0.86344
54,0.84006,0.9086
55,0.94438,0.81504
56,0.86775,0.84424
57,0.86632,0.86452
58,0.87292,0.8272
59,0.89791,0.81125
60,0.85894,0.86155
61,0.8779,0.84586
62,0.85007,0.88588
63,0.91227,0.84181
64,0.89756,0.86317
65,0.86773,0.84181
66,0.84299,0.88345
67,0.87152,0.86155
68,0.8657,0.87723
69,0.87815,0.89346
70,0.86156,0.83099
71,0.86598,0.86371
72,0.89393,0.86317
73,0.89441,0.8775
74,0.91944,0.84154
75,0.92191,0.80936
76,0.94036,0.81693
77,0.84535,0.88778
78,0.9167,0.83856
79,0.85293,0.82261
80,0.90251,0.81206
81,0.90068,0.84045
82,0.81295,0.8629
83,0.91176,0.84154
84,0.90231,0.85749
85,0.92114,0.84181
86,0.88173,0.90265
87,0.87677,0.85398
88,0.86446,0.86831
89,0.89365,0.84289
90,0.88706,0.84694
91,0.86675,0.88264
92,0.89642,0.83694
93,0.85521,0.84072
94,0.85143,0.81422
95,0.9052,0.83775
96,0.858,0.88237
97,0.89772,0.82207
98,0.94027,0.75068
99,0.8627,0.86209
100,0.86484,0.79097
101,0.85033,0.87777
102,0.86893,0.82639
103,0.86867,0.83991
104,0.84445,0.81612
105,0.92423,0.80638
106,0.85391,0.83883
107,0.85392,0.81882
108,0.88649,0.81693
109,0.82652,0.85803
110,0.88081,0.81882
111,0.9177,0.83937
112,0.94159,0.7642
113,0.90035,0.76961
114,0.87797,0.88021
115,0.85833,0.92023
116,0.87902,0.77853
117,0.89163,0.83775
118,0.88549,0.85776
119,0.86473,0.86263
120,0.88907,0.82288
121,0.90113,0.86479
122,0.91482,0.77123
123,0.86209,0.90454
124,0.90076,0.88426
125,0.84619,0.86479
126,0.87885,0.86641
127,0.92703,0.84154
128,0.87664,0.86614
129,0.90423,0.72634
130,0.88083,0.84018
131,0.89951,0.83369
132,0.87147,0.84018
133,0.88978,0.82612
134,0.85336,0.89589
135,0.86214,0.87994
136,0.90516,0.72823
137,0.86997,0.84208
138,0.86791,0.84289
139,0.89509,0.82234
140,0.8081,0.86317
141,0.89287,0.79421
142,0.87471,0.85506
143,0.82559,0.92131
144,0.87945,0.88075
145,0.83144,0.92023
146,0.8468,0.89346
147,0.9206,0.79746
148,0.89336,0.83937
149,0.80926,0.83991
