res_expno,res_lbl_score,res_tst_score
0,0.97674,0.83315
1,0.97674,0.83964
2,0.97674,0.84397
3,0.97674,0.89237
4,0.97674,0.80151
5,0.97674,0.83261
6,0.97674,0.80043
7,0.97674,0.86317
8,0.97674,0.86506
9,0.97674,0.88102
10,0.97674,0.8483
11,0.97674,0.81449
12,0.97674,0.81017
13,0.97674,0.84235
14,0.97674,0.83937
15,0.97674,0.8245
16,0.97674,0.86047
17,0.97674,0.80936
18,0.97674,0.9013
19,0.97674,0.79205
20,0.97674,0.89346
21,0.97674,0.8537
22,0.97674,0.86182
23,0.97674,0.83694
24,0.97674,0.85614
25,0.97674,0.81071
26,0.97674,0.86533
27,0.97674,0.85181
28,0.97627,0.85749
29,0.97674,0.79286
30,0.97674,0.83288
31,0.97674,0.86263
32,0.97674,0.82044
33,0.97674,0.85289
34,0.97674,0.87939
35,0.97625,0.84072
36,0.97674,0.86047
37,0.97674,0.7742
38,0.97674,0.87101
39,0.97624,0.82207
40,0.97674,0.83478
41,0.9758,0.79557
42,0.97674,0.79935
43,0.97674,0.86939
44,0.97674,0.80584
45,0.97674,0.85479
46,0.97674,0.84667
47,0.97674,0.904
48,0.97613,0.80665
49,0.97674,0.83721
50,0.97624,0.82774
51,0.97608,0.82504
52,0.97674,0.82017
53,0.97674,0.86425
54,0.97674,0.86155
55,0.97674,0.82856
56,0.97674,0.81612
57,0.97674,0.85749
58,0.97674,0.82125
59,0.97674,0.841
60,0.97674,0.83045
61,0.97674,0.81882
62,0.97587,0.87723
63,0.97674,0.81747
64,0.97674,0.86047
65,0.97674,0.76501
66,0.97674,0.85641
67,0.97674,0.86317
68,0.97624,0.86506
69,0.97674,0.94132
70,0.97674,0.85938
71,0.97674,0.81422
72,0.97674,0.87588
73,0.97627,0.84316
74,0.97674,0.82802
75,0.97674,0.82504
76,0.97674,0.82098
77,0.97674,0.86912
78,0.97627,0.85398
79,0.97674,0.81152
80,0.97674,0.79746
81,0.97623,0.81801
82,0.97623,0.87777
83,0.97674,0.85046
84,0.97674,0.86398
85,0.97674,0.85722
86,0.9763,0.90833
87,0.97674,0.84154
88,0.97674,0.87723
89,0.97674,0.8583
90,0.97674,0.90076
91,0.97674,0.85857
92,0.97674,0.80395
93,0.97674,0.83721
94,0.97674,0.80936
95,0.97674,0.83856
96,0.97674,0.8821
97,0.97674,0.84532
98,0.97674,0.74932
99,0.97674,0.88561
100,0.97674,0.83991
101,0.97674,0.86236
102,0.97674,0.84181
103,0.97674,0.82612
104,0.97569,0.83288
105,0.97674,0.76312
106,0.97674,0.85695
107,0.97674,0.83099
108,0.97674,0.82856
109,0.97674,0.87399
110,0.97674,0.83586
111,0.97674,0.84667
112,0.97674,0.74473
113,0.97674,0.77555
114,0.97674,0.86452
115,0.97674,0.90617
116,0.97674,0.78799
117,0.97674,0.83423
118,0.97674,0.84776
119,0.97674,0.86182
120,0.97674,0.8364
121,0.97674,0.86939
122,0.97674,0.74932
123,0.97674,0.88237
124,0.97674,0.8483
125,0.97674,0.85262
126,0.97674,0.84072
127,0.97674,0.86155
128,0.97674,0.85154
129,0.97674,0.74851
130,0.97674,0.88372
131,0.97674,0.86155
132,0.97674,0.81233
133,0.97674,0.81612
134,0.97674,0.88264
135,0.97624,0.89805
136,0.97674,0.74905
137,0.97674,0.79908
138,0.97674,0.87912
139,0.97674,0.83802
140,0.97674,0.90427
141,0.97674,0.82504
142,0.97674,0.83964
143,0.97674,0.8867
144,0.97674,0.86019
145,0.97674,0.88967
146,0.97674,0.86506
147,0.97674,0.78664
148,0.97674,0.82856
149,0.97674,0.8629
