res_expno,res_lbl_score,res_tst_score
0,0.83997,0.85452
1,0.92133,0.81774
2,0.8611,0.84072
3,0.85186,0.86777
4,0.85364,0.83586
5,0.85704,0.82153
6,0.90573,0.81666
7,0.82319,0.93753
8,0.84766,0.81855
9,0.8504,0.8537
10,0.88119,0.84235
11,0.89559,0.8245
12,0.85822,0.85181
13,0.92869,0.8126
14,0.8684,0.8483
15,0.91572,0.83018
16,0.88246,0.86614
17,0.9059,0.82071
18,0.81404,0.85992
19,0.93726,0.79746
20,0.83262,0.84478
21,0.86202,0.86128
22,0.85717,0.8675
23,0.90167,0.84992
24,0.9093,0.83369
25,0.86787,0.79962
26,0.85172,0.85857
27,0.88087,0.86019
28,0.85407,0.83153
29,0.87395,0.8318
30,0.86402,0.78583
31,0.83327,0.85127
32,0.88749,0.84938
33,0.86793,0.88399
34,0.83158,0.86209
35,0.86377,0.84316
36,0.87118,0.85776
37,0.92275,0.79773
38,0.79136,0.88994
39,0.84191,0.85722
40,0.86525,0.83802
41,0.90368,0.79448
42,0.86075,0.81476
43,0.79635,0.89373
44,0.87999,0.79638
45,0.83043,0.89643
46,0.86623,0.80097
47,0.8161,0.92347
48,0.85588,0.79232
49,0.82669,0.84505
50,0.84372,0.86506
51,0.84948,0.81747
52,0.90978,0.83586
53,0.86854,0.8675
54,0.82839,0.86344
55,0.90081,0.81801
56,0.88245,0.82044
57,0.87366,0.8537
58,0.84345,0.85587
59,0.87008,0.8099
60,0.87822,0.84072
61,0.88031,0.841
62,0.81469,0.88156
63,0.89734,0.84208
64,0.90556,0.83829
65,0.91393,0.7907
66,0.87878,0.87696
67,0.90935,0.80882
68,0.81481,0.87453
69,0.82905,0.88183
70,0.88703,0.84667
71,0.84537,0.88588
72,0.83213,0.84667
73,0.86473,0.88129
74,0.8512,0.8364
75,0.92751,0.81341
76,0.87406,0.82396
77,0.87679,0.90617
78,0.83946,0.83937
79,0.86484,0.82125
80,0.85814,0.82098
81,0.89777,0.83748
82,0.8096,0.85154
83,0.87517,0.82747
84,0.88501,0.85776
85,0.87095,0.85749
86,0.82674,0.88994
87,0.86748,0.85911
88,0.85632,0.87534
89,0.86723,0.80773
90,0.81392,0.88318
91,0.83879,0.904
92,0.93317,0.79097
93,0.86923,0.83991
94,0.88075,0.81368
95,0.84445,0.83667
96,0.898,0.87426
97,0.85332,0.83315
98,0.87793,0.73932
99,0.85357,0.88615
100,0.84497,0.78448
101,0.82573,0.8729
102,0.88021,0.85262
103,0.889,0.81774
104,0.85622,0.80368
105,0.84949,0.8391
106,0.86598,0.82369
107,0.86983,0.83991
108,0.88032,0.81882
109,0.82945,0.86236
110,0.8738,0.85235
111,0.92795,0.84857
112,0.93184,0.75744
113,0.90539,0.79638
114,0.87934,0.88886
115,0.8257,0.91184
116,0.92983,0.82369
117,0.80336,0.86047
118,0.88516,0.84127
119,0.87227,0.83721
120,0.89963,0.84613
121,0.87883,0.84478
122,0.9424,0.75149
123,0.87844,0.89508
124,0.87092,0.85695
125,0.84788,0.84857
126,0.86096,0.85884
127,0.89315,0.83991
128,0.87493,0.83126
129,0.92357,0.72904
130,0.84533,0.86452
131,0.87141,0.84505
132,0.89815,0.80016
133,0.89654,0.81693
134,0.85635,0.85398
135,0.82606,0.88724
136,0.94092,0.74067
137,0.84972,0.83937
138,0.85121,0.83613
139,0.85178,0.84018
140,0.83622,0.87804
141,0.863,0.77069
142,0.90559,0.84154
143,0.80247,0.92374
144,0.87849,0.82612
145,0.86719,0.89589
146,0.88136,0.88778
147,0.8793,0.82044
148,0.83856,0.84478
149,0.84542,0.86425
