res_expno,res_lbl_score,res_tst_score
0,0.97608,0.84127
1,0.97674,0.84072
2,0.97631,0.84478
3,0.97674,0.87939
4,0.97674,0.8126
5,0.97674,0.82504
6,0.97674,0.79151
7,0.97674,0.87074
8,0.97674,0.85857
9,0.97674,0.8729
10,0.97674,0.85127
11,0.97674,0.80206
12,0.97674,0.83991
13,0.97674,0.82802
14,0.97674,0.84803
15,0.97674,0.82342
16,0.97674,0.85965
17,0.97674,0.81395
18,0.97674,0.90292
19,0.97616,0.79421
20,0.97674,0.88021
21,0.97674,0.85208
22,0.97634,0.86182
23,0.97674,0.84992
24,0.97674,0.85452
25,0.97674,0.81395
26,0.97674,0.8702
27,0.97674,0.84424
28,0.97674,0.85614
29,0.97674,0.80097
30,0.97674,0.83883
31,0.97674,0.84072
32,0.97674,0.80773
33,0.97674,0.85668
34,0.97674,0.88561
35,0.97625,0.84045
36,0.97674,0.85776
37,0.97674,0.77582
38,0.97674,0.83964
39,0.97624,0.82802
40,0.97674,0.83748
41,0.9758,0.7934
42,0.97674,0.79854
43,0.97674,0.87155
44,0.97674,0.80909
45,0.97674,0.84938
46,0.97674,0.84992
47,0.97674,0.89724
48,0.97674,0.81639
49,0.97674,0.84505
50,0.97624,0.83775
51,0.97608,0.83288
52,0.97674,0.82829
53,0.97674,0.87236
54,0.97637,0.89508
55,0.97674,0.82883
56,0.97674,0.81612
57,0.97674,0.85749
58,0.97674,0.82504
59,0.97674,0.83856
60,0.97674,0.82693
61,0.97674,0.81828
62,0.97633,0.87453
63,0.97674,0.83099
64,0.97674,0.85776
65,0.97674,0.76988
66,0.97674,0.84803
67,0.97674,0.8053
68,0.97674,0.8629
69,0.97674,0.93375
70,0.97674,0.86047
71,0.97674,0.82666
72,0.97623,0.87858
73,0.97627,0.84208
74,0.97634,0.83451
75,0.97674,0.82423
76,0.97674,0.82153
77,0.97674,0.87155
78,0.97674,0.85316
79,0.97674,0.81206
80,0.97674,0.79692
81,0.97674,0.81909
82,0.97674,0.87372
83,0.97612,0.84343
84,0.97674,0.87426
85,0.97674,0.8437
86,0.9763,0.91049
87,0.97674,0.84181
88,0.97631,0.87669
89,0.97674,0.84532
90,0.97674,0.90022
91,0.97674,0.85479
92,0.97626,0.80855
93,0.97674,0.84208
94,0.97674,0.80584
95,0.97674,0.83505
96,0.97674,0.88156
97,0.97674,0.84803
98,0.97674,0.74283
99,0.97674,0.88588
100,0.97674,0.83991
101,0.97674,0.86155
102,0.97632,0.83856
103,0.97674,0.82883
104,0.97491,0.82585
105,0.97674,0.77474
106,0.97628,0.85506
107,0.97674,0.83315
108,0.97674,0.84532
109,0.97674,0.8748
110,0.97674,0.84559
111,0.97674,0.85641
112,0.97674,0.74743
113,0.97674,0.77718
114,0.97674,0.86885
115,0.97674,0.90806
116,0.97674,0.79529
117,0.97674,0.83207
118,0.97602,0.84776
119,0.97674,0.86317
120,0.97674,0.83559
121,0.97674,0.87426
122,0.97674,0.74932
123,0.97674,0.88048
124,0.97674,0.85479
125,0.97674,0.85262
126,0.97674,0.82802
127,0.97674,0.87074
128,0.97674,0.8537
129,0.97674,0.74743
130,0.97674,0.85506
131,0.97674,0.86182
132,0.97674,0.81747
133,0.97674,0.81666
134,0.97674,0.87128
135,0.97674,0.8967
136,0.97674,0.7431
137,0.97674,0.79529
138,0.97674,0.88156
139,0.97674,0.83099
140,0.97618,0.90184
141,0.97674,0.81936
142,0.97674,0.83937
143,0.97674,0.89643
144,0.97674,0.8556
145,0.97631,0.89102
146,0.97633,0.86668
147,0.97674,0.7861
148,0.97674,0.82342
149,0.97674,0.86452
