res_expno,res_lbl_score,res_tst_score
0,0.8156,0.85046
1,0.91154,0.81017
2,0.86978,0.80665
3,0.83806,0.87426
4,0.90449,0.81125
5,0.87155,0.82098
6,0.9091,0.81963
7,0.81859,0.94294
8,0.83478,0.82017
9,0.85934,0.86371
10,0.87153,0.84235
11,0.87684,0.84072
12,0.86528,0.85073
13,0.90131,0.8291
14,0.8825,0.84478
15,0.8917,0.83829
16,0.8925,0.86723
17,0.90246,0.81476
18,0.84252,0.90427
19,0.91816,0.79178
20,0.82433,0.86074
21,0.88941,0.85316
22,0.85432,0.87777
23,0.8884,0.84127
24,0.90694,0.83991
25,0.84267,0.79854
26,0.8755,0.87263
27,0.89012,0.87101
28,0.87122,0.83099
29,0.89225,0.82369
30,0.87769,0.79502
31,0.82425,0.84316
32,0.9055,0.80557
33,0.86573,0.88453
34,0.85238,0.86912
35,0.8756,0.84262
36,0.86487,0.85695
37,0.90161,0.77582
38,0.77713,0.89941
39,0.88151,0.86966
40,0.87464,0.83856
41,0.90719,0.79394
42,0.86287,0.81639
43,0.81184,0.89156
44,0.87954,0.79584
45,0.84298,0.89427
46,0.87645,0.83856
47,0.8239,0.90995
48,0.8636,0.79529
49,0.84588,0.85749
50,0.85758,0.88102
51,0.84166,0.81774
52,0.92433,0.82504
53,0.823,0.86939
54,0.8283,0.9086
55,0.93602,0.81558
56,0.87967,0.81963
57,0.87903,0.8656
58,0.84482,0.86317
59,0.86801,0.80827
60,0.8796,0.84532
61,0.88099,0.82829
62,0.86889,0.88399
63,0.90042,0.84208
64,0.90289,0.84154
65,0.88876,0.8172
66,0.89449,0.86912
67,0.88878,0.84559
68,0.88594,0.86858
69,0.83464,0.88994
70,0.87633,0.8437
71,0.87151,0.8729
72,0.90132,0.87236
73,0.91044,0.87372
74,0.85047,0.83883
75,0.92455,0.81314
76,0.89381,0.80233
77,0.88756,0.90481
78,0.867,0.83964
79,0.8816,0.82991
80,0.86035,0.82071
81,0.89136,0.83748
82,0.84604,0.87426
83,0.90921,0.86858
84,0.86581,0.86533
85,0.88998,0.8537
86,0.82359,0.88967
87,0.89059,0.85127
88,0.82888,0.8748
89,0.8492,0.8364
90,0.81915,0.8848
91,0.87498,0.89643
92,0.93902,0.80097
93,0.87549,0.83748
94,0.88616,0.81504
95,0.87298,0.8391
96,0.87219,0.88021
97,0.83451,0.84938
98,0.88474,0.73932
99,0.84526,0.88318
100,0.86486,0.80395
101,0.83371,0.84478
102,0.87711,0.8537
103,0.88748,0.83234
104,0.83265,0.83315
105,0.89957,0.81206
106,0.86528,0.84045
107,0.86343,0.84045
108,0.88623,0.81558
109,0.82805,0.85154
110,0.87916,0.83018
111,0.92455,0.84965
112,0.96474,0.75203
113,0.90636,0.79881
114,0.8734,0.8867
115,0.84825,0.92699
116,0.88835,0.83288
117,0.81666,0.86263
118,0.8728,0.86128
119,0.87601,0.84667
120,0.88808,0.84803
121,0.87623,0.86344
122,0.92575,0.76744
123,0.86382,0.87534
124,0.84085,0.85992
125,0.85843,0.85235
126,0.8686,0.86317
127,0.8655,0.85289
128,0.87701,0.84072
129,0.9206,0.72769
130,0.86487,0.89183
131,0.89673,0.85154
132,0.89255,0.79502
133,0.89804,0.81747
134,0.84377,0.87885
135,0.83792,0.89264
136,0.93349,0.7358
137,0.87686,0.83586
138,0.86284,0.85073
139,0.88859,0.83315
140,0.83089,0.9013
141,0.86827,0.77096
142,0.90606,0.84045
143,0.832,0.89454
144,0.86202,0.83802
145,0.85548,0.89427
146,0.85855,0.894
147,0.9272,0.81071
148,0.88318,0.81828
149,0.82005,0.87669
