res_expno,res_lbl_score,res_tst_score
0,0.84369,0.86587
1,0.9228,0.81936
2,0.9076,0.85938
3,0.85566,0.8675
4,0.88029,0.84478
5,0.88575,0.82017
6,0.90092,0.83829
7,0.89941,0.89643
8,0.82514,0.8291
9,0.84743,0.83342
10,0.89188,0.83234
11,0.88858,0.79232
12,0.87729,0.84857
13,0.87952,0.77069
14,0.88894,0.80368
15,0.89792,0.83423
16,0.88202,0.85614
17,0.91061,0.81828
18,0.84201,0.86858
19,0.91968,0.82477
20,0.8211,0.86452
21,0.86425,0.87831
22,0.83007,0.86371
23,0.89789,0.85073
24,0.92573,0.82044
25,0.86365,0.79557
26,0.87627,0.8656
27,0.92851,0.83342
28,0.94226,0.84208
29,0.89588,0.83099
30,0.88829,0.77664
31,0.82325,0.75095
32,0.87072,0.82829
33,0.87,0.88426
34,0.83908,0.89075
35,0.87511,0.83964
36,0.83289,0.86696
37,0.89978,0.81314
38,0.87939,0.84884
39,0.88451,0.86804
40,0.88689,0.82774
41,0.89909,0.79881
42,0.83792,0.83856
43,0.81228,0.88615
44,0.87858,0.78718
45,0.83049,0.88048
46,0.85757,0.82071
47,0.85436,0.9113
48,0.93834,0.80936
49,0.86953,0.86317
50,0.87026,0.86425
51,0.89112,0.85127
52,0.9294,0.81612
53,0.8424,0.8656
54,0.8401,0.91049
55,0.94807,0.82153
56,0.85644,0.84532
57,0.87055,0.86533
58,0.85526,0.84532
59,0.91157,0.81882
60,0.86875,0.86019
61,0.88323,0.84586
62,0.85189,0.88778
63,0.90929,0.84343
64,0.90875,0.86317
65,0.87155,0.84018
66,0.86073,0.8775
67,0.88202,0.83072
68,0.88818,0.88318
69,0.84637,0.88913
70,0.86322,0.82991
71,0.88052,0.88507
72,0.91034,0.85965
73,0.91459,0.87642
74,0.8781,0.83559
75,0.91437,0.81666
76,0.92529,0.81612
77,0.86454,0.89373
78,0.90692,0.83856
79,0.8628,0.81287
80,0.90691,0.80665
81,0.89862,0.84045
82,0.82911,0.8583
83,0.92715,0.83937
84,0.88837,0.85425
85,0.93584,0.84343
86,0.8557,0.9086
87,0.90397,0.84586
88,0.84396,0.89859
89,0.89207,0.85181
90,0.89849,0.84857
91,0.87002,0.88426
92,0.90082,0.83775
93,0.8783,0.84018
94,0.8492,0.81558
95,0.89517,0.84045
96,0.85715,0.88156
97,0.89269,0.83937
98,0.93153,0.75446
99,0.88293,0.86155
100,0.85601,0.79286
101,0.85356,0.87047
102,0.88242,0.83396
103,0.87731,0.8364
104,0.84709,0.81774
105,0.93155,0.80963
106,0.85213,0.84045
107,0.85176,0.81936
108,0.90182,0.82044
109,0.82581,0.8583
110,0.88608,0.82044
111,0.91774,0.83775
112,0.95316,0.76501
113,0.90214,0.7815
114,0.88419,0.88021
115,0.85462,0.91266
116,0.88297,0.78177
117,0.88101,0.84072
118,0.88477,0.85533
119,0.8604,0.86587
120,0.89598,0.82071
121,0.89431,0.85857
122,0.92095,0.77231
123,0.87012,0.90076
124,0.88257,0.87885
125,0.85395,0.85668
126,0.87122,0.86966
127,0.91164,0.84478
128,0.89634,0.85911
129,0.90605,0.72661
130,0.88149,0.8483
131,0.91525,0.83748
132,0.88287,0.83396
133,0.89877,0.82504
134,0.85049,0.87074
135,0.87204,0.88264
136,0.90988,0.72607
137,0.88641,0.8437
138,0.88312,0.85425
139,0.8967,0.82342
140,0.83475,0.86641
141,0.89759,0.79908
142,0.87854,0.85452
143,0.82259,0.92645
144,0.86328,0.86236
145,0.83058,0.92131
146,0.85905,0.88453
147,0.923,0.79962
148,0.89488,0.83396
149,0.81015,0.841
