res_expno,res_lbl_score,res_tst_score
0,0.97674,0.83802
1,0.97674,0.83451
2,0.97674,0.84424
3,0.97674,0.88994
4,0.97674,0.81531
5,0.97674,0.81855
6,0.97674,0.79097
7,0.97674,0.87209
8,0.97624,0.85614
9,0.97674,0.87426
10,0.97674,0.85262
11,0.97674,0.83694
12,0.97674,0.8318
13,0.97674,0.83018
14,0.97674,0.83883
15,0.97674,0.8272
16,0.97674,0.86263
17,0.97602,0.8172
18,0.97674,0.90508
19,0.97674,0.79286
20,0.97674,0.88426
21,0.97634,0.8583
22,0.97656,0.86101
23,0.97674,0.84721
24,0.97674,0.85776
25,0.97674,0.81476
26,0.97674,0.86777
27,0.97674,0.851
28,0.97674,0.85127
29,0.97674,0.79665
30,0.97674,0.83586
31,0.97674,0.86885
32,0.97674,0.82125
33,0.97674,0.85587
34,0.97674,0.88102
35,0.97674,0.84018
36,0.97674,0.84721
37,0.97674,0.77393
38,0.97674,0.86425
39,0.97674,0.81963
40,0.97674,0.83532
41,0.9763,0.78691
42,0.97674,0.81233
43,0.97674,0.86344
44,0.97674,0.80503
45,0.97674,0.851
46,0.97674,0.841
47,0.97674,0.90049
48,0.97674,0.81774
49,0.97674,0.83991
50,0.97674,0.85533
51,0.97674,0.8364
52,0.97674,0.82153
53,0.97674,0.86047
54,0.97674,0.87588
55,0.97674,0.83613
56,0.97674,0.81774
57,0.97674,0.85533
58,0.97552,0.84884
59,0.97577,0.82585
60,0.97594,0.83964
61,0.97674,0.81747
62,0.97674,0.88156
63,0.97674,0.82207
64,0.97674,0.85938
65,0.97674,0.76988
66,0.97674,0.86804
67,0.97613,0.82856
68,0.97674,0.86344
69,0.97674,0.92401
70,0.97674,0.85965
71,0.97674,0.8583
72,0.97631,0.88372
73,0.97674,0.84803
74,0.97637,0.83072
75,0.97674,0.82666
76,0.97674,0.82585
77,0.97674,0.86723
78,0.97674,0.85506
79,0.97674,0.82125
80,0.97674,0.79665
81,0.97637,0.82017
82,0.97674,0.87345
83,0.97674,0.85208
84,0.97674,0.86858
85,0.97674,0.85857
86,0.97674,0.90671
87,0.97674,0.84208
88,0.97674,0.88724
89,0.97674,0.84803
90,0.97674,0.90725
91,0.97674,0.89075
92,0.97674,0.82044
93,0.97674,0.83829
94,0.97674,0.81531
95,0.97674,0.83532
96,0.97674,0.87831
97,0.97674,0.84992
98,0.97674,0.74608
99,0.97674,0.88021
100,0.97674,0.84018
101,0.97674,0.86885
102,0.97674,0.84397
103,0.97597,0.82747
104,0.9762,0.84316
105,0.97674,0.77664
106,0.97674,0.85587
107,0.97674,0.82856
108,0.97674,0.81801
109,0.97674,0.87615
110,0.97629,0.84505
111,0.97674,0.85262
112,0.97674,0.75149
113,0.97674,0.77772
114,0.97674,0.86696
115,0.97674,0.90779
116,0.97674,0.78935
117,0.97674,0.84235
118,0.97674,0.84776
119,0.97674,0.86128
120,0.97674,0.83829
121,0.97674,0.87426
122,0.97674,0.74905
123,0.97674,0.88426
124,0.97674,0.85425
125,0.97674,0.84884
126,0.97602,0.83721
127,0.97634,0.87561
128,0.97634,0.8556
129,0.97573,0.74797
130,0.97674,0.86074
131,0.97674,0.86398
132,0.97674,0.8245
133,0.97674,0.81666
134,0.97674,0.87804
135,0.97674,0.88399
136,0.97674,0.74473
137,0.97674,0.80719
138,0.97674,0.88021
139,0.97674,0.83748
140,0.97636,0.89995
141,0.97674,0.81855
142,0.97674,0.83883
143,0.97674,0.88129
144,0.97674,0.86128
145,0.9761,0.89156
146,0.97674,0.8675
147,0.97674,0.78664
148,0.97674,0.83126
149,0.97674,0.86723
