res_expno,res_lbl_score,res_tst_score
0,0.8548,0.8629
1,0.94412,0.81855
2,0.89994,0.85506
3,0.86133,0.88291
4,0.87333,0.83451
5,0.85917,0.81747
6,0.90638,0.83748
7,0.90046,0.89589
8,0.83565,0.82802
9,0.83673,0.84072
10,0.89698,0.82315
11,0.91811,0.79286
12,0.86227,0.85722
13,0.90531,0.77528
14,0.86788,0.81882
15,0.91563,0.83369
16,0.85789,0.85911
17,0.9261,0.8272
18,0.85146,0.87209
19,0.9294,0.81558
20,0.85058,0.87831
21,0.86922,0.87831
22,0.85076,0.88048
23,0.92151,0.8556
24,0.92848,0.81963
25,0.87836,0.79692
26,0.87162,0.88183
27,0.92446,0.83667
28,0.93723,0.83991
29,0.89151,0.83423
30,0.89874,0.77474
31,0.83161,0.72877
32,0.88162,0.82234
33,0.85688,0.88264
34,0.85697,0.8967
35,0.8696,0.84235
36,0.86719,0.86344
37,0.93743,0.81666
38,0.89693,0.85425
39,0.85435,0.86047
40,0.90631,0.84559
41,0.90706,0.79611
42,0.84887,0.84397
43,0.78895,0.88615
44,0.88603,0.79205
45,0.85313,0.88399
46,0.85069,0.8172
47,0.83675,0.9086
48,0.93014,0.81098
49,0.83805,0.86425
50,0.86195,0.85776
51,0.87777,0.85262
52,0.93257,0.81774
53,0.86859,0.86425
54,0.86159,0.9086
55,0.94679,0.83478
56,0.88344,0.84208
57,0.87055,0.86317
58,0.85103,0.82991
59,0.92831,0.81963
60,0.88325,0.85452
61,0.88723,0.84154
62,0.84511,0.88588
63,0.93505,0.84343
64,0.9262,0.85614
65,0.89519,0.85127
66,0.84409,0.88318
67,0.91119,0.80422
68,0.87345,0.88372
69,0.86617,0.90698
70,0.87089,0.82125
71,0.8645,0.88129
72,0.89431,0.86209
73,0.89682,0.84667
74,0.88681,0.84235
75,0.92667,0.80395
76,0.93018,0.81612
77,0.86928,0.89292
78,0.89759,0.84018
79,0.86783,0.83694
80,0.92614,0.81206
81,0.89996,0.84045
82,0.84639,0.86479
83,0.91577,0.841
84,0.90687,0.85587
85,0.92374,0.8391
86,0.87425,0.90752
87,0.88772,0.84343
88,0.87097,0.89292
89,0.91013,0.86019
90,0.9132,0.85235
91,0.87634,0.87669
92,0.90801,0.83721
93,0.8692,0.83937
94,0.84626,0.81314
95,0.89013,0.83937
96,0.8784,0.87994
97,0.89253,0.83775
98,0.927,0.7523
99,0.8819,0.86317
100,0.83817,0.79475
101,0.86332,0.86452
102,0.89408,0.83505
103,0.89467,0.83775
104,0.87653,0.81828
105,0.93708,0.79935
106,0.85902,0.84045
107,0.85624,0.81963
108,0.91065,0.82044
109,0.81917,0.86182
110,0.89585,0.81963
111,0.9247,0.83991
112,0.93838,0.75014
113,0.90464,0.77528
114,0.88498,0.87642
115,0.86464,0.92239
116,0.90456,0.79502
117,0.87571,0.84424
118,0.89814,0.85776
119,0.88781,0.85181
120,0.90294,0.82044
121,0.92109,0.86587
122,0.92243,0.77258
123,0.86977,0.90427
124,0.90214,0.8821
125,0.87026,0.87615
126,0.88799,0.8437
127,0.92972,0.8318
128,0.8929,0.85181
129,0.90723,0.72688
130,0.89903,0.83937
131,0.92456,0.83964
132,0.8828,0.83126
133,0.90061,0.81639
134,0.87802,0.88318
135,0.88413,0.88102
136,0.91989,0.72553
137,0.87908,0.84127
138,0.87912,0.8583
139,0.88353,0.8218
140,0.84657,0.86263
141,0.91213,0.79854
142,0.8861,0.86047
143,0.8286,0.92509
144,0.89492,0.85425
145,0.83756,0.92266
146,0.85399,0.88534
147,0.9157,0.80016
148,0.87318,0.83451
149,0.84047,0.84208
