res_expno,res_lbl_score,res_tst_score
0,0.88326,0.87395
1,0.87382,0.86322
2,0.91478,0.82451
3,0.8994,0.86223
4,0.89303,0.84794
5,0.88761,0.87888
6,0.89309,0.87165
7,0.91308,0.84759
8,0.90937,0.84262
9,0.89681,0.84682
10,0.89108,0.87245
11,0.89924,0.8311
12,0.88752,0.85522
13,0.89188,0.8959
14,0.87938,0.84539
15,0.91364,0.85256
16,0.90137,0.84928
17,0.88596,0.84413
18,0.90817,0.83157
19,0.91057,0.8396
20,0.89811,0.83679
21,0.91467,0.83211
22,0.89308,0.83194
23,0.91771,0.84046
24,0.88016,0.83608
25,0.88639,0.85641
26,0.91285,0.8328
27,0.90842,0.82776
28,0.86506,0.87568
29,0.92463,0.84915
30,0.88583,0.84329
31,0.89212,0.83697
32,0.91112,0.84318
33,0.92084,0.84519
34,0.915,0.85774
35,0.89496,0.82912
36,0.90357,0.83148
37,0.88851,0.84545
38,0.89388,0.863
39,0.88564,0.85132
40,0.9117,0.85647
41,0.92605,0.8293
42,0.90598,0.84991
43,0.93514,0.83035
44,0.8856,0.84448
45,0.89377,0.85714
46,0.90215,0.86315
47,0.87764,0.85218
48,0.89329,0.83203
49,0.89231,0.88367
50,0.924,0.81076
51,0.89913,0.85968
52,0.89486,0.83035
53,0.90924,0.83621
54,0.90571,0.86107
55,0.92363,0.84921
56,0.92459,0.84868
57,0.89682,0.85697
58,0.90877,0.86236
59,0.89416,0.86677
60,0.89769,0.8371
61,0.91545,0.82987
62,0.90011,0.87639
63,0.89112,0.87272
64,0.8951,0.83882
65,0.88868,0.87926
66,0.91318,0.85159
67,0.90804,0.81218
68,0.91729,0.87212
69,0.90057,0.84906
70,0.90464,0.84306
71,0.89791,0.85312
72,0.90838,0.84372
73,0.88685,0.84625
74,0.88933,0.84816
75,0.8737,0.86028
76,0.89559,0.85459
77,0.90597,0.87186
78,0.90831,0.83305
79,0.88912,0.85936
80,0.88228,0.85017
81,0.89036,0.84554
82,0.90361,0.85768
83,0.9099,0.82687
84,0.90041,0.84968
85,0.90615,0.87427
86,0.89095,0.86969
87,0.86279,0.86201
88,0.87707,0.85748
89,0.87587,0.83762
90,0.89642,0.86272
91,0.90682,0.85421
92,0.90239,0.86661
93,0.87967,0.8648
94,0.89415,0.85853
95,0.89585,0.85394
96,0.90165,0.8511
97,0.90252,0.85953
98,0.90678,0.84008
99,0.88782,0.84527
100,0.90004,0.85106
101,0.89795,0.81909
102,0.89772,0.8396
103,0.8836,0.88766
104,0.9043,0.82628
105,0.90512,0.82375
106,0.90189,0.85468
107,0.91027,0.84521
108,0.90256,0.8588
109,0.90358,0.85625
110,0.8902,0.82931
111,0.90929,0.85433
112,0.87716,0.86348
113,0.91161,0.8446
114,0.92976,0.83473
115,0.89099,0.84464
116,0.90754,0.82883
117,0.89886,0.84703
118,0.91506,0.87255
119,0.89004,0.828
120,0.90053,0.85372
121,0.89099,0.85234
122,0.8862,0.85248
123,0.87754,0.84915
124,0.90396,0.84119
125,0.90766,0.8295
126,0.90356,0.85436
127,0.89118,0.84596
128,0.89264,0.82801
129,0.91178,0.86736
130,0.90423,0.83687
131,0.90113,0.85291
132,0.90488,0.84638
133,0.89678,0.88562
134,0.8853,0.86301
135,0.91511,0.82977
136,0.90981,0.83075
137,0.88559,0.85284
138,0.92794,0.83291
139,0.88903,0.84646
140,0.91068,0.83358
141,0.90572,0.86819
142,0.8996,0.82365
143,0.90301,0.83081
144,0.88936,0.86713
145,0.9198,0.83595
146,0.88496,0.8662
147,0.90347,0.8542
148,0.89287,0.8648
149,0.90385,0.83408
