res_expno,res_lbl_score,res_tst_score
0,0.94574,0.97287
1,0.94806,0.96844
2,0.95508,0.9608
3,0.93711,0.97494
4,0.93784,0.9628
5,0.92778,0.96557
6,0.92739,0.97344
7,0.94561,0.97019
8,0.92365,0.9718
9,0.95234,0.9686
10,0.93237,0.97377
11,0.94097,0.96509
12,0.941,0.9644
13,0.94032,0.96602
14,0.96371,0.95506
15,0.94448,0.9732
16,0.93725,0.97467
17,0.95439,0.96277
18,0.93917,0.97748
19,0.96751,0.9514
20,0.93929,0.95978
21,0.91327,0.98619
22,0.94265,0.95959
23,0.93631,0.97001
24,0.94868,0.96106
25,0.93654,0.97376
26,0.94431,0.95599
27,0.96829,0.95568
28,0.95182,0.96629
29,0.95112,0.96752
30,0.95489,0.96072
31,0.958,0.96363
32,0.94517,0.96334
33,0.9521,0.96675
34,0.94678,0.94754
35,0.9656,0.95874
36,0.92946,0.96804
37,0.94301,0.9606
38,0.96078,0.95759
39,0.9348,0.96896
40,0.92107,0.97982
41,0.95614,0.95674
42,0.94752,0.9608
43,0.96167,0.96209
44,0.94885,0.9585
45,0.9607,0.9506
46,0.94619,0.96271
47,0.95072,0.96845
48,0.94266,0.96794
49,0.93613,0.96549
50,0.93232,0.97241
51,0.94713,0.96437
52,0.93747,0.96851
53,0.95713,0.9519
54,0.97024,0.94828
55,0.94945,0.95126
56,0.95183,0.96869
57,0.95471,0.94293
58,0.94013,0.97196
59,0.94776,0.95786
60,0.93745,0.96371
61,0.95792,0.96758
62,0.93654,0.9768
63,0.9394,0.96263
64,0.94117,0.94582
65,0.9422,0.96729
66,0.93515,0.97185
67,0.94819,0.97016
68,0.96085,0.95771
69,0.92784,0.97637
70,0.95493,0.95764
71,0.94301,0.96737
72,0.94766,0.97112
73,0.94529,0.96466
74,0.94185,0.97145
75,0.94075,0.9598
76,0.9452,0.96201
77,0.95311,0.96531
78,0.95706,0.96307
79,0.93678,0.96816
80,0.96311,0.96064
81,0.96773,0.94936
82,0.93374,0.97358
83,0.94667,0.96016
84,0.94505,0.96045
85,0.93341,0.97075
86,0.93696,0.97374
87,0.94822,0.95821
88,0.92802,0.96248
89,0.94752,0.95592
90,0.9638,0.95246
91,0.93393,0.96488
92,0.94781,0.96533
93,0.98213,0.94344
94,0.94184,0.96369
95,0.94868,0.96578
96,0.94649,0.96442
97,0.95248,0.96878
98,0.95274,0.96474
99,0.9366,0.95688
100,0.95088,0.9666
101,0.93805,0.97252
102,0.94139,0.9691
103,0.92004,0.97676
104,0.92413,0.97734
105,0.9441,0.96272
106,0.93166,0.97567
107,0.95921,0.96811
108,0.93073,0.97025
109,0.94757,0.96878
110,0.93154,0.96478
111,0.93515,0.96859
112,0.9373,0.96537
113,0.95497,0.96091
114,0.92768,0.96454
115,0.9535,0.94687
116,0.95368,0.9648
117,0.93905,0.97464
118,0.93881,0.9605
119,0.96525,0.94376
120,0.94259,0.9554
121,0.95418,0.9559
122,0.92865,0.97529
123,0.94431,0.96261
124,0.92332,0.9793
125,0.94983,0.96637
126,0.94822,0.96104
127,0.93126,0.97114
128,0.95542,0.96405
129,0.93759,0.96417
130,0.95775,0.96819
131,0.93942,0.96507
132,0.94943,0.95003
133,0.95546,0.96083
134,0.94139,0.96219
135,0.97252,0.9539
136,0.93462,0.96022
137,0.94687,0.96427
138,0.95934,0.94178
139,0.95383,0.96105
140,0.9451,0.96357
141,0.94243,0.96641
142,0.94528,0.96046
143,0.96225,0.96332
144,0.94265,0.96918
145,0.9519,0.96137
146,0.94249,0.96614
147,0.96123,0.95235
148,0.9625,0.95608
149,0.92587,0.97252
