res_expno,res_lbl_score,res_tst_score
0,0.9503,0.96863
1,0.95864,0.96458
2,0.95815,0.9602
3,0.94029,0.97879
4,0.93952,0.96829
5,0.93122,0.96607
6,0.92571,0.98399
7,0.94688,0.9719
8,0.93832,0.98346
9,0.95033,0.96765
10,0.93628,0.9751
11,0.94565,0.96019
12,0.94877,0.96442
13,0.94573,0.96111
14,0.96689,0.94352
15,0.9444,0.97253
16,0.94422,0.96765
17,0.95083,0.95093
18,0.94029,0.9785
19,0.96447,0.95428
20,0.93983,0.96776
21,0.9272,0.98695
22,0.9513,0.96914
23,0.95421,0.96847
24,0.94961,0.96815
25,0.9409,0.97337
26,0.9469,0.96354
27,0.96453,0.95255
28,0.94194,0.9584
29,0.94896,0.96482
30,0.94929,0.95335
31,0.94908,0.95243
32,0.94943,0.97089
33,0.96171,0.95634
34,0.94477,0.95392
35,0.96884,0.95408
36,0.94493,0.96943
37,0.94677,0.96492
38,0.9588,0.96046
39,0.93272,0.97343
40,0.93318,0.98161
41,0.95572,0.94649
42,0.95241,0.96441
43,0.96188,0.95701
44,0.95148,0.96802
45,0.96466,0.95006
46,0.95072,0.95615
47,0.93266,0.97467
48,0.94896,0.96309
49,0.94195,0.96732
50,0.94395,0.9627
51,0.94518,0.9562
52,0.94067,0.96801
53,0.94979,0.95521
54,0.9782,0.94979
55,0.9455,0.95027
56,0.94604,0.96255
57,0.96819,0.95462
58,0.94672,0.96342
59,0.95663,0.9608
60,0.94856,0.9699
61,0.95821,0.9571
62,0.93041,0.98195
63,0.94697,0.95509
64,0.9519,0.96096
65,0.95046,0.96101
66,0.95609,0.9751
67,0.94889,0.96794
68,0.95026,0.95847
69,0.94288,0.96789
70,0.94643,0.9599
71,0.94661,0.95731
72,0.95964,0.96478
73,0.93557,0.95571
74,0.93872,0.96974
75,0.94137,0.97334
76,0.94708,0.96441
77,0.94868,0.95824
78,0.95098,0.96764
79,0.946,0.95523
80,0.95752,0.95738
81,0.96461,0.94653
82,0.93721,0.96915
83,0.94288,0.96027
84,0.93826,0.97453
85,0.93803,0.96637
86,0.941,0.96527
87,0.95134,0.95748
88,0.9365,0.96773
89,0.95681,0.9526
90,0.96592,0.94681
91,0.93831,0.95256
92,0.94866,0.97703
93,0.97668,0.93633
94,0.94919,0.96432
95,0.95139,0.95018
96,0.95926,0.95343
97,0.9519,0.96817
98,0.95934,0.95733
99,0.94548,0.95837
100,0.94964,0.95971
101,0.9438,0.96741
102,0.9443,0.95027
103,0.93715,0.96418
104,0.93158,0.97115
105,0.94527,0.96292
106,0.9382,0.97192
107,0.9619,0.96458
108,0.92846,0.97108
109,0.95529,0.96399
110,0.94613,0.96572
111,0.93514,0.97557
112,0.94863,0.96115
113,0.95791,0.95349
114,0.93865,0.97229
115,0.95942,0.95249
116,0.96003,0.95953
117,0.9357,0.97078
118,0.95869,0.95707
119,0.96506,0.94975
120,0.9609,0.95504
121,0.95265,0.96168
122,0.95522,0.97145
123,0.95404,0.96105
124,0.92617,0.97162
125,0.95249,0.96284
126,0.94195,0.96165
127,0.94321,0.97553
128,0.9548,0.96434
129,0.9398,0.97269
130,0.96943,0.96584
131,0.94561,0.95728
132,0.95511,0.9571
133,0.95546,0.96251
134,0.94117,0.96735
135,0.97012,0.95635
136,0.94682,0.94969
137,0.94651,0.95479
138,0.96353,0.94552
139,0.96724,0.95346
140,0.94514,0.96414
141,0.94627,0.97171
142,0.94932,0.95422
143,0.95642,0.94913
144,0.94051,0.96341
145,0.95534,0.96489
146,0.94467,0.97229
147,0.96266,0.94629
148,0.96051,0.95409
149,0.93548,0.98135
