res_expno,res_lbl_score,res_tst_score
0,0.99743,0.9713
1,0.99742,0.96314
2,0.99743,0.97219
3,0.99743,0.97999
4,0.99743,0.97148
5,0.99743,0.96108
6,0.99742,0.97728
7,0.99742,0.96744
8,0.99743,0.97708
9,0.99743,0.96789
10,0.99742,0.9733
11,0.99741,0.95723
12,0.99743,0.96016
13,0.99743,0.9719
14,0.99742,0.95448
15,0.99743,0.96659
16,0.99741,0.97368
17,0.99743,0.96513
18,0.99738,0.97497
19,0.99743,0.96091
20,0.99743,0.96859
21,0.99741,0.98753
22,0.99742,0.97271
23,0.99742,0.96941
24,0.99743,0.95822
25,0.99743,0.97784
26,0.9974,0.9729
27,0.99742,0.95791
28,0.99741,0.971
29,0.99743,0.96641
30,0.99741,0.96375
31,0.9974,0.96606
32,0.99742,0.96807
33,0.99743,0.97163
34,0.99743,0.95761
35,0.99742,0.96386
36,0.99743,0.96444
37,0.99743,0.96403
38,0.99742,0.96351
39,0.99739,0.96573
40,0.99743,0.97296
41,0.9974,0.95762
42,0.99741,0.96177
43,0.9974,0.97085
44,0.99743,0.9703
45,0.99742,0.95852
46,0.99742,0.96265
47,0.99742,0.9707
48,0.99743,0.97095
49,0.99743,0.97033
50,0.99743,0.97093
51,0.99741,0.96928
52,0.99743,0.96879
53,0.99742,0.9619
54,0.99742,0.95334
55,0.99742,0.96148
56,0.99742,0.97376
57,0.99742,0.95938
58,0.99743,0.971
59,0.99743,0.95699
60,0.99743,0.96714
61,0.9974,0.96697
62,0.99742,0.9801
63,0.99741,0.96569
64,0.99742,0.96225
65,0.99743,0.96882
66,0.99743,0.97001
67,0.99738,0.96344
68,0.99742,0.96698
69,0.99742,0.97625
70,0.99743,0.96979
71,0.99741,0.97061
72,0.99742,0.9605
73,0.99742,0.97168
74,0.99743,0.9709
75,0.99743,0.97575
76,0.9974,0.97667
77,0.99741,0.96166
78,0.9974,0.96035
79,0.99743,0.963
80,0.99743,0.96162
81,0.9974,0.94966
82,0.99743,0.97442
83,0.99743,0.97479
84,0.99742,0.96791
85,0.99743,0.97812
86,0.99741,0.96942
87,0.99743,0.96353
88,0.99742,0.96949
89,0.99742,0.95625
90,0.99741,0.95707
91,0.99743,0.97739
92,0.99742,0.97506
93,0.99743,0.94894
94,0.99742,0.96263
95,0.99742,0.96999
96,0.99743,0.96386
97,0.9974,0.96279
98,0.99742,0.97424
99,0.99742,0.96927
100,0.99741,0.96903
101,0.99743,0.97164
102,0.99739,0.97827
103,0.99741,0.97971
104,0.99743,0.98381
105,0.99743,0.97167
106,0.99741,0.98166
107,0.9974,0.96924
108,0.99743,0.97142
109,0.99743,0.97491
110,0.99743,0.96741
111,0.99743,0.97826
112,0.99743,0.96987
113,0.99742,0.96028
114,0.99743,0.9699
115,0.99743,0.95624
116,0.9974,0.97793
117,0.99742,0.97771
118,0.99742,0.96197
119,0.99741,0.94117
120,0.99743,0.9517
121,0.99743,0.96715
122,0.99742,0.96823
123,0.99743,0.96896
124,0.99743,0.9742
125,0.99743,0.97157
126,0.99743,0.96675
127,0.99742,0.97136
128,0.99742,0.96595
129,0.99742,0.97625
130,0.99743,0.96533
131,0.99739,0.96948
132,0.99743,0.9538
133,0.99736,0.95484
134,0.99742,0.98026
135,0.9974,0.95726
136,0.99742,0.95744
137,0.99742,0.96362
138,0.99743,0.959
139,0.99743,0.96391
140,0.99742,0.96821
141,0.99742,0.96743
142,0.99742,0.96077
143,0.99742,0.96538
144,0.99743,0.97531
145,0.99743,0.96778
146,0.99743,0.97841
147,0.99742,0.95693
148,0.99743,0.96661
149,0.9974,0.97491
