res_expno,res_lbl_score,res_tst_score
0,0.94566,0.97254
1,0.96136,0.96849
2,0.96036,0.96038
3,0.9435,0.97477
4,0.93977,0.96238
5,0.93282,0.96658
6,0.92921,0.97545
7,0.9517,0.97013
8,0.93071,0.97278
9,0.95906,0.96934
10,0.93836,0.97621
11,0.95399,0.96649
12,0.9504,0.96575
13,0.94531,0.96699
14,0.96654,0.95456
15,0.94776,0.97327
16,0.94856,0.97454
17,0.95888,0.96106
18,0.94391,0.97819
19,0.97394,0.95124
20,0.94601,0.96157
21,0.92251,0.98484
22,0.94837,0.96186
23,0.93748,0.97052
24,0.95572,0.96288
25,0.94626,0.97479
26,0.94258,0.95931
27,0.97328,0.95322
28,0.95388,0.96541
29,0.95937,0.96629
30,0.95536,0.96051
31,0.9645,0.9658
32,0.95532,0.96212
33,0.95602,0.96878
34,0.95039,0.94752
35,0.97065,0.95889
36,0.93676,0.96817
37,0.9476,0.96192
38,0.96413,0.95649
39,0.93676,0.96892
40,0.92581,0.98039
41,0.96249,0.9593
42,0.94969,0.96295
43,0.96706,0.96122
44,0.95754,0.9602
45,0.96985,0.95161
46,0.95299,0.96098
47,0.95471,0.96808
48,0.94638,0.96873
49,0.94156,0.96715
50,0.94189,0.97415
51,0.94796,0.96456
52,0.94335,0.96997
53,0.96464,0.95194
54,0.96902,0.94767
55,0.96145,0.95213
56,0.96066,0.96873
57,0.96125,0.94382
58,0.94579,0.97199
59,0.95415,0.95814
60,0.95016,0.96639
61,0.95472,0.96718
62,0.93674,0.97681
63,0.94203,0.96179
64,0.94729,0.95005
65,0.95439,0.96666
66,0.93803,0.9693
67,0.9511,0.97077
68,0.96497,0.95864
69,0.94637,0.97634
70,0.95522,0.95822
71,0.94324,0.96745
72,0.95227,0.97057
73,0.94692,0.96439
74,0.9512,0.97208
75,0.95101,0.9604
76,0.9478,0.96207
77,0.95338,0.9647
78,0.96427,0.96387
79,0.94243,0.96809
80,0.96775,0.9594
81,0.97119,0.94776
82,0.93427,0.97461
83,0.95447,0.96125
84,0.95098,0.96283
85,0.93826,0.97248
86,0.93956,0.97263
87,0.94805,0.95732
88,0.93418,0.96316
89,0.94827,0.9538
90,0.96712,0.95231
91,0.93315,0.96375
92,0.96071,0.96904
93,0.98346,0.94199
94,0.95067,0.96416
95,0.9507,0.96565
96,0.95687,0.9631
97,0.95765,0.9706
98,0.95518,0.96417
99,0.93971,0.95568
100,0.96352,0.96455
101,0.94724,0.97237
102,0.94926,0.96964
103,0.92523,0.9766
104,0.93798,0.97913
105,0.95025,0.96245
106,0.94286,0.97629
107,0.95908,0.96846
108,0.93547,0.97153
109,0.95613,0.96853
110,0.93054,0.96609
111,0.95092,0.96879
112,0.94429,0.96439
113,0.96035,0.9628
114,0.92952,0.9641
115,0.95652,0.94947
116,0.95678,0.96477
117,0.9408,0.97411
118,0.94159,0.95967
119,0.96985,0.94185
120,0.93953,0.95612
121,0.96302,0.95665
122,0.93154,0.97511
123,0.95504,0.96418
124,0.93996,0.9777
125,0.95924,0.9666
126,0.95246,0.95947
127,0.94314,0.97115
128,0.96286,0.96422
129,0.94205,0.96436
130,0.96555,0.96809
131,0.93695,0.9646
132,0.95394,0.95003
133,0.96424,0.961
134,0.94765,0.96293
135,0.96819,0.95353
136,0.94246,0.96075
137,0.95719,0.96436
138,0.96305,0.94453
139,0.96743,0.9605
140,0.94524,0.96168
141,0.95042,0.96717
142,0.95426,0.96029
143,0.9654,0.96254
144,0.94558,0.96858
145,0.9612,0.96191
146,0.94675,0.9666
147,0.96795,0.9524
148,0.96463,0.95757
149,0.9381,0.97345
