res_expno,res_lbl_score,res_tst_score
0,0.99742,0.97282
1,0.99742,0.96247
2,0.99742,0.97186
3,0.99742,0.97841
4,0.99742,0.96988
5,0.99742,0.96038
6,0.99743,0.97787
7,0.99743,0.96721
8,0.99741,0.97917
9,0.9974,0.96777
10,0.99741,0.97656
11,0.99743,0.96312
12,0.99743,0.96158
13,0.99742,0.9713
14,0.99742,0.95274
15,0.99741,0.96863
16,0.99742,0.97442
17,0.99743,0.96386
18,0.99741,0.97349
19,0.99741,0.95767
20,0.99741,0.96754
21,0.99743,0.98528
22,0.99742,0.97384
23,0.9974,0.96782
24,0.99743,0.95956
25,0.99743,0.97674
26,0.99741,0.97209
27,0.99741,0.96052
28,0.99743,0.97018
29,0.99743,0.96637
30,0.99741,0.96234
31,0.99743,0.96412
32,0.99743,0.96781
33,0.99738,0.97254
34,0.99743,0.95528
35,0.99742,0.96465
36,0.99742,0.96498
37,0.9974,0.96795
38,0.99741,0.96255
39,0.99742,0.96663
40,0.99743,0.97379
41,0.99741,0.95534
42,0.9974,0.96352
43,0.9974,0.96776
44,0.99742,0.96953
45,0.99742,0.96063
46,0.99743,0.96192
47,0.99743,0.97096
48,0.99741,0.97043
49,0.99743,0.96985
50,0.99743,0.96971
51,0.99743,0.9706
52,0.99743,0.96787
53,0.99742,0.96282
54,0.99742,0.95407
55,0.99743,0.95999
56,0.99743,0.97125
57,0.99741,0.96041
58,0.99739,0.97288
59,0.99742,0.95678
60,0.99742,0.96827
61,0.99742,0.96594
62,0.99743,0.97814
63,0.9974,0.96249
64,0.99743,0.96289
65,0.99741,0.96854
66,0.99743,0.96824
67,0.99741,0.96599
68,0.99741,0.96813
69,0.99741,0.97747
70,0.99743,0.96921
71,0.99739,0.96987
72,0.99742,0.96045
73,0.99741,0.97317
74,0.9974,0.97226
75,0.99743,0.9757
76,0.99741,0.97527
77,0.99743,0.96198
78,0.99743,0.96501
79,0.99742,0.96491
80,0.99743,0.9606
81,0.99743,0.95036
82,0.99743,0.97416
83,0.99743,0.97456
84,0.99743,0.96817
85,0.99743,0.9761
86,0.99742,0.97033
87,0.99743,0.96356
88,0.99742,0.9695
89,0.99742,0.9593
90,0.99736,0.95615
91,0.99742,0.97665
92,0.99742,0.97512
93,0.99743,0.94773
94,0.9974,0.96442
95,0.99741,0.96925
96,0.99741,0.96415
97,0.99739,0.96557
98,0.99742,0.97331
99,0.99741,0.97013
100,0.99737,0.96991
101,0.99742,0.96998
102,0.99741,0.97724
103,0.99741,0.98125
104,0.9974,0.98242
105,0.99742,0.97125
106,0.99742,0.98342
107,0.99742,0.96962
108,0.99743,0.9725
109,0.99743,0.97464
110,0.99743,0.96708
111,0.9974,0.97795
112,0.99741,0.97053
113,0.99743,0.96074
114,0.99743,0.96942
115,0.99743,0.95779
116,0.99742,0.97739
117,0.9974,0.977
118,0.99734,0.96027
119,0.99743,0.94178
120,0.99742,0.95522
121,0.99743,0.96437
122,0.99739,0.97233
123,0.99741,0.969
124,0.99743,0.97279
125,0.99743,0.96992
126,0.99743,0.96346
127,0.99743,0.97029
128,0.99739,0.9653
129,0.99743,0.97635
130,0.99742,0.96338
131,0.99738,0.96937
132,0.99743,0.95346
133,0.99742,0.95417
134,0.99742,0.98049
135,0.99742,0.95702
136,0.99742,0.95742
137,0.99743,0.96433
138,0.99743,0.95989
139,0.99743,0.96514
140,0.9974,0.96823
141,0.99742,0.96835
142,0.99742,0.96215
143,0.99742,0.96374
144,0.99741,0.97043
145,0.99741,0.96791
146,0.99741,0.97793
147,0.99743,0.95769
148,0.99743,0.96506
149,0.99743,0.97617
