res_expno,res_lbl_score,res_tst_score
0,0.93629,0.97182
1,0.94722,0.96813
2,0.96002,0.9612
3,0.94016,0.97569
4,0.94638,0.96393
5,0.93015,0.96333
6,0.93186,0.97463
7,0.94035,0.97029
8,0.9281,0.9744
9,0.94957,0.96736
10,0.93934,0.97603
11,0.95631,0.96582
12,0.94737,0.96522
13,0.94313,0.96477
14,0.96743,0.95352
15,0.94424,0.97411
16,0.94623,0.9748
17,0.9605,0.9602
18,0.94617,0.97869
19,0.97056,0.9516
20,0.9436,0.96204
21,0.92113,0.98557
22,0.95254,0.96264
23,0.93814,0.9714
24,0.95168,0.9624
25,0.94032,0.97363
26,0.94409,0.96026
27,0.97321,0.95179
28,0.94965,0.96606
29,0.95481,0.96758
30,0.95768,0.96059
31,0.96239,0.96531
32,0.95037,0.96209
33,0.95278,0.96707
34,0.94666,0.94404
35,0.96938,0.95988
36,0.93707,0.96778
37,0.94145,0.95996
38,0.95691,0.95588
39,0.93631,0.96866
40,0.91817,0.98058
41,0.96383,0.95786
42,0.94529,0.96191
43,0.96378,0.96065
44,0.95303,0.9599
45,0.96025,0.94955
46,0.95152,0.96019
47,0.94678,0.96877
48,0.94254,0.97023
49,0.94166,0.96753
50,0.94042,0.97342
51,0.95326,0.96591
52,0.94318,0.96998
53,0.96215,0.94827
54,0.96479,0.94685
55,0.95443,0.95035
56,0.95736,0.96789
57,0.95764,0.94246
58,0.94404,0.97222
59,0.94469,0.95807
60,0.94291,0.96728
61,0.9545,0.96747
62,0.93656,0.97767
63,0.93995,0.96106
64,0.94705,0.94792
65,0.95165,0.96615
66,0.92964,0.97141
67,0.95049,0.97144
68,0.96329,0.95775
69,0.93735,0.9776
70,0.95805,0.95811
71,0.94511,0.96705
72,0.9456,0.97115
73,0.94458,0.96665
74,0.95215,0.97207
75,0.95006,0.96203
76,0.94506,0.96082
77,0.95338,0.9644
78,0.95547,0.96261
79,0.94093,0.96512
80,0.9675,0.95835
81,0.97019,0.94869
82,0.9444,0.97547
83,0.95503,0.96119
84,0.94674,0.96136
85,0.93149,0.96916
86,0.93025,0.97369
87,0.94969,0.95824
88,0.93382,0.96296
89,0.94833,0.95557
90,0.96578,0.9526
91,0.93557,0.96581
92,0.95352,0.96789
93,0.97842,0.94186
94,0.94955,0.96359
95,0.94797,0.96515
96,0.94619,0.96496
97,0.94958,0.97078
98,0.94689,0.96387
99,0.94324,0.95678
100,0.95144,0.96565
101,0.94631,0.97181
102,0.94816,0.96763
103,0.92265,0.97672
104,0.92868,0.97763
105,0.94804,0.96284
106,0.93497,0.97572
107,0.95459,0.96865
108,0.93836,0.97128
109,0.95465,0.96787
110,0.93462,0.96631
111,0.93873,0.96665
112,0.94377,0.96432
113,0.95319,0.96295
114,0.92299,0.96409
115,0.95992,0.94914
116,0.96064,0.965
117,0.94068,0.97467
118,0.95043,0.96012
119,0.96832,0.94237
120,0.94515,0.95648
121,0.95891,0.95465
122,0.93756,0.97597
123,0.94771,0.96242
124,0.9329,0.97768
125,0.95178,0.96643
126,0.95428,0.9589
127,0.93882,0.97239
128,0.95607,0.9649
129,0.9384,0.96521
130,0.95245,0.96795
131,0.9326,0.96349
132,0.95125,0.9509
133,0.95593,0.96016
134,0.95012,0.96282
135,0.96469,0.95224
136,0.94422,0.95984
137,0.94636,0.96307
138,0.96596,0.94418
139,0.95866,0.96048
140,0.94382,0.96512
141,0.94379,0.96789
142,0.95346,0.96089
143,0.95713,0.96484
144,0.9426,0.96612
145,0.95721,0.96116
146,0.94692,0.96673
147,0.96272,0.95155
148,0.96161,0.95851
149,0.92959,0.97202
