res_expno,res_lbl_score,res_tst_score
0,0.94816,0.96811
1,0.95329,0.96423
2,0.96394,0.95961
3,0.94756,0.9786
4,0.94691,0.96804
5,0.93532,0.96726
6,0.92835,0.98296
7,0.94355,0.97101
8,0.93903,0.97995
9,0.95348,0.96652
10,0.94014,0.975
11,0.95226,0.96029
12,0.95584,0.96459
13,0.94987,0.9624
14,0.96866,0.94092
15,0.94287,0.97398
16,0.95018,0.96722
17,0.95525,0.9526
18,0.94476,0.97739
19,0.96912,0.95354
20,0.94583,0.96778
21,0.92682,0.98833
22,0.95777,0.97134
23,0.95007,0.96718
24,0.95135,0.9679
25,0.9483,0.97258
26,0.94702,0.95936
27,0.97099,0.95288
28,0.94241,0.95339
29,0.95177,0.96402
30,0.95453,0.95136
31,0.95389,0.95152
32,0.94533,0.96985
33,0.96034,0.95482
34,0.94634,0.95843
35,0.96936,0.95379
36,0.94676,0.96819
37,0.94896,0.96386
38,0.9584,0.95957
39,0.93259,0.97219
40,0.92688,0.98203
41,0.96276,0.94645
42,0.95466,0.96345
43,0.9619,0.95687
44,0.9532,0.96799
45,0.96371,0.95002
46,0.95305,0.95809
47,0.93531,0.97491
48,0.94701,0.95739
49,0.94599,0.96598
50,0.94813,0.96381
51,0.94997,0.95677
52,0.94403,0.96826
53,0.95545,0.95708
54,0.97688,0.94993
55,0.94951,0.95342
56,0.94941,0.96473
57,0.96973,0.95468
58,0.94468,0.96337
59,0.95402,0.96081
60,0.94946,0.96927
61,0.95896,0.95631
62,0.92796,0.98116
63,0.95198,0.95414
64,0.95675,0.96114
65,0.95352,0.9604
66,0.94915,0.97478
67,0.94783,0.96799
68,0.9527,0.95691
69,0.94623,0.96833
70,0.95235,0.96039
71,0.94748,0.95736
72,0.95661,0.9646
73,0.93705,0.95351
74,0.94563,0.96924
75,0.94893,0.97216
76,0.95014,0.96372
77,0.95019,0.96053
78,0.94964,0.96701
79,0.95064,0.95419
80,0.95805,0.95762
81,0.96631,0.94619
82,0.94991,0.9718
83,0.95047,0.96083
84,0.94006,0.97518
85,0.93218,0.96407
86,0.93465,0.96349
87,0.95516,0.95927
88,0.94055,0.96734
89,0.9543,0.95103
90,0.96915,0.94686
91,0.94051,0.95285
92,0.95226,0.97499
93,0.97444,0.93517
94,0.95831,0.9646
95,0.95349,0.9501
96,0.95721,0.95275
97,0.95174,0.96822
98,0.9532,0.95701
99,0.95291,0.95574
100,0.94875,0.958
101,0.95295,0.96772
102,0.95082,0.95069
103,0.92946,0.96426
104,0.93459,0.97124
105,0.94792,0.9618
106,0.93842,0.97134
107,0.95671,0.96368
108,0.93691,0.96704
109,0.95913,0.96332
110,0.94797,0.965
111,0.93695,0.97892
112,0.95283,0.96077
113,0.95639,0.95312
114,0.93786,0.97166
115,0.96147,0.95283
116,0.96196,0.95503
117,0.93637,0.97413
118,0.95779,0.95668
119,0.96512,0.94942
120,0.96328,0.95463
121,0.95343,0.96326
122,0.95642,0.97126
123,0.955,0.95933
124,0.92845,0.97065
125,0.94979,0.9646
126,0.94585,0.96318
127,0.94855,0.97561
128,0.95462,0.96472
129,0.94212,0.97202
130,0.96072,0.96744
131,0.9398,0.95538
132,0.96029,0.95583
133,0.95758,0.96139
134,0.94649,0.96402
135,0.96906,0.95639
136,0.95231,0.95038
137,0.94725,0.95302
138,0.96951,0.94227
139,0.9685,0.95327
140,0.94903,0.96076
141,0.94575,0.97081
142,0.95505,0.95362
143,0.95189,0.94593
144,0.93853,0.96339
145,0.95927,0.965
146,0.94842,0.97041
147,0.96516,0.94561
148,0.96059,0.95055
149,0.94299,0.97861
