res_expno,res_lbl_score,res_tst_score
0,0.99741,0.97306
1,0.99741,0.96397
2,0.99743,0.97207
3,0.99742,0.98033
4,0.99743,0.97086
5,0.99742,0.9615
6,0.99742,0.97858
7,0.99742,0.96826
8,0.99743,0.97944
9,0.99741,0.96802
10,0.99738,0.97576
11,0.99743,0.96422
12,0.99743,0.96368
13,0.99741,0.97335
14,0.99741,0.95456
15,0.99742,0.96997
16,0.99739,0.97483
17,0.99741,0.96423
18,0.99742,0.97464
19,0.99741,0.96038
20,0.99737,0.96842
21,0.99743,0.98565
22,0.99742,0.97422
23,0.99743,0.97006
24,0.99742,0.96051
25,0.99742,0.97783
26,0.9974,0.97129
27,0.99742,0.95953
28,0.99742,0.97159
29,0.9974,0.96701
30,0.9974,0.9643
31,0.99741,0.96713
32,0.99743,0.96857
33,0.99741,0.97385
34,0.99742,0.95621
35,0.99743,0.9659
36,0.99743,0.96735
37,0.99743,0.9679
38,0.99743,0.96197
39,0.9974,0.96789
40,0.99743,0.97578
41,0.99742,0.95695
42,0.99742,0.96383
43,0.99743,0.96988
44,0.99739,0.96963
45,0.99742,0.96014
46,0.99742,0.96316
47,0.99743,0.9709
48,0.99741,0.9706
49,0.99743,0.97041
50,0.9974,0.96988
51,0.99743,0.96995
52,0.99741,0.96817
53,0.99741,0.96244
54,0.99742,0.9556
55,0.99742,0.96127
56,0.99741,0.97328
57,0.99743,0.96068
58,0.99742,0.97374
59,0.99743,0.95718
60,0.99743,0.971
61,0.9974,0.96726
62,0.99742,0.97877
63,0.99743,0.96314
64,0.9974,0.96357
65,0.99741,0.96972
66,0.99743,0.97067
67,0.99741,0.96984
68,0.99743,0.96741
69,0.9974,0.97797
70,0.99742,0.96894
71,0.99741,0.97011
72,0.99743,0.96243
73,0.99741,0.97398
74,0.99742,0.97168
75,0.99741,0.97658
76,0.99743,0.97688
77,0.99743,0.96045
78,0.9974,0.96654
79,0.99742,0.96539
80,0.99741,0.96106
81,0.99743,0.95097
82,0.99743,0.97498
83,0.99743,0.97698
84,0.99743,0.96905
85,0.99742,0.97806
86,0.99743,0.9697
87,0.99743,0.96589
88,0.99743,0.9702
89,0.99743,0.96155
90,0.99741,0.95661
91,0.99743,0.97684
92,0.99743,0.9767
93,0.99743,0.94882
94,0.99741,0.96323
95,0.9974,0.97075
96,0.9974,0.96498
97,0.99742,0.96732
98,0.99743,0.97347
99,0.99731,0.96809
100,0.9974,0.96969
101,0.99742,0.97121
102,0.99742,0.97787
103,0.99743,0.98135
104,0.99743,0.98549
105,0.99743,0.97196
106,0.99741,0.98323
107,0.99743,0.97006
108,0.99743,0.97278
109,0.99742,0.97541
110,0.99743,0.96755
111,0.99742,0.97687
112,0.99742,0.97151
113,0.99741,0.96035
114,0.99742,0.97092
115,0.99743,0.95866
116,0.99741,0.97725
117,0.9974,0.97821
118,0.99743,0.96081
119,0.99741,0.94185
120,0.99743,0.95491
121,0.99743,0.9655
122,0.99741,0.97483
123,0.99743,0.96952
124,0.99742,0.97591
125,0.99743,0.97326
126,0.99741,0.96601
127,0.99742,0.97129
128,0.99739,0.96781
129,0.99742,0.97797
130,0.99742,0.96634
131,0.99742,0.9716
132,0.99743,0.95402
133,0.99741,0.95498
134,0.99743,0.98092
135,0.9974,0.95834
136,0.99743,0.95943
137,0.99742,0.96515
138,0.99743,0.95781
139,0.99742,0.96515
140,0.99739,0.97148
141,0.9974,0.97018
142,0.9974,0.9613
143,0.9974,0.96429
144,0.9974,0.97299
145,0.99743,0.96827
146,0.99743,0.97879
147,0.99741,0.95749
148,0.99743,0.96602
149,0.99743,0.97688
