res_expno,res_lbl_score,res_tst_score
0,0.95013,0.9672
1,0.9676,0.96481
2,0.9621,0.95955
3,0.95036,0.97886
4,0.94556,0.9682
5,0.93649,0.96704
6,0.93164,0.98335
7,0.95426,0.97191
8,0.94378,0.9831
9,0.95897,0.96743
10,0.94354,0.97506
11,0.9542,0.96086
12,0.95685,0.96501
13,0.95065,0.96445
14,0.96931,0.94594
15,0.9465,0.97472
16,0.952,0.96819
17,0.95427,0.95214
18,0.94696,0.97698
19,0.96942,0.95368
20,0.94956,0.9676
21,0.93544,0.98648
22,0.95612,0.97105
23,0.95253,0.96787
24,0.95809,0.96813
25,0.95341,0.97429
26,0.951,0.96258
27,0.97219,0.95336
28,0.94778,0.95717
29,0.95359,0.96451
30,0.9549,0.95322
31,0.95655,0.95211
32,0.94878,0.97079
33,0.96485,0.95518
34,0.95224,0.95995
35,0.97149,0.95375
36,0.94805,0.97064
37,0.94902,0.96475
38,0.96559,0.96079
39,0.93698,0.97466
40,0.93352,0.98234
41,0.96171,0.94662
42,0.95932,0.96444
43,0.96737,0.95734
44,0.95888,0.96877
45,0.97334,0.95029
46,0.95525,0.95917
47,0.9408,0.97496
48,0.95217,0.95909
49,0.9477,0.96776
50,0.95016,0.96341
51,0.94599,0.95715
52,0.94792,0.96803
53,0.95501,0.95628
54,0.98117,0.95032
55,0.95528,0.95308
56,0.95542,0.96454
57,0.97344,0.95482
58,0.95072,0.96474
59,0.96029,0.96087
60,0.95523,0.9709
61,0.96011,0.95879
62,0.93293,0.98225
63,0.95105,0.95455
64,0.9617,0.96081
65,0.95708,0.96151
66,0.95899,0.97637
67,0.94978,0.96773
68,0.95433,0.96114
69,0.95367,0.96836
70,0.95407,0.96099
71,0.94505,0.95821
72,0.96052,0.96455
73,0.9394,0.95404
74,0.94567,0.96927
75,0.95016,0.97246
76,0.95293,0.964
77,0.95298,0.96106
78,0.95393,0.9677
79,0.95528,0.95545
80,0.96101,0.9572
81,0.96874,0.94726
82,0.94716,0.97128
83,0.9518,0.96109
84,0.94411,0.9746
85,0.94281,0.96467
86,0.94474,0.96793
87,0.9591,0.95743
88,0.94272,0.96809
89,0.95806,0.95089
90,0.97014,0.94671
91,0.9416,0.95582
92,0.9604,0.97707
93,0.97685,0.9356
94,0.9615,0.96432
95,0.95429,0.95063
96,0.96666,0.95364
97,0.95718,0.96837
98,0.95995,0.9592
99,0.95041,0.95674
100,0.95832,0.95847
101,0.96035,0.9686
102,0.95409,0.95057
103,0.93485,0.96516
104,0.9446,0.97179
105,0.9519,0.96429
106,0.94457,0.97207
107,0.96315,0.96463
108,0.93476,0.96781
109,0.9617,0.96451
110,0.9479,0.96546
111,0.95085,0.97918
112,0.95447,0.96102
113,0.96174,0.95401
114,0.94111,0.97185
115,0.96254,0.95351
116,0.96337,0.95462
117,0.9373,0.97291
118,0.95334,0.95667
119,0.97239,0.95002
120,0.96132,0.95501
121,0.95853,0.96364
122,0.9586,0.97123
123,0.96076,0.96154
124,0.93655,0.97118
125,0.95421,0.96466
126,0.94713,0.96379
127,0.9561,0.97507
128,0.95776,0.96613
129,0.94767,0.97288
130,0.97317,0.96607
131,0.94501,0.95687
132,0.96345,0.9568
133,0.96333,0.96149
134,0.94538,0.96427
135,0.97144,0.95646
136,0.95033,0.95034
137,0.95339,0.95341
138,0.9722,0.94304
139,0.97608,0.95386
140,0.95282,0.95941
141,0.9532,0.97148
142,0.95578,0.95392
143,0.95997,0.94659
144,0.94021,0.96412
145,0.96154,0.96481
146,0.95008,0.97203
147,0.96833,0.94658
148,0.96433,0.9514
149,0.94728,0.97925
