res_expno,res_lbl_score,res_tst_score
0,0.83588,0.71186
1,0.75914,0.78792
2,0.80768,0.75533
3,0.75643,0.80034
4,0.81839,0.72223
5,0.76852,0.75292
6,0.76292,0.79062
7,0.76502,0.78438
8,0.75246,0.73506
9,0.8271,0.71057
10,0.76121,0.78774
11,0.74963,0.79329
12,0.83765,0.71586
13,0.77532,0.79214
14,0.75134,0.74825
15,0.74583,0.79583
16,0.8037,0.76025
17,0.84065,0.73237
18,0.7664,0.7415
19,0.75494,0.73047
20,0.77267,0.73515
21,0.76287,0.7858
22,0.76178,0.78612
23,0.73106,0.80755
24,0.78955,0.78899
25,0.75793,0.76883
26,0.7672,0.72456
27,0.76017,0.7235
28,0.76612,0.78291
29,0.75858,0.73852
30,0.75919,0.73835
31,0.74399,0.79372
32,0.77577,0.79044
33,0.74563,0.72235
34,0.82341,0.7262
35,0.76987,0.78984
36,0.75603,0.77712
37,0.7575,0.78357
38,0.75705,0.78623
39,0.73846,0.80263
40,0.82901,0.72036
41,0.76385,0.72747
42,0.75853,0.78969
43,0.73993,0.79797
44,0.75799,0.77994
45,0.83912,0.72628
46,0.76003,0.78098
47,0.76013,0.78659
48,0.74412,0.73481
49,0.74189,0.80524
50,0.75144,0.79961
51,0.76944,0.72253
52,0.77558,0.80566
53,0.7708,0.78828
54,0.8156,0.73586
55,0.83036,0.73612
56,0.75806,0.78283
57,0.73789,0.72787
58,0.75488,0.7814
59,0.77267,0.76481
60,0.76549,0.77732
61,0.76803,0.70676
62,0.77233,0.77668
63,0.77092,0.78607
64,0.72667,0.74121
65,0.81535,0.72925
66,0.75575,0.79001
67,0.77265,0.7744
68,0.76761,0.71761
69,0.76104,0.78109
70,0.76621,0.78922
71,0.76584,0.77345
72,0.75153,0.71272
73,0.77118,0.72783
74,0.76389,0.73896
75,0.75727,0.7645
76,0.83116,0.72515
77,0.76803,0.77361
78,0.74408,0.79424
79,0.7441,0.80152
80,0.74103,0.71555
81,0.75408,0.80059
82,0.76406,0.78151
83,0.76158,0.71354
84,0.7782,0.7665
85,0.76952,0.7737
86,0.83407,0.71544
87,0.8273,0.73634
88,0.7744,0.74181
89,0.75955,0.77586
90,0.82675,0.7285
91,0.75955,0.78007
92,0.82381,0.71923
93,0.74513,0.79551
94,0.77182,0.77912
95,0.78659,0.71311
96,0.75686,0.80303
97,0.74158,0.79943
98,0.77411,0.78904
99,0.8352,0.73909
100,0.83327,0.7263
101,0.7441,0.79592
102,0.76467,0.78774
103,0.74383,0.79622
104,0.75361,0.78738
105,0.73721,0.78182
106,0.83761,0.72225
107,0.75464,0.72994
108,0.75715,0.77881
109,0.75934,0.80151
110,0.75718,0.78176
111,0.73965,0.78213
112,0.75742,0.71362
113,0.75761,0.71723
114,0.75548,0.78491
115,0.75256,0.78313
116,0.83219,0.72003
117,0.76448,0.78225
118,0.76012,0.78362
119,0.76016,0.72058
120,0.74942,0.78267
121,0.76944,0.78307
122,0.8198,0.72465
123,0.82018,0.70764
124,0.76556,0.69258
125,0.76367,0.80045
126,0.74747,0.79965
127,0.76401,0.76002
128,0.76224,0.79099
129,0.76141,0.78192
130,0.82998,0.72644
131,0.76145,0.7752
132,0.8263,0.72823
133,0.78405,0.71428
134,0.84503,0.73164
