res_expno,res_lbl_score,res_tst_score
0,0.99894,0.96161
1,0.99894,0.98252
2,0.99894,0.98879
3,0.99894,0.98319
4,0.99894,0.98893
5,0.99892,0.92414
6,0.99892,0.96034
7,0.99894,0.99171
8,0.99894,0.98053
9,0.99894,0.90624
10,0.99894,0.926
11,0.99894,0.98992
12,0.99894,0.88712
13,0.99893,0.95972
14,0.99894,0.97786
15,0.99894,0.99467
16,0.99894,0.99489
17,0.99893,0.91787
18,0.99894,0.97828
19,0.99894,0.99623
20,0.99894,0.87462
21,0.99894,0.99415
22,0.99893,0.96074
23,0.99894,0.99317
24,0.99894,0.92886
25,0.99892,0.98502
26,0.99894,0.99631
27,0.99894,0.9852
28,0.99893,0.93618
29,0.99893,0.91883
30,0.99894,0.9928
31,0.99894,0.90746
32,0.99894,0.92365
33,0.99891,0.9043
34,0.99894,0.97279
35,0.99894,0.92645
36,0.99893,0.9386
37,0.99894,0.99575
38,0.99894,0.95168
39,0.99894,0.99354
40,0.99894,0.98038
41,0.99894,0.99482
42,0.99894,0.99316
43,0.99893,0.9365
44,0.99894,0.99109
45,0.99893,0.94498
46,0.99894,0.94136
47,0.99894,0.94896
48,0.99894,0.98157
49,0.99894,0.90031
50,0.99894,0.99321
51,0.99894,0.95988
52,0.99893,0.94186
53,0.99894,0.92232
54,0.99894,0.99284
55,0.99893,0.87927
56,0.99894,0.99285
57,0.99894,0.99589
58,0.99894,0.98954
59,0.99892,0.95995
60,0.99894,0.9402
61,0.99893,0.92973
62,0.99893,0.96016
63,0.99894,0.91384
64,0.99894,0.97156
65,0.99894,0.93897
66,0.99894,0.92069
67,0.99894,0.99456
68,0.99894,0.95936
69,0.99894,0.9955
70,0.99894,0.94506
71,0.99894,0.95474
72,0.99894,0.96291
73,0.99893,0.91835
74,0.99894,0.9937
75,0.99893,0.95105
76,0.99894,0.9398
77,0.99893,0.91994
78,0.99893,0.92662
79,0.99893,0.96351
80,0.99894,0.94582
81,0.99888,0.95613
82,0.99894,0.98526
83,0.99894,0.97736
84,0.99894,0.98621
85,0.99894,0.99473
86,0.99894,0.98789
87,0.99894,0.94681
88,0.99894,0.98987
89,0.99894,0.91686
90,0.99894,0.95063
91,0.99894,0.90856
92,0.99894,0.96163
93,0.99888,0.95296
94,0.99894,0.91537
95,0.99894,0.86166
96,0.99891,0.95914
97,0.99894,0.91781
98,0.99894,0.90993
99,0.99894,0.89096
100,0.99894,0.90778
101,0.99893,0.95617
102,0.99894,0.94868
103,0.99894,0.9213
104,0.99894,0.977
105,0.99892,0.93767
106,0.99894,0.94729
107,0.99894,0.99137
108,0.99892,0.95026
109,0.99894,0.98405
110,0.99893,0.95192
111,0.99894,0.99015
112,0.99894,0.99476
113,0.99892,0.92889
114,0.99894,0.9931
115,0.99893,0.99479
116,0.99894,0.94652
117,0.99893,0.95447
118,0.99893,0.94299
119,0.99892,0.9108
120,0.99893,0.9578
121,0.99893,0.94278
122,0.99894,0.99581
123,0.99894,0.98171
124,0.99894,0.94937
125,0.99893,0.9204
126,0.99894,0.99104
127,0.99894,0.99568
128,0.99894,0.99342
129,0.99894,0.99452
130,0.99894,0.98246
131,0.99894,0.97248
132,0.99894,0.98986
133,0.99894,0.87213
134,0.99894,0.87653
