res_expno,res_lbl_score,res_tst_score
0,0.61646,0.65751
1,0.56869,0.63752
2,0.60403,0.7304
3,0.60164,0.72016
4,0.57111,0.6392
5,0.58609,0.67397
6,0.57881,0.66997
7,0.58494,0.67552
8,0.60525,0.72135
9,0.56964,0.6097
10,0.61545,0.71555
11,0.59694,0.66187
12,0.62776,0.70753
13,0.60352,0.72362
14,0.61218,0.65897
15,0.60406,0.70581
16,0.61321,0.71453
17,0.58854,0.66147
18,0.64061,0.7282
19,0.60084,0.69835
20,0.57999,0.68108
21,0.58409,0.66235
22,0.59944,0.68206
23,0.58743,0.68662
24,0.60645,0.71768
25,0.61417,0.68806
26,0.60124,0.67826
27,0.58769,0.67784
28,0.57495,0.66098
29,0.61001,0.69213
30,0.57867,0.6924
31,0.60496,0.698
32,0.58123,0.6931
33,0.57921,0.67409
34,0.58363,0.65523
35,0.6047,0.66335
36,0.60612,0.65638
37,0.60852,0.6756
38,0.6283,0.68923
39,0.58503,0.65197
40,0.56886,0.62319
41,0.58015,0.66491
42,0.61576,0.67884
43,0.59389,0.63649
44,0.61722,0.6803
45,0.6001,0.68678
46,0.6263,0.71077
47,0.62139,0.71953
48,0.59165,0.67748
49,0.63353,0.68323
50,0.62831,0.74325
51,0.57974,0.66524
52,0.5795,0.68413
53,0.62093,0.67795
54,0.58041,0.66908
55,0.60186,0.69158
56,0.60634,0.67129
57,0.59073,0.64238
58,0.58494,0.64597
59,0.61969,0.6723
60,0.64361,0.70288
61,0.59103,0.63034
62,0.60356,0.6607
63,0.61761,0.67888
64,0.61841,0.68375
65,0.55276,0.63323
66,0.61572,0.68228
67,0.64558,0.73323
68,0.55755,0.65505
69,0.59917,0.66097
70,0.60779,0.69191
71,0.59418,0.65187
72,0.59984,0.68749
73,0.57707,0.63812
74,0.58654,0.70305
75,0.62061,0.68709
76,0.61246,0.68236
77,0.65752,0.7041
78,0.62837,0.7073
79,0.61182,0.68614
80,0.55831,0.60465
81,0.59628,0.67806
82,0.58051,0.65338
83,0.60756,0.69303
84,0.60783,0.66579
85,0.59148,0.67436
86,0.59497,0.65045
87,0.59431,0.68632
88,0.6386,0.68901
89,0.63725,0.69854
90,0.57035,0.67486
91,0.62169,0.66604
92,0.60333,0.65195
93,0.619,0.69585
94,0.62746,0.69006
95,0.62335,0.68443
96,0.60698,0.71704
97,0.6122,0.7087
98,0.62221,0.70932
99,0.59775,0.69333
100,0.5899,0.67697
101,0.62184,0.67508
102,0.59466,0.691
103,0.58942,0.68835
104,0.6257,0.71358
105,0.60782,0.66071
106,0.61311,0.70695
107,0.58179,0.68148
108,0.60195,0.65081
109,0.58655,0.7201
110,0.62266,0.68562
111,0.59504,0.68998
112,0.58694,0.67487
113,0.62354,0.66369
114,0.61722,0.68192
115,0.59059,0.66419
116,0.58401,0.65611
117,0.58437,0.63801
118,0.61828,0.65333
119,0.5624,0.68151
120,0.60058,0.63
121,0.60567,0.65897
122,0.59532,0.69665
123,0.56862,0.64375
124,0.61787,0.68967
125,0.61967,0.74263
126,0.57335,0.64251
127,0.60523,0.66581
128,0.58965,0.67981
129,0.61664,0.67834
130,0.59067,0.66404
131,0.64264,0.67891
132,0.58407,0.66587
133,0.61991,0.67766
134,0.61533,0.69786
135,0.61423,0.65224
136,0.62715,0.68093
137,0.57528,0.66052
138,0.60345,0.66468
139,0.59474,0.66343
140,0.58327,0.67347
141,0.59823,0.67145
142,0.64968,0.71025
143,0.59914,0.68257
144,0.59439,0.63386
145,0.58351,0.67102
146,0.57904,0.65093
147,0.59877,0.66075
148,0.61602,0.71312
149,0.60925,0.691
