res_expno,res_lbl_score,res_tst_score
0,0.99894,0.99718
1,0.99894,0.99689
2,0.99894,0.99791
3,0.99894,0.99708
4,0.99894,0.99729
5,0.99894,0.99802
6,0.99892,0.99502
7,0.99894,0.99663
8,0.99894,0.99677
9,0.99894,0.99645
10,0.99894,0.98805
11,0.99894,0.99571
12,0.99894,0.99429
13,0.99894,0.9975
14,0.99894,0.99868
15,0.99894,0.99827
16,0.99894,0.99673
17,0.99893,0.994
18,0.99894,0.99541
19,0.99894,0.99473
20,0.99894,0.98754
21,0.99894,0.99816
22,0.99894,0.99655
23,0.99894,0.99403
24,0.99894,0.98959
25,0.99894,0.99826
26,0.99894,0.99696
27,0.99894,0.99463
28,0.99894,0.99691
29,0.99894,0.99522
30,0.99894,0.9965
31,0.99894,0.98818
32,0.99894,0.98904
33,0.99894,0.99806
34,0.99894,0.99722
35,0.99894,0.99065
36,0.99894,0.99689
37,0.99894,0.99652
38,0.99894,0.99813
39,0.99894,0.99843
40,0.99894,0.9952
41,0.99894,0.99733
42,0.99894,0.99714
43,0.99894,0.99664
44,0.99894,0.99479
45,0.99894,0.99699
46,0.99894,0.99045
47,0.99894,0.99367
48,0.99894,0.99484
49,0.99894,0.98509
50,0.99894,0.99485
51,0.99894,0.99613
52,0.99894,0.99788
53,0.99894,0.9897
54,0.99894,0.99643
55,0.99894,0.99475
56,0.99894,0.99659
57,0.99894,0.99672
58,0.99894,0.99837
59,0.99893,0.9933
60,0.99894,0.99407
61,0.99894,0.99852
62,0.99894,0.99443
63,0.99894,0.98927
64,0.99894,0.99565
65,0.99894,0.99677
66,0.99894,0.99014
67,0.99894,0.99777
68,0.99894,0.99609
69,0.99894,0.99819
70,0.99894,0.99323
71,0.99894,0.9972
72,0.99894,0.99687
73,0.99894,0.99553
74,0.99894,0.99683
75,0.99894,0.99826
76,0.99894,0.99801
77,0.99894,0.9867
78,0.99894,0.98836
79,0.99894,0.99395
80,0.99894,0.99819
81,0.99888,0.99286
82,0.99894,0.99631
83,0.99894,0.99829
84,0.99894,0.99509
85,0.99894,0.99685
86,0.99894,0.99732
87,0.99894,0.99703
88,0.99894,0.99685
89,0.99894,0.98602
90,0.99893,0.99776
91,0.99894,0.9882
92,0.99894,0.99738
93,0.99888,0.99344
94,0.99894,0.98992
95,0.99894,0.98507
96,0.99894,0.99528
97,0.99894,0.98908
98,0.99894,0.98751
99,0.99893,0.9929
100,0.99894,0.99745
101,0.99894,0.99528
102,0.99894,0.99008
103,0.99894,0.99023
104,0.99894,0.99739
105,0.99894,0.9968
106,0.99894,0.99796
107,0.99894,0.99687
108,0.99894,0.99224
109,0.99894,0.99715
110,0.99894,0.99741
111,0.99894,0.99825
112,0.99894,0.99694
113,0.99894,0.99461
114,0.99894,0.99694
115,0.99894,0.99779
116,0.99894,0.99846
117,0.99894,0.99519
118,0.99893,0.99277
119,0.99894,0.9956
120,0.99894,0.99677
121,0.99894,0.99615
122,0.99894,0.99797
123,0.99894,0.99697
124,0.99894,0.99539
125,0.99894,0.99062
126,0.99894,0.99673
127,0.99894,0.99726
128,0.99894,0.99698
129,0.99894,0.99811
130,0.99894,0.99795
131,0.99894,0.99633
132,0.99894,0.99597
133,0.99894,0.98279
134,0.99894,0.98778
135,0.99894,0.99693
136,0.99894,0.99348
137,0.99894,0.99484
138,0.99894,0.99689
139,0.99894,0.98963
140,0.99894,0.9972
141,0.99894,0.99731
142,0.99894,0.99742
143,0.99894,0.99406
144,0.99894,0.99616
145,0.99894,0.99852
146,0.99894,0.99659
147,0.99894,0.99825
148,0.99892,0.99022
149,0.99894,0.99644
