res_expno,res_lbl_score,res_tst_score
0,0.55588,0.60181
1,0.57471,0.58612
2,0.56466,0.63254
3,0.6078,0.63726
4,0.59724,0.58114
5,0.56828,0.61542
6,0.56647,0.59157
7,0.60173,0.60934
8,0.54393,0.6209
9,0.61416,0.57105
10,0.61559,0.62787
11,0.56975,0.61815
12,0.58507,0.58177
13,0.58069,0.62702
14,0.59452,0.63299
15,0.56869,0.59842
16,0.56955,0.62905
17,0.56468,0.61507
18,0.57068,0.62671
19,0.57798,0.63434
20,0.70376,0.63426
21,0.58021,0.58299
22,0.5609,0.6001
23,0.59246,0.61774
24,0.69151,0.67245
25,0.58444,0.59464
26,0.59547,0.60705
27,0.61081,0.62878
28,0.59511,0.57951
29,0.57348,0.63526
30,0.57689,0.6145
31,0.63789,0.66513
32,0.5916,0.62163
33,0.5613,0.59495
34,0.52071,0.5956
35,0.56874,0.60055
36,0.59111,0.61963
37,0.57538,0.61269
38,0.58122,0.60605
39,0.56119,0.60252
40,0.55587,0.60892
41,0.56124,0.59474
42,0.5934,0.62713
43,0.56261,0.57818
44,0.58083,0.58648
45,0.59594,0.62431
46,0.56235,0.61336
47,0.60234,0.6395
48,0.5877,0.59816
49,0.58219,0.63389
50,0.57378,0.65154
51,0.57249,0.60039
52,0.57605,0.62036
53,0.63784,0.66016
54,0.57674,0.59624
55,0.57652,0.59861
56,0.57652,0.60228
57,0.56802,0.56886
58,0.59772,0.58725
59,0.59344,0.59631
60,0.58765,0.605
61,0.56031,0.55682
62,0.58,0.5919
63,0.60644,0.65121
64,0.57727,0.58526
65,0.58363,0.5749
66,0.62049,0.62976
67,0.60941,0.61545
68,0.60343,0.5955
69,0.55171,0.58688
70,0.54244,0.59998
71,0.59309,0.59227
72,0.60478,0.61001
73,0.60508,0.60437
74,0.57234,0.62585
75,0.60089,0.61081
76,0.57957,0.59654
77,0.62054,0.64337
78,0.57616,0.63154
79,0.5435,0.5869
80,0.57789,0.55926
81,0.59212,0.59523
82,0.60335,0.57865
83,0.55624,0.59644
84,0.58033,0.60836
85,0.61027,0.59383
86,0.59407,0.59455
87,0.57784,0.61366
88,0.58956,0.62723
89,0.76929,0.67516
90,0.55844,0.60768
91,0.58994,0.62228
92,0.5844,0.60828
93,0.55913,0.61344
94,0.76712,0.67024
95,0.7416,0.63142
96,0.59798,0.62138
97,0.75437,0.70877
98,0.59492,0.62184
99,0.60659,0.60601
100,0.56323,0.57902
101,0.5782,0.59347
102,0.5768,0.59772
103,0.5994,0.60895
104,0.60518,0.66582
105,0.60501,0.65343
106,0.5637,0.63075
107,0.60205,0.61621
108,0.57501,0.59311
109,0.59008,0.65825
110,0.57435,0.62047
111,0.57542,0.58979
112,0.57684,0.58965
113,0.57664,0.59318
114,0.57227,0.59574
115,0.55755,0.59656
116,0.5606,0.60656
117,0.5623,0.58068
118,0.56537,0.58332
119,0.57824,0.60415
120,0.61033,0.61437
121,0.56115,0.6091
122,0.58135,0.62581
123,0.50938,0.56685
124,0.58097,0.5657
125,0.56077,0.63168
126,0.55339,0.58158
127,0.61148,0.58047
128,0.572,0.61348
129,0.54749,0.58308
130,0.59805,0.6117
131,0.58709,0.58663
132,0.55483,0.60963
133,0.74473,0.62234
134,0.5981,0.62842
135,0.59488,0.61731
136,0.59363,0.63222
137,0.6218,0.58489
138,0.54567,0.56575
139,0.59075,0.60713
140,0.57939,0.63186
141,0.60129,0.58935
142,0.59883,0.60509
143,0.56989,0.59975
144,0.57933,0.59669
145,0.60304,0.61685
146,0.61195,0.59538
147,0.57199,0.60135
148,0.57634,0.60934
149,0.57769,0.61119
