res_expno,res_lbl_score,res_tst_score
0,0.94662,0.97269
1,0.93561,0.96992
2,0.95179,0.98226
3,0.94082,0.96882
4,0.93909,0.97395
5,0.9592,0.986
6,0.95031,0.97714
7,0.95205,0.97226
8,0.9601,0.98565
9,0.93466,0.96599
10,0.95612,0.97675
11,0.94164,0.97953
12,0.93288,0.9599
13,0.94548,0.97025
14,0.95757,0.97975
15,0.94551,0.97981
16,0.94713,0.98189
17,0.95134,0.967
18,0.95682,0.97049
19,0.95464,0.96986
20,0.94904,0.90705
21,0.95394,0.98327
22,0.96039,0.98793
23,0.9516,0.97687
24,0.94958,0.94861
25,0.95584,0.97973
26,0.95764,0.98123
27,0.96059,0.97749
28,0.93473,0.96429
29,0.94683,0.97145
30,0.94703,0.97375
31,0.95946,0.96615
32,0.94775,0.96704
33,0.95216,0.9729
34,0.95958,0.98204
35,0.94979,0.9583
36,0.95156,0.98006
37,0.95249,0.97324
38,0.95966,0.98502
39,0.94833,0.96707
40,0.96073,0.97465
41,0.94028,0.97011
42,0.94545,0.97481
43,0.96007,0.97796
44,0.95744,0.98236
45,0.94719,0.97227
46,0.94378,0.96954
47,0.95837,0.97866
48,0.95253,0.97473
49,0.95411,0.97172
50,0.96829,0.98372
51,0.95059,0.97142
52,0.95617,0.9842
53,0.94659,0.95497
54,0.94897,0.96981
55,0.95787,0.97676
56,0.94508,0.96587
57,0.93903,0.96763
58,0.94645,0.97597
59,0.95069,0.97733
60,0.9466,0.97425
61,0.95121,0.97613
62,0.93981,0.97023
63,0.94993,0.97344
64,0.94962,0.98248
65,0.94758,0.97288
66,0.94337,0.96637
67,0.95162,0.98193
68,0.94847,0.96511
69,0.9578,0.9806
70,0.95108,0.96537
71,0.95968,0.98039
72,0.96806,0.98165
73,0.94884,0.97196
74,0.9545,0.97693
75,0.96063,0.97886
76,0.96248,0.98519
77,0.9491,0.95606
78,0.95889,0.97596
79,0.94714,0.97506
80,0.94851,0.97318
81,0.93011,0.96402
82,0.94739,0.97399
83,0.94969,0.97059
84,0.951,0.97678
85,0.95384,0.97518
86,0.95287,0.97185
87,0.94679,0.97096
88,0.95504,0.97601
89,0.94599,0.93191
90,0.96287,0.97903
91,0.95322,0.96854
92,0.94776,0.97707
93,0.94959,0.97878
94,0.95904,0.93112
95,0.95123,0.89171
96,0.95439,0.98198
97,0.95386,0.93423
98,0.9535,0.96924
99,0.93965,0.97488
100,0.94168,0.97681
101,0.94743,0.97322
102,0.93516,0.96403
103,0.95767,0.9811
104,0.95602,0.97475
105,0.95152,0.96861
106,0.95531,0.97533
107,0.93793,0.97051
108,0.95772,0.97901
109,0.95582,0.97993
110,0.95755,0.98415
111,0.94691,0.97438
112,0.95946,0.97578
113,0.96308,0.98073
114,0.94296,0.973
115,0.94849,0.97197
116,0.95074,0.97471
117,0.9572,0.97747
118,0.9598,0.97802
119,0.93926,0.96244
120,0.95453,0.98204
121,0.95281,0.97769
122,0.94214,0.97913
123,0.96605,0.98207
124,0.93807,0.96366
125,0.94224,0.96995
126,0.95911,0.98242
127,0.93588,0.96205
128,0.95339,0.97609
129,0.95446,0.97324
130,0.94398,0.97436
131,0.94671,0.95929
132,0.95521,0.98159
133,0.94755,0.89056
134,0.95838,0.97191
135,0.94859,0.97152
136,0.95988,0.97368
137,0.94435,0.96073
138,0.94742,0.97502
139,0.93887,0.97311
140,0.95007,0.97714
141,0.95146,0.97801
142,0.95356,0.98137
143,0.9441,0.97622
144,0.95318,0.9748
145,0.94457,0.96788
146,0.93923,0.95927
147,0.94538,0.9751
148,0.93517,0.95961
149,0.95237,0.97638
