res_expno,res_lbl_score,res_tst_score
0,0.99894,0.99743
1,0.99894,0.99718
2,0.99894,0.99775
3,0.99894,0.99719
4,0.99894,0.99742
5,0.99894,0.99742
6,0.99894,0.9984
7,0.99894,0.99628
8,0.99894,0.99672
9,0.99894,0.9969
10,0.99894,0.99513
11,0.99894,0.99577
12,0.99894,0.99354
13,0.99894,0.99728
14,0.99894,0.99863
15,0.99894,0.99871
16,0.99894,0.99726
17,0.99893,0.99532
18,0.99894,0.99558
19,0.99893,0.99466
20,0.99894,0.94927
21,0.99894,0.99834
22,0.99894,0.99863
23,0.99894,0.99578
24,0.99894,0.96862
25,0.99894,0.99857
26,0.99894,0.99868
27,0.99894,0.99563
28,0.99894,0.9974
29,0.99894,0.99617
30,0.99894,0.99655
31,0.99894,0.98518
32,0.99894,0.98981
33,0.99894,0.99846
34,0.99894,0.9979
35,0.99894,0.99757
36,0.99894,0.99679
37,0.99894,0.99717
38,0.99894,0.99858
39,0.99894,0.99867
40,0.99894,0.99766
41,0.99894,0.99729
42,0.99894,0.99717
43,0.99894,0.9966
44,0.99894,0.99647
45,0.99894,0.99672
46,0.99894,0.996
47,0.99894,0.99788
48,0.99894,0.99563
49,0.99894,0.99379
50,0.99894,0.99571
51,0.99894,0.99733
52,0.99894,0.9983
53,0.99894,0.98824
54,0.99894,0.99726
55,0.99894,0.99483
56,0.99894,0.99704
57,0.99894,0.99692
58,0.99894,0.99865
59,0.99894,0.99711
60,0.99894,0.99807
61,0.99894,0.99875
62,0.99894,0.99668
63,0.99894,0.99145
64,0.99894,0.99671
65,0.99894,0.997
66,0.99894,0.98071
67,0.99894,0.99844
68,0.99894,0.99763
69,0.99894,0.99851
70,0.99894,0.9966
71,0.99894,0.99714
72,0.99894,0.99703
73,0.99894,0.99682
74,0.99894,0.99667
75,0.99894,0.99814
76,0.99894,0.99762
77,0.99894,0.99197
78,0.99894,0.99842
79,0.99894,0.99786
80,0.99894,0.99837
81,0.99894,0.99719
82,0.99894,0.99616
83,0.99894,0.99861
84,0.99894,0.99502
85,0.99894,0.99729
86,0.99894,0.99762
87,0.99894,0.99818
88,0.99894,0.99682
89,0.99894,0.95781
90,0.99894,0.99789
91,0.99894,0.99359
92,0.99894,0.9982
93,0.99893,0.99853
94,0.99894,0.98922
95,0.99894,0.92168
96,0.99894,0.99821
97,0.99894,0.95928
98,0.99894,0.98782
99,0.99894,0.99764
100,0.99894,0.99684
101,0.99894,0.99755
102,0.99894,0.99628
103,0.99894,0.99509
104,0.99894,0.99741
105,0.99894,0.99778
106,0.99894,0.99797
107,0.99894,0.99702
108,0.99894,0.9952
109,0.99894,0.99781
110,0.99894,0.99848
111,0.99894,0.99856
112,0.99894,0.9971
113,0.99894,0.9943
114,0.99894,0.99698
115,0.99894,0.99884
116,0.99894,0.99835
117,0.99893,0.99568
118,0.99894,0.99759
119,0.99894,0.99695
120,0.99894,0.99691
121,0.99894,0.99665
122,0.99894,0.99771
123,0.99894,0.99692
124,0.99894,0.99554
125,0.99894,0.99377
126,0.99894,0.99764
127,0.99894,0.9974
128,0.99894,0.99655
129,0.99894,0.99861
130,0.99894,0.99845
131,0.99894,0.99614
132,0.99894,0.99661
133,0.99894,0.94843
134,0.99894,0.99407
135,0.99894,0.99715
136,0.99894,0.99532
137,0.99894,0.99523
138,0.99894,0.99713
139,0.99894,0.99354
140,0.99894,0.9968
141,0.99894,0.99823
142,0.99894,0.99838
143,0.99894,0.99782
144,0.99894,0.99467
145,0.99894,0.99856
146,0.99894,0.99707
147,0.99894,0.99872
148,0.99894,0.99565
149,0.99894,0.99729
