res_expno,res_lbl_score,res_tst_score
0,0.96152,0.98333
1,0.96217,0.98938
2,0.9668,0.98886
3,0.97807,0.99112
4,0.98076,0.992
5,0.96806,0.98997
6,0.9734,0.98223
7,0.97501,0.99159
8,0.98193,0.99166
9,0.96915,0.99109
10,0.97249,0.98614
11,0.95053,0.99118
12,0.96566,0.98397
13,0.96649,0.98819
14,0.95517,0.98217
15,0.96826,0.99419
16,0.97423,0.99026
17,0.97719,0.98632
18,0.95827,0.97563
19,0.98416,0.97967
20,0.98299,0.98191
21,0.97899,0.99304
22,0.96397,0.98879
23,0.96719,0.98429
24,0.98772,0.98288
25,0.97022,0.98816
26,0.96644,0.98869
27,0.97667,0.98502
28,0.97454,0.99367
29,0.9793,0.99215
30,0.97924,0.98566
31,0.97977,0.97847
32,0.98289,0.9845
33,0.97307,0.98457
34,0.97732,0.99184
35,0.97286,0.97549
36,0.96165,0.98494
37,0.97102,0.9849
38,0.96702,0.98808
39,0.97415,0.99144
40,0.96984,0.9811
41,0.9577,0.98802
42,0.97095,0.98702
43,0.96689,0.98323
44,0.9733,0.99073
45,0.96687,0.98284
46,0.9854,0.98214
47,0.96288,0.97591
48,0.9811,0.98588
49,0.97113,0.96481
50,0.97794,0.98755
51,0.97331,0.9787
52,0.97055,0.99159
53,0.97282,0.97446
54,0.97723,0.98937
55,0.97223,0.99067
56,0.96308,0.97379
57,0.96421,0.98634
58,0.972,0.99273
59,0.9684,0.97358
60,0.97417,0.98474
61,0.97052,0.98359
62,0.96295,0.98228
63,0.9647,0.9811
64,0.96896,0.99589
65,0.96688,0.98546
66,0.96685,0.98329
67,0.98074,0.98624
68,0.98447,0.99017
69,0.96623,0.99035
70,0.97611,0.97739
71,0.97299,0.98272
72,0.98323,0.98744
73,0.97607,0.98658
74,0.97182,0.98916
75,0.9672,0.9782
76,0.97593,0.9932
77,0.97061,0.96555
78,0.97102,0.9712
79,0.97735,0.98426
80,0.9642,0.98462
81,0.97302,0.98015
82,0.97628,0.98973
83,0.97388,0.98218
84,0.95762,0.98458
85,0.96535,0.9868
86,0.96084,0.97794
87,0.96749,0.98446
88,0.97897,0.99144
89,0.98086,0.97447
90,0.96745,0.98542
91,0.96406,0.97116
92,0.96463,0.98908
93,0.97013,0.97777
94,0.97746,0.97716
95,0.97771,0.98152
96,0.97809,0.98648
97,0.97678,0.98423
98,0.97959,0.98262
99,0.96898,0.98536
100,0.97002,0.99112
101,0.96519,0.97687
102,0.97053,0.97923
103,0.97934,0.98563
104,0.96683,0.98194
105,0.97202,0.97885
106,0.96887,0.98611
107,0.96787,0.99299
108,0.95949,0.9795
109,0.97699,0.9894
110,0.96851,0.98841
111,0.96221,0.98785
112,0.97056,0.97938
113,0.978,0.98662
114,0.97324,0.99096
115,0.97142,0.99132
116,0.97601,0.98538
117,0.97338,0.98431
118,0.97353,0.9791
119,0.95495,0.98814
120,0.96636,0.99194
121,0.96754,0.98875
122,0.96165,0.99014
123,0.9801,0.99187
124,0.98118,0.98624
125,0.97051,0.98358
126,0.97808,0.99082
127,0.97317,0.98739
128,0.9782,0.99206
129,0.97825,0.98944
130,0.96783,0.99456
131,0.97599,0.98877
132,0.98158,0.99208
133,0.95129,0.96824
134,0.97514,0.97002
135,0.96844,0.98828
136,0.96784,0.97334
137,0.97684,0.99233
138,0.96384,0.99103
139,0.97885,0.9874
140,0.97068,0.9882
141,0.97588,0.99048
142,0.96792,0.99276
143,0.97152,0.98197
144,0.96073,0.98419
145,0.9612,0.98058
146,0.98214,0.9935
147,0.9617,0.98482
148,0.98003,0.98418
149,0.97177,0.98407
