res_expno,res_lbl_score,res_tst_score
0,0.96664,0.83929
1,0.96189,0.8334
2,0.95198,0.83649
3,0.95679,0.79518
4,0.95977,0.83793
5,0.97943,0.85127
6,0.95159,0.8471
7,0.96075,0.84044
8,0.95305,0.85264
9,0.95163,0.83133
10,0.95045,0.81173
11,0.96444,0.84584
12,0.95528,0.8673
13,0.93207,0.85968
14,0.96703,0.85253
15,0.95938,0.84873
16,0.94926,0.8109
17,0.92909,0.88219
18,0.93222,0.84624
19,0.96844,0.83196
20,0.95541,0.85557
21,0.95368,0.81667
22,0.95798,0.81202
23,0.95171,0.80842
24,0.94895,0.86085
25,0.96022,0.84647
26,0.95786,0.84987
27,0.94725,0.84776
28,0.96417,0.83702
29,0.96973,0.8368
30,0.9535,0.84498
31,0.93901,0.84795
32,0.97063,0.85589
33,0.95247,0.84752
34,0.93402,0.84274
35,0.95142,0.85952
36,0.94666,0.84363
37,0.94653,0.81442
38,0.93988,0.79245
39,0.96174,0.84025
40,0.96105,0.85356
41,0.95684,0.81365
42,0.94832,0.87444
43,0.95985,0.80384
44,0.95469,0.87226
45,0.93983,0.82322
46,0.95842,0.83102
47,0.96665,0.85776
48,0.96034,0.85937
49,0.95976,0.85209
50,0.95746,0.86598
51,0.93063,0.85191
52,0.9702,0.77203
53,0.94081,0.85822
54,0.96302,0.8694
55,0.9508,0.83473
56,0.96571,0.85843
57,0.9334,0.80793
58,0.94821,0.83967
59,0.92846,0.84581
60,0.95016,0.85207
61,0.9566,0.85128
62,0.9364,0.83471
63,0.95828,0.82795
64,0.95338,0.83583
65,0.93399,0.84401
66,0.95395,0.83638
67,0.96665,0.8627
68,0.94073,0.85618
69,0.96847,0.84267
70,0.95178,0.82231
71,0.96415,0.86821
72,0.93161,0.8503
73,0.96511,0.86349
74,0.951,0.88395
75,0.95547,0.8562
76,0.96068,0.84161
77,0.95882,0.86595
78,0.95807,0.84524
79,0.94203,0.8644
80,0.9477,0.85674
81,0.95683,0.85749
82,0.96172,0.82555
83,0.93063,0.83026
84,0.94632,0.86777
85,0.96008,0.87631
86,0.95867,0.84478
87,0.95702,0.83841
88,0.94896,0.84218
89,0.94939,0.78344
90,0.9669,0.86922
91,0.94832,0.83375
92,0.95207,0.84475
93,0.9551,0.85669
94,0.93877,0.81254
95,0.97526,0.87957
96,0.9267,0.83687
97,0.94532,0.83046
98,0.96046,0.82383
99,0.93629,0.87236
100,0.96055,0.87195
101,0.95473,0.82329
102,0.9519,0.82673
103,0.94775,0.86368
104,0.9545,0.84708
105,0.96011,0.85421
106,0.96225,0.85011
107,0.96717,0.81655
108,0.94868,0.85517
109,0.95517,0.86489
110,0.9562,0.85754
111,0.95608,0.84778
112,0.96791,0.86091
113,0.97171,0.84991
114,0.95617,0.87341
115,0.95763,0.86703
116,0.94038,0.83755
117,0.95295,0.85232
118,0.94977,0.8538
119,0.96316,0.83109
120,0.9644,0.80869
121,0.95485,0.86385
122,0.95547,0.84573
123,0.96388,0.86309
124,0.96278,0.83155
125,0.96748,0.83965
126,0.91958,0.81471
127,0.95064,0.84331
128,0.95022,0.82467
129,0.96777,0.85439
130,0.94699,0.84508
131,0.96392,0.85296
132,0.94672,0.86058
133,0.93977,0.81638
134,0.94424,0.86428
135,0.94089,0.80696
136,0.96596,0.85086
137,0.95587,0.85124
138,0.96215,0.81482
139,0.93531,0.84181
140,0.93641,0.85853
141,0.9558,0.80978
142,0.95649,0.86982
143,0.95344,0.84187
144,0.96594,0.82885
145,0.97365,0.82365
146,0.94561,0.80445
147,0.96526,0.82609
148,0.94676,0.83701
149,0.94917,0.80251
