res_expno,res_lbl_score,res_tst_score
0,0.83824,0.76692
1,0.8177,0.75395
2,0.81665,0.75015
3,0.84533,0.71709
4,0.82656,0.74885
5,0.84188,0.76158
6,0.84013,0.73264
7,0.82618,0.75547
8,0.80115,0.76112
9,0.85052,0.71841
10,0.81795,0.75324
11,0.80863,0.74203
12,0.81044,0.78499
13,0.83004,0.76638
14,0.83882,0.74047
15,0.82532,0.75566
16,0.83851,0.71227
17,0.84431,0.74258
18,0.84664,0.73744
19,0.83474,0.75999
20,0.8487,0.73566
21,0.82646,0.73078
22,0.83241,0.73507
23,0.82916,0.72362
24,0.81868,0.76159
25,0.84101,0.7341
26,0.85055,0.73425
27,0.85207,0.75937
28,0.83516,0.73747
29,0.84695,0.73506
30,0.82678,0.74181
31,0.83503,0.75306
32,0.82524,0.73541
33,0.82521,0.74157
34,0.81051,0.74324
35,0.83274,0.75459
36,0.80752,0.75984
37,0.83611,0.73496
38,0.84144,0.76091
39,0.83152,0.76273
40,0.83226,0.74949
41,0.84288,0.74706
42,0.81509,0.76149
43,0.81921,0.74674
44,0.83893,0.7246
45,0.84841,0.73761
46,0.82358,0.76592
47,0.83656,0.73614
48,0.82696,0.74205
49,0.84753,0.74443
50,0.82423,0.7728
51,0.82254,0.71844
52,0.84834,0.76399
53,0.81119,0.75968
54,0.81569,0.75498
55,0.84548,0.75097
56,0.82382,0.75611
57,0.8229,0.74689
58,0.82734,0.75013
59,0.83763,0.76197
60,0.82176,0.74878
61,0.8279,0.75722
62,0.8274,0.76947
63,0.82544,0.7489
64,0.82946,0.73373
65,0.84202,0.73899
66,0.84266,0.76839
67,0.8181,0.76756
68,0.83829,0.76408
69,0.82918,0.74537
70,0.83926,0.72349
71,0.80605,0.75931
72,0.82993,0.7578
73,0.82467,0.76348
74,0.83205,0.76188
75,0.84175,0.73729
76,0.81748,0.74413
77,0.8131,0.73529
78,0.85744,0.73075
79,0.81659,0.75563
80,0.84187,0.75105
81,0.82363,0.75413
82,0.83137,0.71244
83,0.82261,0.74693
84,0.83318,0.74621
85,0.83347,0.74774
86,0.83934,0.71468
87,0.83227,0.72091
88,0.84756,0.74728
89,0.8263,0.75282
90,0.82801,0.76249
91,0.83622,0.75439
92,0.83446,0.74773
93,0.8031,0.76584
94,0.83262,0.76206
95,0.84632,0.74556
96,0.83427,0.77367
97,0.8325,0.74307
98,0.82732,0.77745
99,0.82086,0.72255
100,0.82679,0.74245
101,0.83577,0.72454
102,0.81312,0.75746
103,0.83547,0.76782
104,0.82843,0.74773
105,0.82716,0.77046
106,0.84211,0.7316
107,0.85841,0.70678
108,0.82782,0.77569
109,0.84837,0.73138
110,0.81044,0.77102
111,0.82239,0.7636
112,0.81236,0.76595
113,0.83595,0.73186
114,0.84518,0.71783
115,0.82297,0.74275
116,0.80677,0.759
117,0.82624,0.72232
118,0.82259,0.75184
119,0.8353,0.77091
120,0.82406,0.75284
121,0.84431,0.7185
122,0.82124,0.77123
123,0.82373,0.73516
124,0.80435,0.7555
125,0.80831,0.74627
126,0.82659,0.7196
127,0.8264,0.75529
128,0.84149,0.75967
129,0.82939,0.72821
130,0.83015,0.77066
131,0.83106,0.73724
132,0.83943,0.73615
133,0.84761,0.75439
134,0.81562,0.76877
135,0.8263,0.76826
136,0.80602,0.75762
137,0.82686,0.75458
138,0.82266,0.75209
139,0.83278,0.73857
140,0.85032,0.72713
141,0.83584,0.76195
142,0.83443,0.7508
143,0.83269,0.73316
144,0.81854,0.74387
145,0.83574,0.76501
146,0.83371,0.74129
147,0.84551,0.74166
148,0.82504,0.75623
149,0.81353,0.75946
