res_expno,res_lbl_score,res_tst_score
0,0.89149,0.83036
1,0.90812,0.84255
2,0.91193,0.81979
3,0.89871,0.85458
4,0.89855,0.79183
5,0.90478,0.82496
6,0.91511,0.84021
7,0.88863,0.81717
8,0.91701,0.79883
9,0.90188,0.82611
10,0.89222,0.8379
11,0.87596,0.82629
12,0.90188,0.82039
13,0.90906,0.80159
14,0.90611,0.81815
15,0.88782,0.82307
16,0.89687,0.8065
17,0.90061,0.81602
18,0.91164,0.83829
19,0.89894,0.85651
20,0.9197,0.85444
21,0.89055,0.82059
22,0.90633,0.81798
23,0.91267,0.80837
24,0.89573,0.79698
25,0.89877,0.79135
26,0.91043,0.80634
27,0.88803,0.8588
28,0.88552,0.85215
29,0.8653,0.86275
30,0.91353,0.79967
31,0.90662,0.7835
32,0.90439,0.80427
33,0.8943,0.85373
34,0.92434,0.82579
35,0.89577,0.83783
36,0.904,0.83145
37,0.9174,0.84192
38,0.91811,0.83018
39,0.91683,0.81655
40,0.88975,0.82419
41,0.87593,0.86524
42,0.87532,0.80309
43,0.90232,0.82275
44,0.8919,0.84934
45,0.9036,0.84583
46,0.91459,0.81723
47,0.91161,0.84799
48,0.91642,0.84385
49,0.90739,0.83562
50,0.88426,0.82562
51,0.90988,0.84104
52,0.88971,0.86363
53,0.91298,0.76804
54,0.93916,0.75756
55,0.91724,0.83519
56,0.87532,0.81923
57,0.8924,0.79307
58,0.90408,0.8644
59,0.91969,0.83182
60,0.89541,0.86617
61,0.91489,0.79899
62,0.87734,0.80541
63,0.88898,0.8631
64,0.92394,0.76695
65,0.90549,0.84917
66,0.88583,0.8678
67,0.90051,0.82821
68,0.89937,0.80017
69,0.90805,0.82431
70,0.89379,0.84537
71,0.92017,0.81043
72,0.90588,0.82931
73,0.89856,0.78305
74,0.89178,0.84018
75,0.91233,0.79167
76,0.90474,0.81471
77,0.89531,0.85691
78,0.89562,0.78975
79,0.87696,0.8088
80,0.87927,0.79785
81,0.91504,0.85378
82,0.89956,0.83668
83,0.91845,0.78808
84,0.88912,0.8062
85,0.91992,0.82761
86,0.88727,0.82481
87,0.91919,0.83612
88,0.89808,0.81657
89,0.87958,0.81027
90,0.88593,0.83594
91,0.91249,0.80791
92,0.8998,0.85579
93,0.88755,0.85838
94,0.91808,0.81327
95,0.90072,0.79216
96,0.87169,0.8481
97,0.88842,0.79938
98,0.89897,0.84117
99,0.91105,0.82979
100,0.90371,0.8434
101,0.8963,0.78022
102,0.90064,0.81075
103,0.90581,0.83775
104,0.91387,0.83031
105,0.88603,0.84548
106,0.88447,0.79622
107,0.92024,0.79201
108,0.91654,0.82929
109,0.89254,0.84049
110,0.88464,0.82173
111,0.91933,0.82153
112,0.89367,0.84128
113,0.89897,0.80376
114,0.90096,0.81517
115,0.92126,0.80092
116,0.91507,0.81835
117,0.87026,0.84849
118,0.88351,0.87804
119,0.87788,0.8429
120,0.90835,0.81947
121,0.90361,0.86528
122,0.90241,0.82307
123,0.91959,0.8281
124,0.90728,0.83468
125,0.92952,0.85025
126,0.88872,0.80934
127,0.907,0.83525
128,0.91684,0.83822
129,0.90285,0.79034
130,0.90897,0.79357
131,0.89926,0.77854
132,0.88729,0.82893
133,0.92323,0.83443
134,0.8826,0.83104
135,0.90805,0.82002
136,0.89175,0.84065
137,0.89586,0.82962
138,0.90438,0.8171
139,0.88924,0.78898
140,0.90671,0.8495
141,0.89107,0.83459
142,0.88469,0.83926
143,0.86752,0.83458
144,0.88616,0.80871
145,0.89858,0.80446
146,0.90577,0.84386
147,0.88613,0.85111
148,0.8868,0.80332
149,0.89045,0.88465
