res_expno,res_lbl_score,res_tst_score
0,0.9977,0.86326
1,0.99771,0.87811
2,0.99772,0.8784
3,0.99772,0.89177
4,0.99772,0.84891
5,0.99771,0.89597
6,0.99772,0.90391
7,0.99771,0.88225
8,0.99772,0.86724
9,0.99772,0.92034
10,0.99772,0.91895
11,0.99772,0.8687
12,0.99772,0.89106
13,0.99772,0.88192
14,0.99771,0.86963
15,0.99772,0.91299
16,0.99772,0.91534
17,0.99772,0.89195
18,0.99766,0.89853
19,0.99772,0.89656
20,0.99772,0.89546
21,0.9977,0.86871
22,0.99772,0.90242
23,0.99772,0.86358
24,0.99772,0.85589
25,0.99771,0.86074
26,0.99772,0.91433
27,0.99772,0.9275
28,0.9977,0.89544
29,0.99769,0.89755
30,0.99771,0.86495
31,0.99772,0.90814
32,0.99772,0.85727
33,0.99771,0.88786
34,0.99768,0.88157
35,0.99771,0.90267
36,0.99772,0.91296
37,0.99772,0.88957
38,0.99771,0.86209
39,0.99767,0.86083
40,0.99772,0.92424
41,0.99772,0.90425
42,0.99772,0.90356
43,0.99772,0.89127
44,0.99769,0.91581
45,0.99772,0.90511
46,0.99772,0.88967
47,0.99772,0.87561
48,0.99772,0.88637
49,0.99771,0.88208
50,0.99772,0.89462
51,0.99772,0.88736
52,0.99772,0.91357
53,0.99772,0.85038
54,0.99771,0.82428
55,0.99772,0.90208
56,0.99772,0.91432
57,0.99772,0.86881
58,0.99772,0.91298
59,0.9977,0.88444
60,0.99772,0.91267
61,0.99771,0.86785
62,0.99767,0.88154
63,0.99772,0.91616
64,0.99772,0.85891
65,0.99772,0.89889
66,0.99772,0.89356
67,0.99772,0.87285
68,0.99772,0.87482
69,0.99772,0.88718
70,0.99772,0.89709
71,0.99772,0.86698
72,0.99769,0.9068
73,0.99772,0.89393
74,0.99772,0.89624
75,0.99772,0.87847
76,0.99772,0.85981
77,0.99772,0.90192
78,0.99772,0.86229
79,0.99772,0.91698
80,0.99772,0.92103
81,0.99771,0.90201
82,0.99772,0.89249
83,0.99771,0.88991
84,0.99772,0.91176
85,0.99772,0.88591
86,0.99772,0.89346
87,0.99772,0.8717
88,0.99772,0.87216
89,0.99771,0.86247
90,0.99772,0.91602
91,0.9977,0.89309
92,0.99772,0.91541
93,0.99772,0.9338
94,0.99768,0.86499
95,0.99771,0.86042
96,0.99772,0.926
97,0.99772,0.89279
98,0.99772,0.90051
99,0.99771,0.87612
100,0.99772,0.88951
101,0.99772,0.89501
102,0.99772,0.9032
103,0.9977,0.87778
104,0.99772,0.8911
105,0.99771,0.8903
106,0.99772,0.91921
107,0.99771,0.86567
108,0.9977,0.87618
109,0.99772,0.90203
110,0.99772,0.88135
111,0.99772,0.88817
112,0.99772,0.87853
113,0.99772,0.89248
114,0.99772,0.89448
115,0.99768,0.89103
116,0.99772,0.88592
117,0.99771,0.90608
118,0.99772,0.90747
119,0.99772,0.92423
120,0.99771,0.86928
121,0.99772,0.90612
122,0.99772,0.9087
123,0.99771,0.8769
124,0.99772,0.90007
125,0.99771,0.87324
126,0.99772,0.91966
127,0.9977,0.89388
128,0.99771,0.89505
129,0.9977,0.87332
130,0.99772,0.86436
131,0.99772,0.87843
132,0.99772,0.89423
133,0.99771,0.89132
134,0.9977,0.90026
135,0.99772,0.90821
136,0.9977,0.87709
137,0.99772,0.92414
138,0.99772,0.89742
139,0.99772,0.91035
140,0.99765,0.90457
141,0.99772,0.92291
142,0.9977,0.90508
143,0.99772,0.87651
144,0.99772,0.87917
145,0.99772,0.87637
146,0.99772,0.88726
147,0.99772,0.88966
148,0.99772,0.91945
149,0.99772,0.87106
