res_expno,res_lbl_score,res_tst_score
0,0.61989,0.70966
1,0.61071,0.66042
2,0.63341,0.65277
3,0.62131,0.68545
4,0.63963,0.67233
5,0.61415,0.68595
6,0.62374,0.68969
7,0.61373,0.67978
8,0.62733,0.67205
9,0.64504,0.65038
10,0.59297,0.69339
11,0.62424,0.69359
12,0.64366,0.67875
13,0.59784,0.68401
14,0.62929,0.68768
15,0.63768,0.66198
16,0.61505,0.64557
17,0.61644,0.68503
18,0.60167,0.66034
19,0.60441,0.69761
20,0.61865,0.70115
21,0.59316,0.67004
22,0.62068,0.6736
23,0.62185,0.69449
24,0.61144,0.66416
25,0.6201,0.68023
26,0.60111,0.6539
27,0.61307,0.69289
28,0.63812,0.67071
29,0.61469,0.70914
30,0.63524,0.68093
31,0.61066,0.63841
32,0.60418,0.70319
33,0.63373,0.67007
34,0.63611,0.67295
35,0.61728,0.65908
36,0.62649,0.6793
37,0.64449,0.67277
38,0.63491,0.69295
39,0.62049,0.6712
40,0.61506,0.72197
41,0.63292,0.693
42,0.61953,0.64483
43,0.63696,0.6725
44,0.619,0.68399
45,0.6316,0.69056
46,0.62189,0.64613
47,0.60629,0.63715
48,0.60828,0.70236
49,0.63885,0.67812
50,0.593,0.62583
51,0.64803,0.67571
52,0.63011,0.6944
53,0.60774,0.62994
54,0.63774,0.66708
55,0.60629,0.69505
56,0.60947,0.68823
57,0.5906,0.65733
58,0.60461,0.69482
59,0.62984,0.67182
60,0.63015,0.69054
61,0.61582,0.68283
62,0.59646,0.68782
63,0.60572,0.65446
64,0.60214,0.66843
65,0.64913,0.66597
66,0.62227,0.694
67,0.63612,0.66837
68,0.62078,0.6641
69,0.61235,0.68099
70,0.60788,0.71218
71,0.62689,0.68905
72,0.63265,0.66372
73,0.6135,0.68033
74,0.57869,0.6637
75,0.64218,0.66641
76,0.59895,0.6609
77,0.61456,0.69685
78,0.63562,0.67967
79,0.61707,0.65163
80,0.59941,0.67295
81,0.61553,0.71262
82,0.63181,0.68465
83,0.6157,0.6817
84,0.60373,0.67472
85,0.6272,0.68991
86,0.63868,0.66345
87,0.64342,0.66917
88,0.59367,0.67994
89,0.60292,0.67476
90,0.61449,0.66213
91,0.64087,0.66828
92,0.62097,0.6997
93,0.60534,0.71682
94,0.6127,0.68684
95,0.62335,0.68854
96,0.59072,0.67192
97,0.61417,0.67151
98,0.61661,0.7294
99,0.63827,0.68555
100,0.63253,0.71402
101,0.62928,0.65687
102,0.61353,0.703
103,0.64357,0.69151
104,0.6337,0.66769
105,0.64569,0.66851
106,0.6278,0.66636
107,0.62882,0.67712
108,0.63283,0.67905
109,0.61038,0.68218
110,0.58968,0.681
111,0.62096,0.6995
112,0.64626,0.66062
113,0.59411,0.67205
114,0.60138,0.64475
115,0.62624,0.67995
116,0.63222,0.67912
117,0.63552,0.68375
118,0.61745,0.70073
119,0.59231,0.687
120,0.64993,0.64537
121,0.61484,0.69129
122,0.64112,0.65311
123,0.62082,0.6794
124,0.61617,0.69928
125,0.60562,0.67658
126,0.6071,0.68714
127,0.61973,0.67976
128,0.61659,0.69697
129,0.64132,0.67195
130,0.63114,0.68908
131,0.60105,0.69863
132,0.64814,0.66272
133,0.61804,0.70939
134,0.60949,0.68098
135,0.6012,0.69659
136,0.63775,0.65881
137,0.60486,0.6197
138,0.65927,0.65775
139,0.59972,0.69451
140,0.60265,0.73269
141,0.62059,0.67535
142,0.62834,0.68204
143,0.60446,0.70475
144,0.61277,0.65122
145,0.6208,0.72057
146,0.63736,0.67311
147,0.62532,0.68721
148,0.62741,0.6765
149,0.62469,0.71205
