res_expno,res_lbl_score,res_tst_score
0,0.99771,0.91497
1,0.99772,0.94719
2,0.99768,0.91808
3,0.99772,0.93725
4,0.99772,0.93479
5,0.99772,0.95539
6,0.99772,0.9157
7,0.99771,0.94114
8,0.99771,0.91741
9,0.99771,0.92271
10,0.99772,0.93685
11,0.99772,0.91757
12,0.99771,0.92858
13,0.99772,0.94111
14,0.99772,0.91367
15,0.99771,0.92932
16,0.9977,0.95695
17,0.99769,0.92271
18,0.99772,0.9407
19,0.99771,0.94486
20,0.99771,0.92378
21,0.99772,0.95586
22,0.99772,0.9449
23,0.99772,0.90445
24,0.99772,0.92592
25,0.99772,0.93369
26,0.99772,0.95104
27,0.99772,0.94415
28,0.99772,0.92881
29,0.9977,0.93173
30,0.99772,0.88978
31,0.99772,0.94628
32,0.99768,0.94644
33,0.99772,0.92149
34,0.99772,0.92128
35,0.99772,0.94648
36,0.99772,0.93869
37,0.99771,0.90549
38,0.99772,0.90872
39,0.99768,0.90581
40,0.99772,0.92351
41,0.99772,0.93552
42,0.99772,0.9343
43,0.99772,0.91552
44,0.99772,0.93357
45,0.99771,0.9414
46,0.99772,0.91193
47,0.99772,0.9201
48,0.99772,0.91806
49,0.99772,0.903
50,0.99772,0.95357
51,0.99772,0.92053
52,0.99771,0.93555
53,0.99771,0.93139
54,0.99772,0.91126
55,0.99772,0.92422
56,0.99772,0.94634
57,0.99772,0.93658
58,0.99772,0.95701
59,0.9977,0.91197
60,0.99772,0.94046
61,0.99772,0.92776
62,0.99767,0.9374
63,0.99772,0.94795
64,0.99772,0.90507
65,0.99772,0.9309
66,0.99772,0.93232
67,0.99772,0.91585
68,0.99772,0.93552
69,0.9977,0.92442
70,0.99772,0.95207
71,0.99772,0.9079
72,0.9977,0.93164
73,0.99772,0.92261
74,0.99772,0.94637
75,0.99772,0.94478
76,0.99772,0.92783
77,0.99772,0.92379
78,0.99772,0.92224
79,0.99772,0.94017
80,0.99769,0.94744
81,0.99772,0.93356
82,0.99772,0.9157
83,0.99772,0.91147
84,0.99771,0.9341
85,0.99772,0.91
86,0.99772,0.93341
87,0.99772,0.9112
88,0.99772,0.93781
89,0.99772,0.9345
90,0.99772,0.928
91,0.9977,0.9109
92,0.99772,0.91956
93,0.99772,0.94937
94,0.99771,0.90261
95,0.99772,0.92447
96,0.99772,0.9409
97,0.99772,0.94586
98,0.99772,0.94618
99,0.99769,0.91654
100,0.99772,0.93901
101,0.99769,0.92637
102,0.99771,0.92115
103,0.9977,0.91535
104,0.99771,0.91486
105,0.99771,0.92349
106,0.99772,0.93713
107,0.99772,0.90703
108,0.99772,0.90922
109,0.99771,0.93123
110,0.99772,0.92741
111,0.99772,0.91992
112,0.99772,0.89732
113,0.99772,0.92823
114,0.99772,0.95186
115,0.99772,0.91109
116,0.99772,0.91639
117,0.99772,0.95092
118,0.99772,0.93214
119,0.99772,0.93586
120,0.99771,0.91063
121,0.9977,0.92124
122,0.99771,0.92896
123,0.99772,0.91126
124,0.99771,0.93258
125,0.99772,0.91636
126,0.99772,0.94835
127,0.99772,0.90812
128,0.99769,0.92491
129,0.99772,0.9152
130,0.99772,0.91895
131,0.99771,0.93725
132,0.99772,0.92744
133,0.99766,0.93459
134,0.99771,0.92634
135,0.99769,0.93302
136,0.99772,0.90928
137,0.99772,0.88258
138,0.99772,0.90882
139,0.99772,0.94433
140,0.99772,0.91769
141,0.99772,0.93
142,0.99772,0.93729
143,0.99772,0.94008
144,0.99772,0.94434
145,0.99772,0.91154
146,0.99772,0.92526
147,0.99772,0.92846
148,0.99771,0.95135
149,0.99772,0.9346
