res_expno,res_lbl_score,res_tst_score
0,0.87235,0.86513
1,0.85447,0.87858
2,0.86543,0.86167
3,0.86941,0.89058
4,0.88515,0.87099
5,0.86806,0.8891
6,0.88449,0.88856
7,0.84426,0.87467
8,0.8807,0.85825
9,0.87039,0.84778
10,0.85286,0.87975
11,0.84605,0.86838
12,0.87929,0.8924
13,0.88605,0.89863
14,0.86041,0.8586
15,0.85379,0.85631
16,0.82603,0.84695
17,0.86831,0.85389
18,0.87653,0.89977
19,0.88741,0.89003
20,0.9012,0.87668
21,0.83865,0.9098
22,0.89539,0.89855
23,0.89091,0.86664
24,0.8614,0.87617
25,0.88094,0.86027
26,0.8973,0.89607
27,0.87279,0.89607
28,0.86802,0.86366
29,0.86399,0.90475
30,0.87933,0.85473
31,0.88001,0.88393
32,0.85992,0.88854
33,0.85731,0.88141
34,0.8841,0.85932
35,0.86381,0.89003
36,0.85275,0.87062
37,0.90985,0.88181
38,0.87449,0.86698
39,0.8949,0.86971
40,0.87023,0.88807
41,0.85989,0.8957
42,0.86967,0.87113
43,0.89479,0.86242
44,0.85524,0.88093
45,0.87388,0.88919
46,0.86315,0.85207
47,0.89402,0.88778
48,0.88328,0.88013
49,0.89092,0.87427
50,0.85884,0.90687
51,0.90199,0.88458
52,0.86276,0.9025
53,0.88564,0.86979
54,0.88022,0.8474
55,0.87292,0.87751
56,0.8679,0.88965
57,0.8606,0.87508
58,0.86286,0.89895
59,0.90963,0.87476
60,0.85515,0.90053
61,0.8784,0.88444
62,0.85589,0.86694
63,0.86176,0.88737
64,0.89527,0.85761
65,0.88,0.89141
66,0.85332,0.90339
67,0.87349,0.86525
68,0.88101,0.88878
69,0.88302,0.8715
70,0.86232,0.90954
71,0.88024,0.87571
72,0.87297,0.87311
73,0.87273,0.87093
74,0.88799,0.91041
75,0.89232,0.86601
76,0.87818,0.9053
77,0.86126,0.89285
78,0.84783,0.85084
79,0.87162,0.88186
80,0.86686,0.88503
81,0.8717,0.89063
82,0.89224,0.88713
83,0.87258,0.87929
84,0.8932,0.90172
85,0.89703,0.86646
86,0.87456,0.89098
87,0.89233,0.87385
88,0.87504,0.89581
89,0.87253,0.88565
90,0.85822,0.88806
91,0.85832,0.83378
92,0.89322,0.88123
93,0.88193,0.89839
94,0.89194,0.86936
95,0.88068,0.87586
96,0.86699,0.90267
97,0.89498,0.89096
98,0.86829,0.91083
99,0.86833,0.87851
100,0.86417,0.89913
101,0.84499,0.82038
102,0.89165,0.87033
103,0.85517,0.89282
104,0.88665,0.86316
105,0.8583,0.88312
106,0.84268,0.84865
107,0.87369,0.84927
108,0.8897,0.88193
109,0.88574,0.87558
110,0.86874,0.91173
111,0.87851,0.87702
112,0.88458,0.85985
113,0.8896,0.89342
114,0.83405,0.88326
115,0.88394,0.87568
116,0.86477,0.85792
117,0.86177,0.89761
118,0.86961,0.90412
119,0.89537,0.89948
120,0.84645,0.84141
121,0.89068,0.88511
122,0.87093,0.84333
123,0.90159,0.87187
124,0.88719,0.88648
125,0.88675,0.88067
126,0.85971,0.89056
127,0.86159,0.8825
128,0.88905,0.88462
129,0.86821,0.86785
130,0.91413,0.87821
131,0.8789,0.88708
132,0.87919,0.86922
133,0.87021,0.89711
134,0.89332,0.88222
135,0.88342,0.90669
136,0.87972,0.86923
137,0.89892,0.82105
138,0.856,0.82271
139,0.86932,0.86736
140,0.88892,0.88052
141,0.87174,0.88393
142,0.85689,0.89544
143,0.86365,0.89479
144,0.86477,0.89524
145,0.88296,0.88025
146,0.88973,0.88276
147,0.88063,0.89283
148,0.84948,0.88694
149,0.86415,0.91971
