res_expno,res_lbl_score,res_tst_score
0,0.91937,0.89926
1,0.91099,0.8403
2,0.87928,0.92846
3,0.86151,0.9138
4,0.91324,0.90937
5,0.90979,0.92515
6,0.88436,0.88853
7,0.91451,0.91897
8,0.89877,0.87646
9,0.89449,0.91375
10,0.91047,0.87713
11,0.8758,0.91251
12,0.91224,0.91931
13,0.90684,0.91919
14,0.89212,0.90914
15,0.86872,0.87208
16,0.90165,0.90122
17,0.85364,0.91251
18,0.89579,0.88331
19,0.91277,0.88427
20,0.89574,0.88926
21,0.94174,0.92436
22,0.90718,0.92442
23,0.8888,0.92795
24,0.93466,0.90184
25,0.88592,0.89123
26,0.84694,0.90836
27,0.88581,0.94317
28,0.88318,0.90139
29,0.88685,0.91251
30,0.92826,0.8636
31,0.90341,0.92722
32,0.88905,0.90145
33,0.89194,0.88365
34,0.90594,0.86596
35,0.87679,0.94469
36,0.93113,0.88191
37,0.91062,0.85916
38,0.91764,0.89696
39,0.92129,0.90274
40,0.89818,0.87376
41,0.93593,0.89701
42,0.92049,0.89628
43,0.8978,0.9352
44,0.89311,0.90089
45,0.93499,0.8581
46,0.90214,0.92874
47,0.90337,0.93346
48,0.87161,0.88797
49,0.86998,0.90577
50,0.91443,0.91925
51,0.91092,0.83137
52,0.91257,0.88174
53,0.89156,0.93144
54,0.87864,0.89976
55,0.90608,0.9033
56,0.94145,0.83502
57,0.92203,0.89201
58,0.90889,0.90549
59,0.90937,0.86304
60,0.90831,0.91773
61,0.92598,0.92925
62,0.89682,0.92616
63,0.88348,0.92599
64,0.91234,0.91504
65,0.88921,0.90875
66,0.94783,0.8887
67,0.91789,0.88258
68,0.90026,0.92234
69,0.92327,0.88623
70,0.90316,0.91633
71,0.91135,0.86815
72,0.86457,0.91386
73,0.89977,0.89465
74,0.91318,0.87101
75,0.91916,0.84675
76,0.90663,0.89522
77,0.89976,0.87747
78,0.9056,0.88202
79,0.89317,0.90482
80,0.88547,0.88179
81,0.93091,0.86804
82,0.89823,0.85568
83,0.92067,0.92223
84,0.90884,0.89842
85,0.89573,0.8996
86,0.91248,0.86714
87,0.88679,0.90667
88,0.92644,0.9001
89,0.85364,0.88561
90,0.88447,0.89645
91,0.89376,0.87989
92,0.92344,0.88073
93,0.92534,0.9069
94,0.90899,0.92745
95,0.89682,0.90448
96,0.92008,0.90813
97,0.87422,0.85304
98,0.89987,0.92357
99,0.85727,0.9343
100,0.87495,0.87562
101,0.90996,0.84265
102,0.8502,0.92312
103,0.90746,0.87865
104,0.94342,0.89308
105,0.88493,0.90622
106,0.92197,0.90673
107,0.91478,0.86742
108,0.89323,0.90364
109,0.85939,0.90167
110,0.88944,0.87522
111,0.93114,0.87792
112,0.8952,0.88398
113,0.90581,0.8882
114,0.86832,0.91611
115,0.889,0.93918
116,0.8751,0.91734
117,0.87705,0.88236
118,0.92628,0.89291
119,0.89239,0.90796
120,0.92427,0.89887
121,0.93035,0.90033
122,0.93628,0.89022
123,0.9369,0.89089
124,0.9325,0.92155
125,0.88665,0.90881
126,0.88366,0.94789
127,0.84385,0.91959
128,0.91761,0.93969
129,0.9073,0.89651
130,0.92775,0.89595
131,0.87353,0.91206
132,0.88373,0.9256
133,0.90947,0.90695
134,0.8866,0.90684
135,0.85998,0.90089
136,0.9151,0.90768
137,0.86413,0.85271
138,0.88559,0.85282
139,0.88526,0.90016
140,0.86184,0.91448
141,0.89464,0.91459
142,0.91238,0.90055
143,0.92499,0.86506
144,0.92128,0.88859
145,0.92734,0.87281
146,0.92397,0.91375
147,0.87888,0.86529
148,0.89359,0.93144
149,0.94149,0.92009
