res_expno,res_lbl_score,res_tst_score
0,0.81675,0.87546
1,0.80418,0.87569
2,0.82831,0.87511
3,0.80793,0.88522
4,0.79452,0.88457
5,0.81202,0.87703
6,0.79999,0.88074
7,0.83327,0.86914
8,0.81909,0.87464
9,0.82275,0.85795
10,0.79564,0.89141
11,0.80471,0.87582
12,0.79828,0.88175
13,0.83105,0.85041
14,0.78842,0.89411
15,0.82063,0.88156
16,0.8027,0.89273
17,0.83171,0.8569
18,0.81974,0.87685
19,0.8088,0.87694
20,0.81964,0.86744
21,0.82129,0.88392
22,0.82238,0.88461
23,0.80495,0.87605
24,0.8485,0.83513
25,0.81101,0.89295
26,0.80744,0.87273
27,0.80624,0.88044
28,0.80519,0.87223
29,0.8092,0.87551
30,0.81494,0.87934
31,0.8085,0.89022
32,0.79873,0.88179
33,0.81889,0.86872
34,0.81032,0.88038
35,0.80678,0.87692
36,0.8154,0.87653
37,0.82965,0.85726
38,0.81659,0.88952
39,0.8203,0.88205
40,0.80784,0.88747
41,0.81743,0.88889
42,0.8126,0.88709
43,0.81207,0.87843
44,0.81872,0.87318
45,0.80449,0.88058
46,0.79142,0.90182
47,0.81648,0.87988
48,0.80977,0.89049
49,0.79489,0.87694
50,0.81591,0.87201
51,0.80332,0.87801
52,0.81609,0.86788
53,0.80251,0.88641
54,0.81911,0.88386
55,0.79233,0.88891
56,0.81921,0.86322
57,0.7977,0.89509
58,0.80491,0.88555
59,0.80182,0.88733
60,0.78566,0.89526
61,0.80128,0.87753
62,0.81144,0.87478
63,0.83421,0.86021
64,0.78516,0.89552
65,0.81314,0.88052
66,0.82111,0.87494
67,0.80348,0.8798
68,0.81556,0.88037
69,0.805,0.89202
70,0.79993,0.88133
71,0.79665,0.90239
72,0.8034,0.88576
73,0.82667,0.86973
74,0.81302,0.87295
75,0.82354,0.86853
76,0.82359,0.85961
77,0.82402,0.86806
78,0.82449,0.87155
79,0.79743,0.88835
80,0.80941,0.88585
81,0.81059,0.87883
82,0.82069,0.86554
83,0.79223,0.89057
84,0.80227,0.87993
85,0.81755,0.87442
86,0.80363,0.87872
87,0.80061,0.88783
88,0.79804,0.88252
89,0.82611,0.87363
90,0.82858,0.87314
91,0.8157,0.88174
92,0.79598,0.90283
93,0.78801,0.89578
94,0.80382,0.88446
95,0.81488,0.87043
96,0.83502,0.85977
97,0.81108,0.8791
98,0.79231,0.89661
99,0.83707,0.85971
100,0.82379,0.89029
101,0.8242,0.86843
102,0.81291,0.8806
103,0.80296,0.86605
104,0.82233,0.86852
105,0.77895,0.90127
106,0.82032,0.8771
107,0.82697,0.86502
108,0.82753,0.88304
109,0.81149,0.88992
110,0.80032,0.88208
111,0.80622,0.88388
112,0.83112,0.86617
113,0.8175,0.87118
114,0.82877,0.86785
115,0.81018,0.86762
116,0.78545,0.89705
117,0.80056,0.88491
118,0.82463,0.86069
119,0.81367,0.88196
120,0.81033,0.86941
121,0.82956,0.86577
122,0.80508,0.88315
123,0.83438,0.87196
124,0.8276,0.86264
125,0.80545,0.87173
126,0.78502,0.90846
127,0.79511,0.88726
128,0.78676,0.88425
129,0.81401,0.87484
130,0.80092,0.86912
131,0.82019,0.87592
132,0.82462,0.86932
133,0.80238,0.88983
134,0.80497,0.88873
135,0.8243,0.8774
136,0.79732,0.89287
137,0.81208,0.88828
138,0.80474,0.87719
139,0.82586,0.84716
140,0.77043,0.91223
141,0.79593,0.89087
142,0.82694,0.87205
143,0.81045,0.85688
144,0.82432,0.87993
145,0.7835,0.9068
146,0.79813,0.89708
147,0.79999,0.89
148,0.84526,0.85589
149,0.80391,0.89727
