res_expno,res_lbl_score,res_tst_score
0,0.85166,0.8897
1,0.83924,0.89242
2,0.87659,0.88798
3,0.86421,0.89073
4,0.83507,0.8853
5,0.8613,0.87752
6,0.85022,0.81716
7,0.86363,0.89597
8,0.85762,0.85536
9,0.85635,0.87736
10,0.82867,0.87012
11,0.85028,0.89366
12,0.85507,0.85945
13,0.85475,0.87935
14,0.83983,0.91685
15,0.85355,0.85071
16,0.85841,0.87798
17,0.86728,0.87188
18,0.85383,0.89038
19,0.84847,0.89512
20,0.88015,0.87476
21,0.85239,0.90923
22,0.85644,0.85882
23,0.84827,0.89557
24,0.88761,0.85948
25,0.8579,0.89786
26,0.84074,0.89445
27,0.86022,0.89753
28,0.85118,0.88906
29,0.86488,0.85252
30,0.84663,0.9043
31,0.85644,0.90743
32,0.83227,0.89926
33,0.84037,0.9014
34,0.85191,0.89342
35,0.83723,0.88111
36,0.85751,0.8855
37,0.85877,0.88222
38,0.85871,0.90319
39,0.8694,0.85144
40,0.84091,0.91024
41,0.86615,0.89542
42,0.85584,0.90206
43,0.84619,0.86984
44,0.86359,0.88863
45,0.84446,0.90194
46,0.8454,0.91431
47,0.86482,0.85532
48,0.84598,0.9103
49,0.84773,0.86493
50,0.85531,0.89531
51,0.85101,0.88777
52,0.85974,0.86934
53,0.83828,0.90139
54,0.86387,0.90281
55,0.83437,0.87325
56,0.85029,0.88505
57,0.85848,0.90416
58,0.86464,0.87361
59,0.8582,0.90189
60,0.83479,0.91107
61,0.84269,0.87468
62,0.8613,0.81
63,0.86609,0.8844
64,0.83573,0.86299
65,0.85119,0.88003
66,0.86709,0.89323
67,0.85134,0.89361
68,0.8674,0.7971
69,0.84465,0.89395
70,0.83985,0.88497
71,0.8478,0.81678
72,0.86207,0.8425
73,0.85696,0.89453
74,0.86546,0.88146
75,0.86475,0.88653
76,0.86308,0.88087
77,0.86481,0.88053
78,0.8497,0.89741
79,0.83862,0.90558
80,0.84773,0.8948
81,0.88183,0.87136
82,0.87305,0.87978
83,0.83311,0.90541
84,0.84831,0.89802
85,0.84897,0.89284
86,0.85399,0.89899
87,0.8486,0.88993
88,0.84449,0.89619
89,0.8629,0.89757
90,0.87057,0.87985
91,0.84662,0.90378
92,0.84123,0.91645
93,0.84025,0.89317
94,0.84799,0.89195
95,0.85836,0.88473
96,0.85607,0.89302
97,0.86437,0.88808
98,0.82362,0.91749
99,0.87376,0.88225
100,0.86939,0.90576
101,0.86133,0.81329
102,0.8521,0.89388
103,0.85355,0.86521
104,0.85499,0.88961
105,0.83263,0.89359
106,0.85766,0.87867
107,0.87174,0.88572
108,0.87202,0.8947
109,0.85561,0.89416
110,0.84859,0.89593
111,0.85053,0.88201
112,0.87065,0.84948
113,0.86398,0.88744
114,0.86427,0.88569
115,0.85737,0.81181
116,0.83373,0.90539
117,0.85593,0.88886
118,0.86989,0.87762
119,0.86238,0.90259
120,0.86675,0.87835
121,0.86427,0.88336
122,0.84786,0.89272
123,0.86815,0.89223
124,0.87114,0.88131
125,0.85127,0.88469
126,0.8353,0.91364
127,0.83114,0.90693
128,0.81787,0.90033
129,0.85774,0.87654
130,0.84522,0.88859
131,0.8725,0.88987
132,0.86976,0.88466
133,0.83824,0.91109
134,0.85223,0.84542
135,0.84703,0.90096
136,0.839,0.90607
137,0.85618,0.90753
138,0.86008,0.86901
139,0.86407,0.87623
140,0.82366,0.92193
141,0.83809,0.88117
142,0.85988,0.85949
143,0.86199,0.87088
144,0.85722,0.89805
145,0.83604,0.92246
146,0.85555,0.90358
147,0.84012,0.90917
148,0.87126,0.88409
149,0.84994,0.91809
