res_expno,res_lbl_score,res_tst_score
0,0.99822,0.88782
1,0.99826,0.88804
2,0.99823,0.87908
3,0.99825,0.87756
4,0.99824,0.88781
5,0.99824,0.88286
6,0.99825,0.88636
7,0.99826,0.88694
8,0.99825,0.88424
9,0.99825,0.89093
10,0.99826,0.89181
11,0.99822,0.89876
12,0.99826,0.88764
13,0.99825,0.86973
14,0.99824,0.89936
15,0.99821,0.89494
16,0.99823,0.89955
17,0.99822,0.88009
18,0.99826,0.89447
19,0.99826,0.89512
20,0.99827,0.86744
21,0.99824,0.90223
22,0.99825,0.89782
23,0.99819,0.89077
24,0.99824,0.86077
25,0.99826,0.88911
26,0.99826,0.88647
27,0.99822,0.89731
28,0.99824,0.87852
29,0.99825,0.87743
30,0.99817,0.89495
31,0.99825,0.88865
32,0.99826,0.88458
33,0.99825,0.88878
34,0.99825,0.89747
35,0.99824,0.90452
36,0.99824,0.89022
37,0.99821,0.87386
38,0.99826,0.88731
39,0.99826,0.88433
40,0.99824,0.89304
41,0.99821,0.8989
42,0.99824,0.89129
43,0.99823,0.87743
44,0.99827,0.88049
45,0.99822,0.88584
46,0.99818,0.91166
47,0.99824,0.89995
48,0.99826,0.9097
49,0.99826,0.88174
50,0.99822,0.8962
51,0.99815,0.89269
52,0.99823,0.8885
53,0.99827,0.88186
54,0.99824,0.89773
55,0.99825,0.88736
56,0.99823,0.87551
57,0.99824,0.89557
58,0.99826,0.88923
59,0.99822,0.88319
60,0.99822,0.89929
61,0.99826,0.88256
62,0.99826,0.86584
63,0.99824,0.87241
64,0.99821,0.88981
65,0.99825,0.87613
66,0.99824,0.88468
67,0.99826,0.87329
68,0.99822,0.88467
69,0.99822,0.90422
70,0.99822,0.88207
71,0.99822,0.89914
72,0.99825,0.87597
73,0.99825,0.88813
74,0.99824,0.8838
75,0.9982,0.88735
76,0.99822,0.88163
77,0.99826,0.88819
78,0.99824,0.88772
79,0.99824,0.89249
80,0.99827,0.88763
81,0.99823,0.87328
82,0.99824,0.87808
83,0.99825,0.88802
84,0.99824,0.89179
85,0.99826,0.89435
86,0.99826,0.87812
87,0.99826,0.89994
88,0.99824,0.88077
89,0.9982,0.88391
90,0.99825,0.87962
91,0.99826,0.88119
92,0.99825,0.8972
93,0.99825,0.89278
94,0.99825,0.89314
95,0.99826,0.88197
96,0.99827,0.87833
97,0.99821,0.89314
98,0.99825,0.88869
99,0.99826,0.86997
100,0.99816,0.89836
101,0.99824,0.88756
102,0.99827,0.88961
103,0.99825,0.86616
104,0.99815,0.87106
105,0.99826,0.88477
106,0.99826,0.88805
107,0.99826,0.86408
108,0.99824,0.89098
109,0.99827,0.89609
110,0.99825,0.88425
111,0.99822,0.89739
112,0.99823,0.86354
113,0.9982,0.88545
114,0.99825,0.88041
115,0.99826,0.87889
116,0.99827,0.8832
117,0.99824,0.89684
118,0.99825,0.88361
119,0.99825,0.88512
120,0.99824,0.88732
121,0.99826,0.88503
122,0.9982,0.88221
123,0.99827,0.88241
124,0.99826,0.87412
125,0.99825,0.88433
126,0.99827,0.89616
127,0.99826,0.8859
128,0.99824,0.90033
129,0.99827,0.87968
130,0.99821,0.87705
131,0.99824,0.87817
132,0.99825,0.88886
133,0.99826,0.897
134,0.99825,0.8941
135,0.9982,0.89564
136,0.99826,0.89565
137,0.99822,0.89403
138,0.99819,0.8873
139,0.99826,0.86921
140,0.99826,0.90985
141,0.99824,0.89743
142,0.9982,0.89602
143,0.99825,0.87516
144,0.99826,0.89365
145,0.99826,0.90352
146,0.99824,0.8877
147,0.99824,0.89775
148,0.99821,0.86827
149,0.99826,0.90628
