res_expno,res_lbl_score,res_tst_score
0,0.80474,0.87316
1,0.79075,0.87667
2,0.82951,0.87386
3,0.81041,0.87845
4,0.78217,0.87329
5,0.81057,0.87716
6,0.77979,0.88429
7,0.8256,0.86669
8,0.80973,0.87964
9,0.81191,0.87211
10,0.77521,0.87635
11,0.79922,0.87527
12,0.79695,0.88581
13,0.81405,0.84889
14,0.77811,0.88952
15,0.81157,0.87921
16,0.80777,0.88508
17,0.82143,0.85854
18,0.80333,0.87477
19,0.80336,0.88
20,0.84341,0.86617
21,0.8065,0.88833
22,0.80139,0.88633
23,0.80443,0.87849
24,0.84224,0.83886
25,0.78739,0.89114
26,0.81333,0.86636
27,0.79689,0.87423
28,0.79516,0.87592
29,0.80903,0.87607
30,0.80464,0.88551
31,0.79889,0.88541
32,0.78596,0.88124
33,0.78776,0.87218
34,0.80628,0.87586
35,0.79684,0.8761
36,0.81586,0.87577
37,0.81538,0.86141
38,0.80199,0.88458
39,0.81067,0.8758
40,0.79516,0.88655
41,0.80768,0.88863
42,0.80296,0.88778
43,0.80681,0.8808
44,0.78907,0.87495
45,0.79226,0.88116
46,0.78993,0.89689
47,0.8134,0.87693
48,0.80567,0.89279
49,0.79403,0.87735
50,0.80344,0.86324
51,0.81133,0.8822
52,0.80957,0.86827
53,0.77618,0.88852
54,0.81135,0.88737
55,0.78204,0.88386
56,0.82254,0.86553
57,0.78051,0.89801
58,0.80544,0.88543
59,0.80138,0.88381
60,0.76947,0.90043
61,0.80656,0.87579
62,0.80486,0.869
63,0.83527,0.85795
64,0.76953,0.8957
65,0.80469,0.88061
66,0.81107,0.87409
67,0.79695,0.87766
68,0.80664,0.87428
69,0.77977,0.89256
70,0.79238,0.88485
71,0.79462,0.89556
72,0.79509,0.88612
73,0.80165,0.86812
74,0.8189,0.87153
75,0.82243,0.86416
76,0.80741,0.86072
77,0.82208,0.8717
78,0.81122,0.87198
79,0.76994,0.89933
80,0.79859,0.88038
81,0.80455,0.88017
82,0.82996,0.86466
83,0.7753,0.88917
84,0.78031,0.883
85,0.78598,0.88041
86,0.8008,0.88289
87,0.77971,0.87876
88,0.79604,0.8892
89,0.81298,0.87121
90,0.82053,0.87666
91,0.80804,0.88933
92,0.7844,0.89853
93,0.77376,0.88512
94,0.78919,0.88473
95,0.81784,0.86721
96,0.82522,0.86502
97,0.80726,0.87788
98,0.78205,0.89606
99,0.8366,0.85667
100,0.81069,0.89067
101,0.81684,0.87361
102,0.81314,0.87518
103,0.77883,0.8576
104,0.79567,0.86331
105,0.75144,0.91089
106,0.80699,0.88195
107,0.80794,0.8732
108,0.80521,0.88933
109,0.79682,0.89602
110,0.80994,0.87809
111,0.79681,0.88295
112,0.80348,0.86304
113,0.81493,0.87
114,0.81567,0.86605
115,0.81413,0.86646
116,0.76326,0.89038
117,0.81195,0.88493
118,0.81618,0.86008
119,0.79153,0.88441
120,0.8114,0.87255
121,0.81409,0.86956
122,0.7888,0.88325
123,0.82495,0.87514
124,0.81813,0.86156
125,0.80501,0.87009
126,0.766,0.90438
127,0.75497,0.88148
128,0.78993,0.87324
129,0.80707,0.87305
130,0.79262,0.87327
131,0.82078,0.87861
132,0.82663,0.87368
133,0.79194,0.88785
134,0.7983,0.88873
135,0.81916,0.87718
136,0.78528,0.88817
137,0.80012,0.8815
138,0.81131,0.87724
139,0.82487,0.84629
140,0.77071,0.9026
141,0.77345,0.90042
142,0.82643,0.86945
143,0.81599,0.85734
144,0.81356,0.88144
145,0.77268,0.89612
146,0.79099,0.89232
147,0.79633,0.88665
148,0.83263,0.85429
149,0.7497,0.8831
