res_expno,res_lbl_score,res_tst_score
0,0.99826,0.88688
1,0.99825,0.88874
2,0.99822,0.87796
3,0.99824,0.87682
4,0.99826,0.88552
5,0.99828,0.87833
6,0.99827,0.88937
7,0.99824,0.88517
8,0.99826,0.8819
9,0.99826,0.88997
10,0.99827,0.88191
11,0.99824,0.89908
12,0.99822,0.88616
13,0.99826,0.86388
14,0.99825,0.89462
15,0.99826,0.8933
16,0.99826,0.89571
17,0.99826,0.87702
18,0.99825,0.89187
19,0.99826,0.89538
20,0.99826,0.86567
21,0.99826,0.90019
22,0.99826,0.89705
23,0.99824,0.8925
24,0.99824,0.8585
25,0.99822,0.89154
26,0.99825,0.88128
27,0.99824,0.89522
28,0.99823,0.87923
29,0.99825,0.87502
30,0.99818,0.8912
31,0.99827,0.88657
32,0.99828,0.88324
33,0.99827,0.89018
34,0.99826,0.8876
35,0.99825,0.89872
36,0.99826,0.88936
37,0.99823,0.87658
38,0.99822,0.88153
39,0.99824,0.8812
40,0.99825,0.8897
41,0.99823,0.8965
42,0.99826,0.89117
43,0.99827,0.87624
44,0.99826,0.87363
45,0.99823,0.8817
46,0.99825,0.90953
47,0.99825,0.89884
48,0.99823,0.90936
49,0.99824,0.88909
50,0.99823,0.89012
51,0.99822,0.89187
52,0.99825,0.88714
53,0.99825,0.8782
54,0.99827,0.89654
55,0.99825,0.89014
56,0.99825,0.88143
57,0.99823,0.8951
58,0.99824,0.88629
59,0.99824,0.88209
60,0.99822,0.89013
61,0.99827,0.87753
62,0.99827,0.86437
63,0.99826,0.86745
64,0.99824,0.8884
65,0.99824,0.87249
66,0.99826,0.87981
67,0.99823,0.87275
68,0.99826,0.8814
69,0.99823,0.90435
70,0.99824,0.88571
71,0.99822,0.89765
72,0.99826,0.87444
73,0.99825,0.8825
74,0.99825,0.87825
75,0.99826,0.88726
76,0.99825,0.87764
77,0.99826,0.88599
78,0.99827,0.88706
79,0.99827,0.89073
80,0.99823,0.8879
81,0.99825,0.86786
82,0.99819,0.87841
83,0.99826,0.88648
84,0.99823,0.89274
85,0.99823,0.89414
86,0.99823,0.87638
87,0.99826,0.89588
88,0.99824,0.8837
89,0.99824,0.87981
90,0.99823,0.87903
91,0.99826,0.8817
92,0.99827,0.88933
93,0.99824,0.89402
94,0.99824,0.89497
95,0.99825,0.87798
96,0.99823,0.87766
97,0.99824,0.89387
98,0.99825,0.88778
99,0.99826,0.86789
100,0.99825,0.89354
101,0.99823,0.88693
102,0.99827,0.88852
103,0.99823,0.86368
104,0.99826,0.87094
105,0.99823,0.88668
106,0.99824,0.88239
107,0.99826,0.86395
108,0.99826,0.88884
109,0.99826,0.892
110,0.99826,0.88
111,0.99822,0.89226
112,0.99825,0.85969
113,0.99826,0.88111
114,0.99824,0.87721
115,0.99826,0.87878
116,0.99826,0.88498
117,0.99826,0.89553
118,0.99826,0.88286
119,0.99826,0.88143
120,0.99824,0.88418
121,0.99828,0.88386
122,0.99826,0.88261
123,0.99824,0.87485
124,0.99827,0.87145
125,0.99822,0.88217
126,0.99825,0.89232
127,0.99821,0.89194
128,0.99824,0.89658
129,0.99826,0.87556
130,0.99824,0.87364
131,0.99825,0.87529
132,0.99824,0.88505
133,0.99825,0.89474
134,0.99825,0.89901
135,0.99825,0.89044
136,0.99822,0.89277
137,0.99821,0.89505
138,0.99827,0.88329
139,0.99824,0.86735
140,0.99827,0.90895
141,0.99824,0.89333
142,0.99824,0.89205
143,0.99825,0.87598
144,0.99827,0.89442
145,0.99824,0.89378
146,0.99827,0.88207
147,0.99826,0.89836
148,0.99823,0.86525
149,0.99825,0.89722
