res_expno,res_lbl_score,res_tst_score
0,0.77744,0.8709
1,0.78365,0.87234
2,0.78434,0.87176
3,0.78478,0.88392
4,0.77187,0.87482
5,0.78943,0.87408
6,0.77501,0.87998
7,0.80427,0.86689
8,0.78935,0.87289
9,0.79075,0.85432
10,0.76701,0.88952
11,0.77879,0.87364
12,0.77565,0.88125
13,0.7993,0.84325
14,0.75404,0.88162
15,0.79865,0.88181
16,0.76358,0.88353
17,0.80151,0.85845
18,0.81025,0.87548
19,0.77027,0.87708
20,0.80197,0.86474
21,0.78807,0.88316
22,0.79585,0.88659
23,0.77609,0.86815
24,0.82606,0.82808
25,0.77879,0.89308
26,0.78221,0.87002
27,0.793,0.87581
28,0.78027,0.87438
29,0.78792,0.87111
30,0.79514,0.87693
31,0.77372,0.88885
32,0.77223,0.87219
33,0.78096,0.86267
34,0.77769,0.86836
35,0.7861,0.87033
36,0.79881,0.87772
37,0.80514,0.85327
38,0.76278,0.88371
39,0.77601,0.87995
40,0.78072,0.88417
41,0.80241,0.88797
42,0.78358,0.88896
43,0.78202,0.87734
44,0.78226,0.8709
45,0.78983,0.87835
46,0.75335,0.89625
47,0.79659,0.88002
48,0.7757,0.88924
49,0.78366,0.86757
50,0.79465,0.86035
51,0.78815,0.87556
52,0.80317,0.86698
53,0.78964,0.88706
54,0.7853,0.87941
55,0.77676,0.88264
56,0.81878,0.86419
57,0.75508,0.89163
58,0.77132,0.88379
59,0.77806,0.88503
60,0.7562,0.88474
61,0.76877,0.87171
62,0.77835,0.87373
63,0.81163,0.8591
64,0.76225,0.8919
65,0.78473,0.87687
66,0.79168,0.87719
67,0.77959,0.87906
68,0.78599,0.87767
69,0.75882,0.88636
70,0.78141,0.87665
71,0.76887,0.89949
72,0.78446,0.88384
73,0.79441,0.86358
74,0.80077,0.87143
75,0.80672,0.86488
76,0.8051,0.85965
77,0.80663,0.86455
78,0.78754,0.87028
79,0.76472,0.89008
80,0.7776,0.88385
81,0.78283,0.87667
82,0.80192,0.8632
83,0.77094,0.88966
84,0.77714,0.87755
85,0.78217,0.86609
86,0.78112,0.87614
87,0.77549,0.87564
88,0.77625,0.88431
89,0.79332,0.87177
90,0.80092,0.87153
91,0.77917,0.88274
92,0.76756,0.89739
93,0.7513,0.8904
94,0.77652,0.87823
95,0.79757,0.86776
96,0.8033,0.85876
97,0.79013,0.88003
98,0.7721,0.89109
99,0.8031,0.85898
100,0.78944,0.8913
101,0.80209,0.86758
102,0.79027,0.88104
103,0.77032,0.84408
104,0.78594,0.86941
105,0.7429,0.90282
106,0.77296,0.87298
107,0.80462,0.86356
108,0.77765,0.88606
109,0.76388,0.87932
110,0.7896,0.8792
111,0.7876,0.87823
112,0.78473,0.86015
113,0.78886,0.87109
114,0.80511,0.86842
115,0.79785,0.86737
116,0.76439,0.8966
117,0.7922,0.88344
118,0.78321,0.84721
119,0.78325,0.88136
120,0.79441,0.86348
121,0.80982,0.86448
122,0.78116,0.87588
123,0.78908,0.87063
124,0.80089,0.86165
125,0.79061,0.86628
126,0.76719,0.90637
127,0.76498,0.86852
128,0.7703,0.88651
129,0.77785,0.87092
130,0.79341,0.86881
131,0.79636,0.87345
132,0.80067,0.86558
133,0.76522,0.88154
134,0.77497,0.88216
135,0.79599,0.87574
136,0.77839,0.89114
137,0.77279,0.88912
138,0.78751,0.87549
139,0.82312,0.8477
140,0.75155,0.91347
141,0.76485,0.88479
142,0.80905,0.86192
143,0.79751,0.85666
144,0.79884,0.87878
145,0.74501,0.8945
146,0.76208,0.89614
147,0.76376,0.88837
148,0.80983,0.85329
149,0.7422,0.88025
