res_expno,res_lbl_score,res_tst_score
0,0.80992,0.89702
1,0.81358,0.89178
2,0.83021,0.88609
3,0.83111,0.89594
4,0.79619,0.89986
5,0.83461,0.89172
6,0.82175,0.89319
7,0.83695,0.89645
8,0.82437,0.89526
9,0.81797,0.87712
10,0.79808,0.90803
11,0.81298,0.89311
12,0.81469,0.88542
13,0.82374,0.8724
14,0.78881,0.91277
15,0.82789,0.89186
16,0.81626,0.91211
17,0.83126,0.87644
18,0.83674,0.89506
19,0.8087,0.89397
20,0.85496,0.87803
21,0.82,0.90601
22,0.83052,0.90555
23,0.80262,0.88818
24,0.85581,0.85513
25,0.8151,0.90622
26,0.80396,0.89464
27,0.83175,0.89393
28,0.81813,0.89216
29,0.81809,0.88181
30,0.82076,0.8981
31,0.80809,0.9091
32,0.80129,0.89582
33,0.80983,0.89344
34,0.80184,0.89279
35,0.81269,0.89642
36,0.83855,0.89406
37,0.83723,0.8811
38,0.8065,0.89649
39,0.81544,0.89986
40,0.80699,0.90731
41,0.83614,0.89922
42,0.81947,0.90268
43,0.81007,0.88633
44,0.81807,0.88385
45,0.80741,0.90386
46,0.80009,0.91982
47,0.84089,0.89221
48,0.81248,0.90809
49,0.81658,0.88965
50,0.8252,0.89687
51,0.8374,0.8912
52,0.83357,0.88387
53,0.82177,0.90622
54,0.80861,0.89652
55,0.80231,0.8946
56,0.83555,0.87905
57,0.80259,0.90194
58,0.82287,0.89742
59,0.82364,0.90255
60,0.80046,0.90702
61,0.80105,0.88706
62,0.8078,0.87602
63,0.83567,0.88154
64,0.79838,0.89235
65,0.80963,0.89488
66,0.83136,0.89704
67,0.80901,0.89507
68,0.8266,0.8978
69,0.81447,0.90273
70,0.80761,0.89323
71,0.80269,0.90464
72,0.81477,0.88965
73,0.81834,0.89367
74,0.84496,0.88384
75,0.8329,0.88909
76,0.83667,0.88021
77,0.83959,0.88015
78,0.80955,0.88482
79,0.7977,0.90421
80,0.80931,0.90405
81,0.8456,0.88407
82,0.84253,0.88272
83,0.81007,0.90431
84,0.81648,0.89767
85,0.81844,0.8922
86,0.81471,0.89556
87,0.81604,0.8993
88,0.81155,0.89328
89,0.83657,0.89713
90,0.82803,0.88153
91,0.80593,0.90366
92,0.79137,0.92004
93,0.78844,0.89844
94,0.81813,0.89024
95,0.83558,0.88075
96,0.83194,0.89232
97,0.8374,0.89319
98,0.80633,0.92015
99,0.83675,0.88171
100,0.82239,0.90397
101,0.82813,0.88738
102,0.81862,0.90017
103,0.82046,0.86971
104,0.81271,0.88975
105,0.7958,0.9013
106,0.81918,0.89474
107,0.83692,0.88483
108,0.82273,0.89392
109,0.8043,0.89969
110,0.81928,0.89615
111,0.8321,0.90039
112,0.82348,0.87162
113,0.82387,0.88414
114,0.83897,0.88709
115,0.83685,0.88001
116,0.78855,0.91354
117,0.83591,0.89591
118,0.8124,0.87697
119,0.81751,0.89909
120,0.82568,0.88574
121,0.8367,0.88334
122,0.81879,0.89782
123,0.81181,0.88902
124,0.8436,0.8806
125,0.82278,0.88552
126,0.80388,0.91878
127,0.8043,0.8969
128,0.794,0.90131
129,0.80753,0.88936
130,0.82387,0.88794
131,0.83584,0.89246
132,0.83061,0.88447
133,0.7984,0.90536
134,0.80256,0.88517
135,0.833,0.90168
136,0.81733,0.91025
137,0.81059,0.90953
138,0.82649,0.8865
139,0.8461,0.8774
140,0.78723,0.92457
141,0.79788,0.90411
142,0.83226,0.89193
143,0.83191,0.87359
144,0.8276,0.90165
145,0.79497,0.92398
146,0.82076,0.9052
147,0.80755,0.91316
148,0.84308,0.87741
149,0.81088,0.91273
