res_expno,res_lbl_score,res_tst_score
0,0.99825,0.88797
1,0.99827,0.88859
2,0.99824,0.87837
3,0.99824,0.87858
4,0.99826,0.88451
5,0.99825,0.88229
6,0.99825,0.89195
7,0.99825,0.89027
8,0.99826,0.8817
9,0.99827,0.88819
10,0.99825,0.8924
11,0.99826,0.89744
12,0.99822,0.88997
13,0.99824,0.87255
14,0.99826,0.89729
15,0.9982,0.89561
16,0.99825,0.89492
17,0.99824,0.87764
18,0.99819,0.8904
19,0.99827,0.89709
20,0.99826,0.8658
21,0.99825,0.90252
22,0.99826,0.89675
23,0.99826,0.89461
24,0.99827,0.85582
25,0.99826,0.8906
26,0.99824,0.89123
27,0.99825,0.89861
28,0.99825,0.87773
29,0.99824,0.87568
30,0.99817,0.8924
31,0.99814,0.88127
32,0.99827,0.88303
33,0.99827,0.89506
34,0.99823,0.9002
35,0.99822,0.89965
36,0.99824,0.89145
37,0.99824,0.87841
38,0.99826,0.88295
39,0.99825,0.87694
40,0.99825,0.8923
41,0.99827,0.89764
42,0.99827,0.89575
43,0.99826,0.87594
44,0.99825,0.87918
45,0.99826,0.88179
46,0.99826,0.90694
47,0.99821,0.90021
48,0.99824,0.91376
49,0.99824,0.8933
50,0.99825,0.8963
51,0.99821,0.89614
52,0.99823,0.88947
53,0.99825,0.88034
54,0.99825,0.8987
55,0.99826,0.89481
56,0.99825,0.88208
57,0.99825,0.89553
58,0.99824,0.89299
59,0.99825,0.88422
60,0.99825,0.89066
61,0.99828,0.88276
62,0.99826,0.86632
63,0.99824,0.87699
64,0.99821,0.88921
65,0.99825,0.86362
66,0.99823,0.88441
67,0.99826,0.87812
68,0.99825,0.88563
69,0.99823,0.90591
70,0.99826,0.88241
71,0.99823,0.90167
72,0.99826,0.87556
73,0.99826,0.88355
74,0.99823,0.8822
75,0.99823,0.8888
76,0.99825,0.87994
77,0.99824,0.8858
78,0.99827,0.88523
79,0.99824,0.88921
80,0.99823,0.89069
81,0.99823,0.86755
82,0.99825,0.87754
83,0.99826,0.89687
84,0.99822,0.89345
85,0.99826,0.89356
86,0.99827,0.8802
87,0.99825,0.89871
88,0.99827,0.88976
89,0.99826,0.87861
90,0.99825,0.87743
91,0.99826,0.88158
92,0.99826,0.89077
93,0.99822,0.89278
94,0.99817,0.89446
95,0.99826,0.88291
96,0.99825,0.87713
97,0.99824,0.89321
98,0.9982,0.89107
99,0.99825,0.86748
100,0.99826,0.89666
101,0.99827,0.89002
102,0.99825,0.88835
103,0.99826,0.86702
104,0.99825,0.87655
105,0.99825,0.88799
106,0.99826,0.88351
107,0.99825,0.86657
108,0.99825,0.89084
109,0.99825,0.89537
110,0.99825,0.87865
111,0.99816,0.89848
112,0.99826,0.86696
113,0.99827,0.88627
114,0.99823,0.87638
115,0.99824,0.88246
116,0.99826,0.88877
117,0.99824,0.89845
118,0.99825,0.8814
119,0.99826,0.88584
120,0.99825,0.88456
121,0.99824,0.89132
122,0.99825,0.89588
123,0.99825,0.87968
124,0.99825,0.87553
125,0.99823,0.88564
126,0.99826,0.89568
127,0.99825,0.89137
128,0.99823,0.90755
129,0.99826,0.88207
130,0.99827,0.87699
131,0.99818,0.87839
132,0.99824,0.893
133,0.99826,0.89439
134,0.99826,0.89892
135,0.99824,0.89569
136,0.99826,0.89539
137,0.99827,0.89547
138,0.99827,0.88977
139,0.9982,0.87292
140,0.99826,0.90878
141,0.99827,0.89355
142,0.99823,0.89005
143,0.99826,0.87675
144,0.99826,0.89261
145,0.99825,0.89587
146,0.99823,0.88505
147,0.99825,0.90573
148,0.99826,0.86606
149,0.99826,0.90289
