res_expno,res_lbl_score,res_tst_score
0,0.84192,0.90134
1,0.82,0.89553
2,0.86791,0.8892
3,0.84793,0.89286
4,0.81493,0.91014
5,0.8462,0.89294
6,0.82286,0.9
7,0.85117,0.8992
8,0.8438,0.89999
9,0.83044,0.88956
10,0.79934,0.91648
11,0.8436,0.89623
12,0.83833,0.89325
13,0.83601,0.87975
14,0.82472,0.91999
15,0.83831,0.89952
16,0.8488,0.91381
17,0.85623,0.88065
18,0.84068,0.89627
19,0.83418,0.89745
20,0.88133,0.87469
21,0.83992,0.91068
22,0.83733,0.90986
23,0.83234,0.89578
24,0.87482,0.85866
25,0.84007,0.90774
26,0.83934,0.89962
27,0.84295,0.89984
28,0.83286,0.89203
29,0.84348,0.89059
30,0.83347,0.90455
31,0.83751,0.90883
32,0.81188,0.90012
33,0.81718,0.90216
34,0.83806,0.8953
35,0.82803,0.89894
36,0.85569,0.8983
37,0.83927,0.88467
38,0.84506,0.90338
39,0.85621,0.89656
40,0.82507,0.91061
41,0.85244,0.89608
42,0.84188,0.90287
43,0.83842,0.89758
44,0.82798,0.88631
45,0.82437,0.90505
46,0.84025,0.9245
47,0.85795,0.89857
48,0.83,0.91074
49,0.82236,0.89273
50,0.83613,0.89643
51,0.84476,0.89207
52,0.8538,0.89021
53,0.81403,0.90886
54,0.84967,0.90216
55,0.81708,0.9058
56,0.84992,0.88592
57,0.83047,0.90431
58,0.84929,0.89845
59,0.83987,0.90456
60,0.80497,0.91231
61,0.83533,0.89677
62,0.85208,0.8905
63,0.85784,0.88404
64,0.81713,0.90902
65,0.8411,0.90048
66,0.8598,0.89447
67,0.83892,0.89855
68,0.84442,0.90169
69,0.82463,0.90998
70,0.81767,0.89662
71,0.82367,0.91291
72,0.8347,0.89806
73,0.83515,0.89689
74,0.86336,0.88654
75,0.85732,0.89132
76,0.84593,0.88283
77,0.85276,0.88953
78,0.84089,0.8986
79,0.80047,0.90751
80,0.83131,0.90629
81,0.86447,0.88809
82,0.86351,0.88286
83,0.81558,0.90826
84,0.81832,0.89867
85,0.8197,0.89228
86,0.837,0.90008
87,0.81733,0.90409
88,0.81904,0.89814
89,0.84674,0.89901
90,0.86118,0.88785
91,0.82967,0.90274
92,0.81896,0.92858
93,0.81565,0.90658
94,0.82618,0.89523
95,0.85149,0.88539
96,0.84623,0.89454
97,0.85312,0.89292
98,0.82261,0.92179
99,0.87048,0.88517
100,0.84924,0.9054
101,0.84759,0.89397
102,0.84072,0.90306
103,0.82747,0.87729
104,0.8283,0.89327
105,0.80834,0.91239
106,0.84731,0.89929
107,0.84021,0.88644
108,0.85059,0.89635
109,0.83606,0.91003
110,0.83561,0.89768
111,0.83556,0.90685
112,0.844,0.87747
113,0.85685,0.88817
114,0.85228,0.88734
115,0.84726,0.88265
116,0.79338,0.9183
117,0.84409,0.89452
118,0.86178,0.88167
119,0.83856,0.90082
120,0.84652,0.88921
121,0.84294,0.88762
122,0.82343,0.90101
123,0.85492,0.89737
124,0.85671,0.88182
125,0.83876,0.88724
126,0.79524,0.92214
127,0.81428,0.90658
128,0.8144,0.90735
129,0.84259,0.89253
130,0.82349,0.89214
131,0.85111,0.89365
132,0.86048,0.88713
133,0.81738,0.91239
134,0.83555,0.90627
135,0.84565,0.90246
136,0.82476,0.91125
137,0.8302,0.91126
138,0.85587,0.89304
139,0.85292,0.88008
140,0.80287,0.92535
141,0.8076,0.91223
142,0.85029,0.89866
143,0.84512,0.8741
144,0.84494,0.90558
145,0.81422,0.92359
146,0.84294,0.90527
147,0.82275,0.91617
148,0.85966,0.88616
149,0.82104,0.91746
