res_expno,res_lbl_score,res_tst_score
0,0.94227,0.9445
1,0.93612,0.96089
2,0.9242,0.96736
3,0.93015,0.95364
4,0.91547,0.954
5,0.92981,0.95188
6,0.92257,0.96244
7,0.95513,0.93545
8,0.92854,0.96071
9,0.94297,0.95121
10,0.9212,0.96489
11,0.9273,0.95979
12,0.94948,0.94576
13,0.93898,0.95214
14,0.92353,0.95694
15,0.91937,0.96726
16,0.93011,0.94133
17,0.91588,0.95472
18,0.91967,0.96614
19,0.92955,0.95225
20,0.93203,0.96294
21,0.9381,0.94776
22,0.93849,0.96854
23,0.91367,0.95088
24,0.941,0.95792
25,0.91738,0.96376
26,0.92315,0.95515
27,0.93477,0.96097
28,0.93429,0.94881
29,0.92161,0.96828
30,0.94132,0.96162
31,0.94439,0.94895
32,0.94762,0.94669
33,0.96804,0.93208
34,0.93663,0.95527
35,0.90826,0.96949
36,0.92686,0.95526
37,0.94104,0.95188
38,0.94469,0.94864
39,0.92542,0.96116
40,0.9254,0.96744
41,0.93974,0.95252
42,0.9383,0.96636
43,0.91508,0.9746
44,0.92432,0.95312
45,0.92579,0.95497
46,0.92926,0.96084
47,0.93781,0.96048
48,0.93209,0.95678
49,0.91457,0.97224
50,0.90573,0.9606
51,0.93149,0.9635
52,0.95031,0.94354
53,0.93852,0.96528
54,0.92088,0.95688
55,0.93539,0.95154
56,0.92143,0.97172
57,0.93562,0.94436
58,0.94583,0.94361
59,0.91668,0.96524
60,0.9223,0.95529
61,0.91449,0.96076
62,0.92952,0.95568
63,0.91785,0.96564
64,0.94697,0.9477
65,0.94148,0.94739
66,0.94301,0.94882
67,0.93194,0.96364
68,0.90623,0.95332
69,0.94494,0.95081
70,0.94832,0.9522
71,0.921,0.96409
72,0.92888,0.94866
73,0.94427,0.9496
74,0.92338,0.95333
75,0.90677,0.9651
76,0.92548,0.96141
77,0.92956,0.95261
78,0.93767,0.95062
79,0.93543,0.94588
80,0.93323,0.96117
81,0.9244,0.96026
82,0.94253,0.95278
83,0.91796,0.96737
84,0.93087,0.95605
85,0.92967,0.96124
86,0.93993,0.9551
87,0.92543,0.9498
88,0.92152,0.96325
89,0.93757,0.9462
90,0.92112,0.96554
91,0.92516,0.9469
92,0.90885,0.96309
93,0.92299,0.9587
94,0.94208,0.94936
95,0.93424,0.9661
96,0.93456,0.95667
97,0.90155,0.97536
98,0.93475,0.95925
99,0.93174,0.95796
100,0.92417,0.96631
101,0.93706,0.95908
102,0.93822,0.94879
103,0.95062,0.95033
104,0.9228,0.95779
105,0.92045,0.97053
106,0.93667,0.9423
107,0.9407,0.95409
108,0.94775,0.96161
109,0.93919,0.96193
110,0.93988,0.95171
111,0.93352,0.95203
112,0.93855,0.95911
113,0.9369,0.94925
114,0.92656,0.94734
115,0.91318,0.95438
116,0.93876,0.95796
117,0.93825,0.95183
118,0.93495,0.95418
119,0.93863,0.95755
120,0.93818,0.95728
121,0.93902,0.95442
122,0.94021,0.9569
123,0.94245,0.94487
124,0.93597,0.96445
125,0.94571,0.94693
126,0.93594,0.94907
127,0.93614,0.96344
128,0.94443,0.9572
129,0.92512,0.95472
130,0.93121,0.96617
131,0.92782,0.95169
132,0.9302,0.95294
133,0.9303,0.9556
134,0.91789,0.95409
135,0.9267,0.95608
136,0.93167,0.95153
137,0.93527,0.95047
138,0.94512,0.94478
139,0.92442,0.96293
140,0.91141,0.97558
141,0.95199,0.94036
142,0.92524,0.95577
143,0.93659,0.95377
144,0.93325,0.96361
145,0.92594,0.96241
146,0.93208,0.94206
147,0.92672,0.95141
148,0.9381,0.95894
149,0.94337,0.94086
