res_expno,res_lbl_score,res_tst_score
0,0.89506,0.74244
1,0.886,0.76166
2,0.85274,0.72163
3,0.89307,0.73879
4,0.88075,0.7458
5,0.87737,0.71487
6,0.88018,0.73494
7,0.89798,0.738
8,0.87129,0.75265
9,0.87558,0.74855
10,0.89233,0.75522
11,0.88065,0.7711
12,0.88905,0.75715
13,0.88629,0.73386
14,0.90422,0.757
15,0.87542,0.75269
16,0.90328,0.72075
17,0.86741,0.76381
18,0.88576,0.74001
19,0.89147,0.73373
20,0.89282,0.75
21,0.88793,0.73444
22,0.88075,0.74722
23,0.88383,0.74378
24,0.89306,0.72454
25,0.88168,0.74512
26,0.90112,0.74093
27,0.88014,0.7559
28,0.88813,0.7474
29,0.88048,0.75583
30,0.87946,0.73264
31,0.89873,0.72777
32,0.87343,0.7471
33,0.9103,0.73706
34,0.87089,0.74967
35,0.86378,0.74512
36,0.89366,0.73779
37,0.86665,0.7684
38,0.89225,0.76508
39,0.90544,0.71858
40,0.88071,0.76511
41,0.87818,0.70153
42,0.85734,0.70728
43,0.88464,0.74977
44,0.89533,0.7372
45,0.87686,0.76117
46,0.86679,0.73927
47,0.89196,0.74322
48,0.85837,0.74134
49,0.8876,0.76185
50,0.88646,0.738
51,0.89648,0.78555
52,0.88191,0.72202
53,0.86395,0.74199
54,0.89819,0.7285
55,0.87171,0.77353
56,0.89792,0.73265
57,0.8947,0.72031
58,0.86443,0.75692
59,0.85245,0.72943
60,0.8917,0.74532
61,0.87624,0.7169
62,0.86793,0.72359
63,0.86702,0.74169
64,0.8851,0.72383
65,0.88002,0.7662
66,0.87455,0.74392
67,0.87072,0.73198
68,0.90199,0.71439
69,0.90727,0.74472
70,0.88545,0.73249
71,0.8779,0.73827
72,0.86548,0.72766
73,0.88741,0.73862
74,0.8689,0.72916
75,0.88858,0.72239
76,0.86339,0.73828
77,0.874,0.72059
78,0.87594,0.74085
79,0.89074,0.74092
80,0.90931,0.74877
81,0.88556,0.75442
82,0.89268,0.74489
83,0.8599,0.73014
84,0.88475,0.75025
85,0.89075,0.73453
86,0.9148,0.762
87,0.88026,0.7319
88,0.87926,0.75798
89,0.89384,0.75495
90,0.88218,0.75983
91,0.85817,0.73022
92,0.87612,0.741
93,0.87677,0.74811
94,0.88722,0.7316
95,0.88628,0.74402
96,0.86557,0.74905
97,0.86128,0.71652
98,0.85901,0.74108
99,0.87417,0.75722
100,0.89212,0.73811
101,0.88102,0.76089
102,0.8654,0.75567
103,0.8954,0.7398
104,0.87422,0.76452
105,0.8861,0.74287
106,0.89602,0.73727
107,0.88664,0.74105
108,0.88782,0.72967
109,0.89731,0.74165
110,0.89515,0.72141
111,0.86242,0.72488
112,0.87021,0.70863
113,0.86794,0.73086
114,0.89826,0.73345
115,0.89421,0.70257
116,0.89337,0.75411
117,0.88973,0.7581
118,0.87286,0.76964
119,0.89153,0.7595
120,0.88741,0.70379
121,0.89464,0.7581
122,0.88253,0.75459
123,0.89646,0.75455
124,0.8743,0.73776
125,0.87611,0.76263
126,0.875,0.72841
127,0.88685,0.72609
128,0.88199,0.73873
129,0.87723,0.73924
130,0.86497,0.74778
131,0.87988,0.74
132,0.89416,0.73447
133,0.88746,0.74474
134,0.88474,0.76395
135,0.88397,0.72772
136,0.87894,0.7297
137,0.87308,0.73449
138,0.88903,0.72799
139,0.87937,0.74227
140,0.87625,0.72158
141,0.8729,0.76535
142,0.87939,0.76814
143,0.88738,0.71453
144,0.84695,0.76965
145,0.91038,0.73938
146,0.88707,0.76332
147,0.90549,0.7309
148,0.89004,0.75099
149,0.88933,0.74786
