res_expno,res_lbl_score,res_tst_score
0,0.76757,0.71512
1,0.71365,0.76114
2,0.74015,0.73949
3,0.72439,0.76338
4,0.72057,0.74093
5,0.75776,0.68422
6,0.78961,0.69143
7,0.74001,0.76196
8,0.75969,0.70999
9,0.76995,0.74749
10,0.68884,0.7229
11,0.76371,0.71512
12,0.73574,0.72216
13,0.70673,0.68572
14,0.71014,0.7873
15,0.71532,0.73221
16,0.72518,0.73799
17,0.75187,0.73233
18,0.66932,0.7538
19,0.77629,0.70669
20,0.73136,0.71799
21,0.71876,0.75044
22,0.71904,0.75498
23,0.80875,0.69388
24,0.7142,0.71023
25,0.66966,0.76423
26,0.75754,0.75742
27,0.74068,0.74435
28,0.74846,0.75862
29,0.67311,0.75335
30,0.73037,0.80755
31,0.76886,0.73954
32,0.7588,0.6932
33,0.70813,0.73812
34,0.72682,0.74006
35,0.71187,0.73218
36,0.73959,0.69432
37,0.76149,0.71986
38,0.73943,0.75173
39,0.77177,0.71021
40,0.74967,0.72198
41,0.7383,0.72654
42,0.73337,0.7239
43,0.79262,0.68545
44,0.7532,0.72505
45,0.72844,0.75131
46,0.68612,0.78899
47,0.75488,0.68537
48,0.69473,0.7673
49,0.71268,0.76485
50,0.70649,0.74974
51,0.70042,0.77096
52,0.69806,0.76897
53,0.73756,0.74737
54,0.73445,0.77238
55,0.71266,0.70048
56,0.71806,0.70752
57,0.68804,0.77874
58,0.73405,0.68819
59,0.70711,0.76153
60,0.75338,0.73677
61,0.77826,0.70622
62,0.71288,0.77954
63,0.74774,0.74959
64,0.72498,0.78326
65,0.72307,0.68402
66,0.74881,0.71699
67,0.74268,0.76989
68,0.72681,0.72936
69,0.76303,0.72704
70,0.75694,0.72098
71,0.78664,0.71929
72,0.67667,0.77253
73,0.74724,0.7634
74,0.71913,0.73006
75,0.7106,0.7253
76,0.72172,0.75251
77,0.76467,0.75076
78,0.73174,0.76306
79,0.66556,0.77929
80,0.77195,0.69642
81,0.71864,0.77163
82,0.7382,0.7774
83,0.78051,0.7431
84,0.76242,0.75024
85,0.7452,0.77031
86,0.75538,0.74141
87,0.76896,0.71769
88,0.72334,0.73889
89,0.81323,0.75527
90,0.768,0.75256
91,0.71448,0.75328
92,0.74486,0.76004
93,0.6983,0.73482
94,0.7366,0.7546
95,0.69128,0.71889
96,0.76029,0.71797
97,0.74724,0.72168
98,0.72696,0.70976
99,0.74873,0.74293
100,0.73665,0.71794
101,0.69772,0.69844
102,0.71444,0.74138
103,0.75949,0.70587
104,0.76708,0.73303
105,0.74223,0.75665
106,0.68866,0.75685
107,0.72338,0.7432
108,0.72182,0.75273
109,0.70184,0.75243
110,0.72716,0.72238
111,0.72115,0.7446
112,0.74105,0.73665
113,0.75225,0.74283
114,0.74861,0.73832
115,0.7638,0.72874
116,0.77952,0.76378
117,0.72914,0.71814
118,0.75355,0.71288
119,0.70529,0.74365
120,0.68631,0.76969
121,0.72565,0.77306
122,0.74099,0.74505
123,0.72703,0.75859
124,0.71557,0.75772
125,0.71579,0.72193
126,0.74137,0.72881
127,0.70503,0.80932
128,0.73641,0.69622
129,0.68939,0.75697
130,0.75557,0.77196
131,0.73482,0.73834
132,0.74701,0.70111
133,0.75135,0.73996
134,0.76412,0.73837
135,0.75259,0.72176
136,0.74475,0.7756
137,0.73379,0.74433
138,0.72364,0.76084
139,0.72388,0.74181
140,0.68627,0.75049
141,0.68021,0.81271
142,0.7275,0.71966
143,0.75705,0.73874
144,0.737,0.76086
145,0.7489,0.69046
146,0.68658,0.78937
147,0.71536,0.70891
148,0.80366,0.75956
149,0.73626,0.77475
