res_expno,res_lbl_score,res_tst_score
0,0.76904,0.72053
1,0.79582,0.72495
2,0.78138,0.72425
3,0.79617,0.75213
4,0.73411,0.73814
5,0.79238,0.68622
6,0.80304,0.7055
7,0.76241,0.76288
8,0.80618,0.7026
9,0.78328,0.73842
10,0.7462,0.74014
11,0.78258,0.72774
12,0.77269,0.68866
13,0.74139,0.67522
14,0.72558,0.76428
15,0.77319,0.74019
16,0.75298,0.73248
17,0.75447,0.72784
18,0.73299,0.73465
19,0.81013,0.6832
20,0.74314,0.71398
21,0.75121,0.74206
22,0.76173,0.72552
23,0.7998,0.69385
24,0.78984,0.72689
25,0.70018,0.7128
26,0.78375,0.74208
27,0.79811,0.71101
28,0.74611,0.75383
29,0.69066,0.7569
30,0.75016,0.80849
31,0.77328,0.72081
32,0.81402,0.69669
33,0.74769,0.73989
34,0.75104,0.73662
35,0.75407,0.74335
36,0.78882,0.6855
37,0.78988,0.68674
38,0.76443,0.75652
39,0.80224,0.71455
40,0.77602,0.72954
41,0.76276,0.72236
42,0.76594,0.7337
43,0.80507,0.67662
44,0.80841,0.73689
45,0.77744,0.76296
46,0.71201,0.76849
47,0.80757,0.70345
48,0.72863,0.77363
49,0.76559,0.75617
50,0.75671,0.77208
51,0.78138,0.74834
52,0.74946,0.74991
53,0.7628,0.74443
54,0.77942,0.76752
55,0.74513,0.70911
56,0.79129,0.68121
57,0.76751,0.73275
58,0.80503,0.67203
59,0.7914,0.74665
60,0.77413,0.76011
61,0.7991,0.71103
62,0.77095,0.77213
63,0.7894,0.7462
64,0.75137,0.76508
65,0.75727,0.69136
66,0.79607,0.73206
67,0.76258,0.76079
68,0.76704,0.71799
69,0.75877,0.72879
70,0.77918,0.71355
71,0.79246,0.7431
72,0.74247,0.75203
73,0.80626,0.76961
74,0.79349,0.72732
75,0.75684,0.71218
76,0.74499,0.74098
77,0.78941,0.76929
78,0.76029,0.77051
79,0.71149,0.76979
80,0.83587,0.69991
81,0.74189,0.77832
82,0.7747,0.76291
83,0.7995,0.7258
84,0.77769,0.75956
85,0.77554,0.7642
86,0.77353,0.73582
87,0.79232,0.7361
88,0.73146,0.74353
89,0.84163,0.75443
90,0.79357,0.7567
91,0.74609,0.74365
92,0.78927,0.73502
93,0.77642,0.71742
94,0.75461,0.74572
95,0.78454,0.71542
96,0.79117,0.73657
97,0.78795,0.70974
98,0.77822,0.69308
99,0.76775,0.74213
100,0.76247,0.69974
101,0.77683,0.70834
102,0.76728,0.7263
103,0.80866,0.69742
104,0.76584,0.73919
105,0.76519,0.77575
106,0.73769,0.75353
107,0.79911,0.73388
108,0.77205,0.74767
109,0.74136,0.72854
110,0.7871,0.7235
111,0.76745,0.74248
112,0.7758,0.73171
113,0.79001,0.72779
114,0.78132,0.73248
115,0.77895,0.73358
116,0.7896,0.73413
117,0.77788,0.71148
118,0.80896,0.70809
119,0.74496,0.73844
120,0.71237,0.77612
121,0.77036,0.75687
122,0.81552,0.73228
123,0.76391,0.75328
124,0.74536,0.76355
125,0.75422,0.73921
126,0.77553,0.72398
127,0.76273,0.7737
128,0.77712,0.71083
129,0.75746,0.74675
130,0.76683,0.77904
131,0.76027,0.74069
132,0.81597,0.68664
133,0.77589,0.74201
134,0.77676,0.73198
135,0.75264,0.72083
136,0.7554,0.76532
137,0.82238,0.72921
138,0.75125,0.77099
139,0.75829,0.73605
140,0.80038,0.74887
141,0.72063,0.79927
142,0.78642,0.7136
143,0.76341,0.73076
144,0.79432,0.73051
145,0.76,0.69607
146,0.74237,0.78039
147,0.75598,0.70831
148,0.81734,0.76168
149,0.76918,0.77418
