res_expno,res_lbl_score,res_tst_score
0,0.99387,0.64936
1,0.97828,0.72268
2,0.98718,0.68677
3,0.99332,0.72004
4,0.97347,0.7051
5,0.99125,0.66926
6,0.98223,0.68861
7,0.98628,0.72024
8,0.99042,0.69036
9,0.98501,0.71587
10,0.98287,0.69816
11,0.98028,0.69235
12,0.99376,0.64741
13,0.98173,0.62622
14,0.98898,0.71275
15,0.98604,0.72714
16,0.98303,0.73034
17,0.97731,0.70944
18,0.97815,0.69684
19,0.98524,0.64724
20,0.98679,0.65352
21,0.98344,0.6822
22,0.98358,0.72585
23,0.99336,0.67697
24,0.99365,0.70652
25,0.98343,0.64572
26,0.9787,0.69253
27,0.97756,0.66694
28,0.98643,0.67836
29,0.98762,0.72497
30,0.97948,0.7644
31,0.97896,0.68048
32,0.99387,0.6635
33,0.95945,0.74328
34,0.97862,0.69018
35,0.98104,0.70986
36,0.99265,0.65779
37,0.99237,0.68607
38,0.97326,0.73153
39,0.97379,0.69086
40,0.98343,0.69417
41,0.99122,0.64026
42,0.98876,0.71634
43,0.98558,0.65063
44,0.99137,0.72674
45,0.98292,0.71221
46,0.99328,0.76747
47,0.99076,0.69205
48,0.99009,0.70547
49,0.99238,0.71472
50,0.98632,0.69959
51,0.98163,0.72657
52,0.98655,0.71637
53,0.99387,0.72363
54,0.98981,0.70851
55,0.97144,0.71228
56,0.98966,0.66609
57,0.98163,0.7134
58,0.98719,0.66111
59,0.98245,0.6952
60,0.97289,0.69914
61,0.98115,0.70904
62,0.979,0.74585
63,0.98528,0.69964
64,0.97518,0.72979
65,0.99142,0.63933
66,0.98014,0.68101
67,0.99312,0.72876
68,0.98484,0.6935
69,0.96408,0.69879
70,0.97689,0.68609
71,0.99233,0.69505
72,0.97813,0.74587
73,0.9847,0.71066
74,0.98587,0.71789
75,0.98588,0.70707
76,0.99077,0.70944
77,0.98368,0.70637
78,0.98086,0.70809
79,0.97915,0.73039
80,0.98461,0.68136
81,0.98784,0.72936
82,0.99387,0.68203
83,0.97666,0.74158
84,0.98566,0.72946
85,0.9755,0.71634
86,0.97807,0.74906
87,0.97915,0.70253
88,0.9646,0.72615
89,0.99218,0.736
90,0.98459,0.70043
91,0.98511,0.73086
92,0.98097,0.71485
93,0.98171,0.63472
94,0.97647,0.71884
95,0.98854,0.703
96,0.98555,0.68747
97,0.98816,0.68233
98,0.98171,0.68365
99,0.99182,0.69759
100,0.98024,0.69265
101,0.98363,0.69335
102,0.99367,0.71859
103,0.99385,0.69959
104,0.97283,0.71752
105,0.98313,0.72949
106,0.99231,0.70442
107,0.99013,0.69537
108,0.98249,0.70764
109,0.96986,0.69747
110,0.95746,0.71492
111,0.99383,0.69096
112,0.97944,0.71747
113,0.984,0.68098
114,0.98468,0.7129
115,0.9931,0.70096
116,0.97724,0.72625
117,0.99262,0.70647
118,0.99246,0.69754
119,0.98792,0.66749
120,0.98912,0.73191
121,0.97066,0.71423
122,0.9937,0.68964
123,0.99383,0.7253
124,0.99379,0.72186
125,0.98653,0.6754
126,0.9856,0.70196
127,0.97802,0.74064
128,0.9884,0.68218
129,0.98215,0.68856
130,0.97891,0.74263
131,0.98559,0.68298
132,0.98419,0.71288
133,0.98296,0.71502
134,0.98531,0.68649
135,0.98043,0.69667
136,0.99387,0.70846
137,0.98682,0.71066
138,0.97573,0.71273
139,0.98752,0.6652
140,0.98793,0.73852
141,0.98482,0.70744
142,0.98294,0.70575
143,0.9884,0.72026
144,0.98467,0.7125
145,0.98306,0.65519
146,0.98128,0.70712
147,0.98875,0.67607
148,0.98492,0.7232
149,0.98733,0.70642
