res_expno,res_lbl_score,res_tst_score
0,0.72096,0.73216
1,0.66497,0.76251
2,0.68338,0.72762
3,0.73473,0.75445
4,0.71767,0.74784
5,0.74028,0.67856
6,0.7883,0.69437
7,0.70513,0.77011
8,0.78764,0.71063
9,0.70954,0.75133
10,0.65785,0.69475
11,0.73421,0.71969
12,0.70267,0.71911
13,0.7617,0.67789
14,0.7202,0.76415
15,0.70152,0.73213
16,0.72939,0.74118
17,0.73362,0.73188
18,0.68203,0.74168
19,0.71934,0.69517
20,0.7649,0.6937
21,0.7017,0.74059
22,0.72835,0.72385
23,0.7408,0.70168
24,0.69571,0.72176
25,0.73954,0.73817
26,0.69017,0.76261
27,0.72859,0.73625
28,0.67767,0.74535
29,0.69447,0.76645
30,0.66033,0.80054
31,0.719,0.72645
32,0.7541,0.6932
33,0.74485,0.73929
34,0.70869,0.73886
35,0.72159,0.71163
36,0.71144,0.6935
37,0.71364,0.71936
38,0.71668,0.72171
39,0.72588,0.70205
40,0.76081,0.72173
41,0.69017,0.72772
42,0.67667,0.7158
43,0.72384,0.67178
44,0.71394,0.73118
45,0.71781,0.74577
46,0.70482,0.75582
47,0.73734,0.68507
48,0.66984,0.73799
49,0.68762,0.73807
50,0.67681,0.74173
51,0.66995,0.77271
52,0.69042,0.73667
53,0.70181,0.74951
54,0.67974,0.76877
55,0.7312,0.703
56,0.68261,0.71734
57,0.67116,0.7755
58,0.71674,0.68517
59,0.67076,0.77216
60,0.69292,0.78059
61,0.82572,0.70243
62,0.69842,0.77832
63,0.67214,0.74069
64,0.67401,0.77428
65,0.7017,0.67402
66,0.74512,0.70086
67,0.70937,0.77767
68,0.71495,0.71951
69,0.66366,0.73106
70,0.68447,0.71824
71,0.82125,0.72034
72,0.70036,0.76069
73,0.66259,0.74605
74,0.72082,0.72857
75,0.70155,0.69021
76,0.68964,0.75575
77,0.75376,0.74221
78,0.71775,0.74734
79,0.63889,0.7658
80,0.71421,0.68936
81,0.6891,0.74817
82,0.66083,0.77148
83,0.69359,0.75026
84,0.70891,0.75757
85,0.73137,0.76263
86,0.75919,0.72138
87,0.76048,0.71622
88,0.71197,0.72014
89,0.77445,0.75463
90,0.74525,0.73405
91,0.71436,0.75148
92,0.68941,0.72904
93,0.68627,0.74019
94,0.68296,0.74702
95,0.69317,0.72719
96,0.74327,0.70644
97,0.76054,0.72724
98,0.71129,0.70126
99,0.75082,0.7265
100,0.70754,0.70759
101,0.79242,0.69006
102,0.71853,0.73358
103,0.746,0.69866
104,0.7463,0.735
105,0.77297,0.76557
106,0.69354,0.75415
107,0.72082,0.73921
108,0.7203,0.74685
109,0.67119,0.7261
110,0.679,0.71515
111,0.68166,0.75757
112,0.7239,0.71475
113,0.74061,0.72066
114,0.72994,0.71283
115,0.75289,0.73143
116,0.703,0.75161
117,0.66597,0.71657
118,0.7159,0.70333
119,0.7306,0.73824
120,0.68422,0.77258
121,0.67766,0.76054
122,0.68628,0.75176
123,0.70112,0.75096
124,0.68998,0.75034
125,0.67885,0.73203
126,0.67593,0.7467
127,0.65338,0.78765
128,0.70108,0.74702
129,0.6473,0.74373
130,0.73559,0.7661
131,0.70475,0.72063
132,0.73904,0.69772
133,0.7073,0.74121
134,0.75588,0.71989
135,0.70363,0.72253
136,0.66978,0.77021
137,0.71111,0.74652
138,0.73009,0.75096
139,0.70107,0.72724
140,0.68381,0.75089
141,0.64377,0.78203
142,0.69884,0.71405
143,0.75224,0.74527
144,0.67467,0.75468
145,0.71312,0.69258
146,0.67039,0.79298
147,0.69246,0.72654
148,0.75241,0.74769
149,0.62423,0.80154
