res_expno,res_lbl_score,res_tst_score
0,0.99387,0.65512
1,0.98485,0.72557
2,0.99065,0.67036
3,0.99198,0.72759
4,0.98481,0.71659
5,0.98409,0.66357
6,0.97986,0.68949
7,0.98271,0.74378
8,0.99319,0.70393
9,0.98702,0.71787
10,0.98859,0.69405
11,0.98066,0.6954
12,0.99382,0.66465
13,0.98621,0.64509
14,0.98707,0.71166
15,0.98684,0.71273
16,0.97798,0.73901
17,0.99184,0.71851
18,0.96888,0.68891
19,0.98828,0.64529
20,0.985,0.65806
21,0.9842,0.69851
22,0.9758,0.71465
23,0.99125,0.67512
24,0.98793,0.68979
25,0.96948,0.68619
26,0.98141,0.69644
27,0.98938,0.68126
28,0.9881,0.65155
29,0.98522,0.75512
30,0.98096,0.74537
31,0.98156,0.68969
32,0.99381,0.68395
33,0.9733,0.72687
34,0.98307,0.7143
35,0.97105,0.70173
36,0.98955,0.64961
37,0.99125,0.69136
38,0.97619,0.73196
39,0.97711,0.70782
40,0.97567,0.69777
41,0.98677,0.66143
42,0.98714,0.71363
43,0.98787,0.64213
44,0.98494,0.71894
45,0.99098,0.69594
46,0.98793,0.75829
47,0.99202,0.69023
48,0.98488,0.69811
49,0.98929,0.7046
50,0.99258,0.70358
51,0.98527,0.71455
52,0.99367,0.70091
53,0.99375,0.7258
54,0.9889,0.7026
55,0.98581,0.71026
56,0.99367,0.66003
57,0.98926,0.70363
58,0.99015,0.65707
59,0.98286,0.70989
60,0.97264,0.69622
61,0.98805,0.71275
62,0.98004,0.75395
63,0.98017,0.69891
64,0.98591,0.73984
65,0.98543,0.64385
66,0.98248,0.67255
67,0.98894,0.73101
68,0.98095,0.67804
69,0.9743,0.69894
70,0.98589,0.69043
71,0.99153,0.69405
72,0.98247,0.75517
73,0.97864,0.69667
74,0.99252,0.70348
75,0.98415,0.69944
76,0.99357,0.72283
77,0.98372,0.7263
78,0.98117,0.71844
79,0.9813,0.74946
80,0.98784,0.68295
81,0.99267,0.72839
82,0.99368,0.6945
83,0.98415,0.72939
84,0.98533,0.73385
85,0.9804,0.72951
86,0.98048,0.74468
87,0.981,0.70709
88,0.9735,0.72365
89,0.98827,0.72547
90,0.99153,0.72522
91,0.9874,0.73799
92,0.98015,0.70904
93,0.99091,0.64926
94,0.98277,0.70532
95,0.99088,0.70163
96,0.9833,0.69849
97,0.9925,0.70587
98,0.98687,0.65597
99,0.98893,0.69647
100,0.99174,0.66245
101,0.98109,0.69093
102,0.99367,0.71487
103,0.99095,0.68779
104,0.97819,0.70614
105,0.98587,0.72255
106,0.98835,0.71689
107,0.99044,0.71921
108,0.99095,0.70163
109,0.96704,0.68814
110,0.97269,0.71103
111,0.99387,0.71053
112,0.97633,0.69447
113,0.98667,0.68091
114,0.98453,0.71814
115,0.98843,0.7142
116,0.9809,0.70617
117,0.99146,0.7123
118,0.9873,0.68425
119,0.98224,0.66624
120,0.98505,0.7443
121,0.96757,0.71138
122,0.99379,0.69787
123,0.99377,0.72116
124,0.99378,0.70111
125,0.98806,0.6925
126,0.98459,0.69455
127,0.97906,0.72258
128,0.98759,0.69657
129,0.97693,0.68884
130,0.97485,0.74166
131,0.9881,0.69265
132,0.98398,0.71133
133,0.97987,0.71634
134,0.98665,0.68921
135,0.97915,0.70393
136,0.99387,0.72243
137,0.99179,0.70804
138,0.97872,0.71904
139,0.99307,0.67834
140,0.9936,0.75123
141,0.98291,0.72166
142,0.99127,0.6944
143,0.99291,0.72739
144,0.98881,0.69826
145,0.9878,0.66724
146,0.98555,0.71951
147,0.98875,0.65831
148,0.98153,0.70405
149,0.99081,0.70248
