res_expno,res_lbl_score,res_tst_score
0,0.74179,0.72118
1,0.69421,0.76273
2,0.69507,0.72704
3,0.71849,0.75769
4,0.72461,0.74074
5,0.73125,0.68136
6,0.78066,0.69497
7,0.71328,0.76794
8,0.70582,0.71507
9,0.71788,0.75123
10,0.70068,0.71876
11,0.732,0.72285
12,0.69777,0.71881
13,0.71866,0.69472
14,0.7308,0.77355
15,0.72433,0.73146
16,0.72962,0.7435
17,0.70424,0.72979
18,0.65348,0.75774
19,0.72357,0.69572
20,0.71411,0.70203
21,0.69271,0.74642
22,0.7131,0.7338
23,0.73678,0.6954
24,0.72085,0.71525
25,0.66307,0.73251
26,0.69388,0.76794
27,0.72644,0.7338
28,0.72185,0.73832
29,0.67501,0.77066
30,0.67081,0.79203
31,0.73367,0.72495
32,0.73671,0.69956
33,0.70558,0.73794
34,0.68144,0.74704
35,0.73285,0.7138
36,0.71833,0.68415
37,0.73719,0.71201
38,0.72111,0.7264
39,0.74277,0.69562
40,0.73638,0.72014
41,0.71162,0.72181
42,0.68091,0.71552
43,0.73996,0.67465
44,0.71619,0.73378
45,0.70417,0.74981
46,0.66784,0.76236
47,0.7482,0.68358
48,0.66587,0.75054
49,0.70198,0.73764
50,0.68347,0.74527
51,0.69032,0.77208
52,0.66716,0.74133
53,0.68745,0.74647
54,0.69983,0.77757
55,0.6922,0.71398
56,0.67351,0.7162
57,0.68424,0.78455
58,0.73301,0.68836
59,0.69202,0.77121
60,0.66498,0.76697
61,0.76113,0.69929
62,0.71735,0.77134
63,0.70985,0.75064
64,0.68327,0.76665
65,0.71152,0.66485
66,0.71606,0.70871
67,0.71597,0.77388
68,0.71594,0.72255
69,0.72067,0.73752
70,0.70873,0.71684
71,0.80592,0.72308
72,0.69759,0.75223
73,0.66488,0.73954
74,0.71648,0.72779
75,0.70414,0.68996
76,0.70447,0.75298
77,0.74066,0.73984
78,0.7291,0.73016
79,0.6817,0.7739
80,0.71947,0.69051
81,0.71451,0.76168
82,0.6938,0.75954
83,0.70663,0.7456
84,0.69965,0.76879
85,0.75566,0.76834
86,0.75327,0.72285
87,0.76027,0.71802
88,0.72501,0.72156
89,0.72653,0.75852
90,0.74489,0.73251
91,0.71079,0.7454
92,0.7274,0.72767
93,0.69495,0.73507
94,0.71831,0.73612
95,0.70253,0.72236
96,0.72223,0.70455
97,0.69504,0.71694
98,0.71739,0.70315
99,0.76265,0.72772
100,0.71432,0.7049
101,0.73858,0.69674
102,0.70998,0.72719
103,0.75335,0.70697
104,0.74416,0.7144
105,0.7337,0.76717
106,0.68436,0.7736
107,0.72716,0.75084
108,0.72684,0.74906
109,0.6939,0.72487
110,0.70387,0.72617
111,0.70268,0.74685
112,0.69581,0.72241
113,0.74588,0.72171
114,0.72274,0.72535
115,0.72442,0.73562
116,0.71713,0.75171
117,0.68848,0.71841
118,0.70262,0.70013
119,0.70576,0.7339
120,0.69686,0.77158
121,0.69578,0.75964
122,0.6877,0.74378
123,0.729,0.74492
124,0.6838,0.74914
125,0.68253,0.73363
126,0.69536,0.75445
127,0.68212,0.79346
128,0.70557,0.7435
129,0.64829,0.75196
130,0.72567,0.75902
131,0.71105,0.72071
132,0.73974,0.70315
133,0.7104,0.7248
134,0.72383,0.71308
135,0.72576,0.72238
136,0.69178,0.75779
137,0.7256,0.74595
138,0.7107,0.74218
139,0.71208,0.71976
140,0.70379,0.75051
141,0.65865,0.79662
142,0.70654,0.71076
143,0.74319,0.75839
144,0.68389,0.75288
145,0.74657,0.70003
146,0.69014,0.78116
147,0.69133,0.72081
148,0.7418,0.7455
149,0.64294,0.78934
