res_expno,res_lbl_score,res_tst_score
0,0.77997,0.70809
1,0.80055,0.71931
2,0.76111,0.71597
3,0.78849,0.7458
4,0.73573,0.7353
5,0.77269,0.67542
6,0.82348,0.69934
7,0.76862,0.78563
8,0.77037,0.7054
9,0.78911,0.74074
10,0.7545,0.7338
11,0.78459,0.71804
12,0.78657,0.7027
13,0.74316,0.673
14,0.75039,0.77755
15,0.76905,0.74151
16,0.77624,0.74081
17,0.77225,0.72625
18,0.7002,0.73597
19,0.79131,0.69502
20,0.72763,0.69507
21,0.74242,0.74286
22,0.75671,0.72635
23,0.78258,0.68452
24,0.80598,0.73415
25,0.70989,0.73098
26,0.77705,0.74216
27,0.77642,0.7159
28,0.74441,0.75143
29,0.69741,0.77538
30,0.76885,0.79588
31,0.7697,0.71851
32,0.80048,0.695
33,0.77015,0.74153
34,0.7759,0.73587
35,0.76611,0.72921
36,0.79127,0.68824
37,0.78368,0.69836
38,0.76778,0.75602
39,0.78762,0.70308
40,0.77736,0.73572
41,0.77352,0.7263
42,0.74698,0.71415
43,0.80654,0.66931
44,0.78799,0.73934
45,0.78072,0.76814
46,0.69945,0.76089
47,0.80702,0.70325
48,0.74028,0.74872
49,0.76136,0.74196
50,0.74198,0.76956
51,0.79444,0.7465
52,0.72502,0.74622
53,0.74566,0.74328
54,0.74685,0.76627
55,0.74139,0.71046
56,0.76496,0.67996
57,0.77017,0.72053
58,0.81788,0.66824
59,0.78318,0.74984
60,0.74623,0.73782
61,0.79231,0.7048
62,0.76456,0.77054
63,0.7847,0.74046
64,0.75651,0.76587
65,0.76569,0.69156
66,0.77167,0.73233
67,0.79286,0.76021
68,0.78111,0.72046
69,0.78269,0.72941
70,0.7792,0.70909
71,0.81512,0.72986
72,0.74075,0.75029
73,0.76942,0.75024
74,0.78755,0.72627
75,0.77325,0.70949
76,0.75678,0.73989
77,0.77915,0.75747
78,0.75217,0.74894
79,0.73475,0.77602
80,0.80986,0.69647
81,0.75275,0.77251
82,0.72932,0.75415
83,0.78737,0.71532
84,0.76395,0.76069
85,0.807,0.77173
86,0.79451,0.72719
87,0.78061,0.74273
88,0.74205,0.734
89,0.78439,0.75298
90,0.80003,0.75505
91,0.77147,0.7455
92,0.78264,0.73867
93,0.77919,0.70949
94,0.78629,0.74236
95,0.80412,0.71999
96,0.79355,0.73308
97,0.75059,0.71211
98,0.78709,0.7033
99,0.80199,0.7338
100,0.75403,0.69148
101,0.80874,0.7052
102,0.76786,0.73193
103,0.8095,0.69682
104,0.76337,0.73268
105,0.75746,0.7767
106,0.73779,0.75991
107,0.79109,0.73667
108,0.78001,0.74081
109,0.73884,0.72303
110,0.78046,0.72415
111,0.77483,0.7362
112,0.7617,0.72794
113,0.77346,0.72709
114,0.77821,0.72131
115,0.7732,0.73004
116,0.78352,0.7333
117,0.77956,0.71871
118,0.80698,0.69452
119,0.75557,0.74281
120,0.7407,0.78021
121,0.76877,0.7467
122,0.80219,0.73547
123,0.78125,0.74767
124,0.7137,0.76116
125,0.73834,0.73532
126,0.78609,0.72592
127,0.77051,0.75817
128,0.77373,0.70749
129,0.72488,0.7361
130,0.77688,0.7673
131,0.76826,0.7261
132,0.84136,0.68338
133,0.75864,0.72779
134,0.76509,0.71919
135,0.78264,0.71719
136,0.76999,0.76587
137,0.82427,0.73161
138,0.75501,0.76672
139,0.75925,0.72839
140,0.79354,0.75338
141,0.71855,0.79742
142,0.78126,0.7152
143,0.79146,0.72936
144,0.77846,0.71869
145,0.79022,0.69585
146,0.73694,0.78111
147,0.79691,0.70704
148,0.78547,0.75094
149,0.76333,0.73059
