res_expno,res_lbl_score,res_tst_score
0,0.99383,0.65809
1,0.99022,0.73218
2,0.99283,0.67278
3,0.99179,0.7033
4,0.98123,0.72143
5,0.9895,0.67263
6,0.9859,0.69203
7,0.98791,0.76395
8,0.99183,0.69442
9,0.98948,0.73348
10,0.98683,0.69804
11,0.98083,0.69258
12,0.99383,0.66046
13,0.98898,0.65048
14,0.99188,0.70607
15,0.99214,0.72834
16,0.98344,0.74872
17,0.99321,0.71378
18,0.9858,0.70118
19,0.99017,0.66739
20,0.9889,0.64597
21,0.98588,0.69542
22,0.98823,0.71697
23,0.99202,0.66564
24,0.99066,0.69644
25,0.97834,0.66245
26,0.99084,0.70547
27,0.99316,0.67223
28,0.99261,0.69747
29,0.98517,0.73176
30,0.98752,0.75485
31,0.98377,0.70235
32,0.99376,0.68507
33,0.9882,0.74103
34,0.98082,0.71597
35,0.98228,0.72063
36,0.99025,0.66495
37,0.9926,0.69944
38,0.97745,0.746
39,0.97523,0.70031
40,0.97941,0.69467
41,0.98761,0.6747
42,0.9864,0.70792
43,0.98926,0.65365
44,0.98905,0.72657
45,0.99218,0.71557
46,0.99093,0.77034
47,0.99284,0.70036
48,0.98689,0.70816
49,0.99209,0.71817
50,0.9924,0.71221
51,0.98447,0.71941
52,0.9915,0.714
53,0.99387,0.713
54,0.9925,0.71849
55,0.98645,0.6927
56,0.99325,0.66642
57,0.98592,0.72156
58,0.98993,0.66699
59,0.99074,0.72188
60,0.97609,0.6926
61,0.99244,0.70904
62,0.98653,0.73196
63,0.9833,0.70557
64,0.98999,0.74794
65,0.98406,0.66387
66,0.98724,0.67265
67,0.99213,0.74507
68,0.98603,0.68881
69,0.97451,0.71295
70,0.98661,0.69173
71,0.99189,0.70171
72,0.98399,0.75697
73,0.98485,0.71295
74,0.98926,0.70742
75,0.98608,0.7126
76,0.99314,0.70879
77,0.98723,0.71221
78,0.98836,0.70612
79,0.98018,0.75378
80,0.98851,0.67218
81,0.98974,0.7448
82,0.99379,0.69677
83,0.99107,0.73261
84,0.98935,0.73727
85,0.9771,0.72944
86,0.9863,0.74378
87,0.98246,0.69649
88,0.97978,0.72896
89,0.99248,0.71794
90,0.99266,0.70455
91,0.99156,0.74814
92,0.9849,0.70944
93,0.98908,0.64158
94,0.993,0.72921
95,0.99319,0.70874
96,0.99013,0.69265
97,0.99021,0.69629
98,0.99285,0.67243
99,0.99202,0.71919
100,0.98981,0.68485
101,0.9905,0.69288
102,0.99331,0.73146
103,0.99375,0.69517
104,0.98962,0.71565
105,0.99106,0.72428
106,0.9929,0.73066
107,0.99022,0.72001
108,0.99168,0.7059
109,0.97662,0.69774
110,0.98619,0.716
111,0.99381,0.71587
112,0.98656,0.71171
113,0.99113,0.68687
114,0.99021,0.7242
115,0.99238,0.72103
116,0.98171,0.71106
117,0.989,0.70739
118,0.98901,0.70315
119,0.98746,0.65664
120,0.98767,0.73819
121,0.98028,0.71944
122,0.99387,0.68649
123,0.99387,0.72719
124,0.99387,0.71403
125,0.9909,0.71667
126,0.98868,0.69245
127,0.98566,0.73607
128,0.9896,0.71585
129,0.98434,0.70118
130,0.97562,0.7434
131,0.99116,0.67916
132,0.98989,0.71572
133,0.98755,0.71647
134,0.98365,0.67365
135,0.98134,0.70667
136,0.99381,0.7354
137,0.99165,0.7135
138,0.98391,0.7132
139,0.99252,0.66016
140,0.99347,0.74899
141,0.98538,0.72939
142,0.99281,0.69787
143,0.99224,0.73487
144,0.99015,0.69737
145,0.99123,0.66864
146,0.98809,0.71325
147,0.99171,0.67293
148,0.98962,0.71385
149,0.99113,0.69562
