res_expno,res_lbl_score,res_tst_score
0,0.77544,0.71774
1,0.79664,0.71702
2,0.75814,0.71223
3,0.80139,0.7462
4,0.74736,0.7355
5,0.78961,0.68594
6,0.82466,0.69811
7,0.76664,0.78907
8,0.8056,0.69642
9,0.77796,0.74842
10,0.76447,0.72896
11,0.80421,0.72141
12,0.78505,0.70205
13,0.78126,0.67215
14,0.74895,0.76927
15,0.76017,0.74248
16,0.7777,0.73547
17,0.76872,0.72166
18,0.73367,0.72692
19,0.80619,0.68911
20,0.77517,0.69243
21,0.73858,0.73817
22,0.75479,0.72625
23,0.78621,0.68889
24,0.80724,0.73325
25,0.74368,0.72724
26,0.78213,0.74148
27,0.78558,0.7126
28,0.73954,0.75153
29,0.74337,0.75485
30,0.75739,0.81311
31,0.76525,0.72213
32,0.7722,0.69397
33,0.75145,0.73565
34,0.77936,0.72298
35,0.77282,0.72911
36,0.8014,0.67934
37,0.77482,0.69512
38,0.73167,0.72874
39,0.79089,0.71071
40,0.78229,0.72954
41,0.77823,0.71899
42,0.7692,0.71889
43,0.80581,0.66936
44,0.7935,0.73729
45,0.76625,0.75747
46,0.74966,0.76041
47,0.78068,0.69831
48,0.7172,0.76829
49,0.78163,0.74734
50,0.74258,0.76171
51,0.78324,0.746
52,0.74008,0.73485
53,0.77682,0.74121
54,0.75462,0.76732
55,0.75216,0.6958
56,0.7976,0.66844
57,0.76762,0.71929
58,0.82164,0.66497
59,0.77709,0.74335
60,0.77023,0.7546
61,0.83596,0.70719
62,0.74726,0.77622
63,0.7751,0.74059
64,0.74147,0.76951
65,0.75414,0.6934
66,0.79389,0.69874
67,0.79774,0.75734
68,0.76732,0.71557
69,0.74972,0.724
70,0.76798,0.7136
71,0.81919,0.72575
72,0.77118,0.77318
73,0.80504,0.75672
74,0.79275,0.72767
75,0.76974,0.70644
76,0.75066,0.73712
77,0.79778,0.75537
78,0.75281,0.75074
79,0.73117,0.7771
80,0.81017,0.70191
81,0.73566,0.76632
82,0.70902,0.76438
83,0.80229,0.70812
84,0.78968,0.76912
85,0.78357,0.7751
86,0.81387,0.72146
87,0.78806,0.74268
88,0.73797,0.7344
89,0.82141,0.75418
90,0.81473,0.7538
91,0.78637,0.74378
92,0.77355,0.74186
93,0.77856,0.71732
94,0.79049,0.74378
95,0.79085,0.72181
96,0.8135,0.7239
97,0.79656,0.71161
98,0.78038,0.70136
99,0.79413,0.72757
100,0.7444,0.69796
101,0.80791,0.69093
102,0.76985,0.74093
103,0.79996,0.69522
104,0.77435,0.73036
105,0.78045,0.77061
106,0.75031,0.75428
107,0.80034,0.73877
108,0.77779,0.74113
109,0.72938,0.72891
110,0.76261,0.72021
111,0.76749,0.74989
112,0.78223,0.7147
113,0.78991,0.72168
114,0.78872,0.72076
115,0.81607,0.73752
116,0.7664,0.73694
117,0.78827,0.71368
118,0.82401,0.6934
119,0.76946,0.73692
120,0.73489,0.77463
121,0.73919,0.75278
122,0.81393,0.73083
123,0.76353,0.75325
124,0.73805,0.75099
125,0.77177,0.73201
126,0.79372,0.7232
127,0.76616,0.75161
128,0.77566,0.70814
129,0.71951,0.7466
130,0.7709,0.77191
131,0.75905,0.73742
132,0.82934,0.6825
133,0.78107,0.73497
134,0.78922,0.71717
135,0.75874,0.71839
136,0.74521,0.77086
137,0.8012,0.72662
138,0.77759,0.77124
139,0.77245,0.73665
140,0.80099,0.75842
141,0.712,0.79099
142,0.7799,0.71979
143,0.79654,0.73435
144,0.79325,0.71233
145,0.78059,0.694
146,0.72601,0.78159
147,0.79842,0.70597
148,0.79235,0.74991
149,0.76447,0.73687
