res_expno,res_lbl_score,res_tst_score
0,0.92676,0.81941
1,0.94413,0.80285
2,0.94401,0.8348
3,0.93329,0.78127
4,0.92567,0.82143
5,0.92425,0.84761
6,0.9324,0.84188
7,0.94367,0.81791
8,0.94045,0.78143
9,0.94369,0.78185
10,0.91196,0.79607
11,0.92454,0.80187
12,0.94431,0.83584
13,0.945,0.81589
14,0.911,0.85365
15,0.95428,0.7873
16,0.94879,0.81136
17,0.9099,0.80298
18,0.95734,0.81175
19,0.94819,0.78567
20,0.90342,0.86649
21,0.9374,0.79463
22,0.93506,0.78449
23,0.92646,0.83803
24,0.91055,0.76611
25,0.94884,0.80308
26,0.90692,0.76219
27,0.91739,0.83998
28,0.92971,0.80575
29,0.93847,0.79767
30,0.95925,0.82235
31,0.93372,0.81794
32,0.91477,0.83164
33,0.9486,0.83255
34,0.95759,0.82626
35,0.92604,0.85231
36,0.90246,0.80053
37,0.92928,0.82538
38,0.947,0.77579
39,0.92127,0.80683
40,0.92661,0.84892
41,0.9095,0.86317
42,0.92924,0.82675
43,0.92269,0.8617
44,0.93762,0.80507
45,0.93893,0.8423
46,0.9575,0.77885
47,0.91906,0.762
48,0.91272,0.81472
49,0.91861,0.82854
50,0.93164,0.80507
51,0.90491,0.7799
52,0.93603,0.78893
53,0.96049,0.83679
54,0.95092,0.81468
55,0.93641,0.79349
56,0.94233,0.82411
57,0.9304,0.83604
58,0.92449,0.83972
59,0.95345,0.81289
60,0.92621,0.88097
61,0.92971,0.80917
62,0.92125,0.79809
63,0.92488,0.80934
64,0.93033,0.82473
65,0.93793,0.80953
66,0.9355,0.80379
67,0.92841,0.8244
68,0.92347,0.81182
69,0.90779,0.80777
70,0.9184,0.84725
71,0.93764,0.82685
72,0.93002,0.84553
73,0.90692,0.84735
74,0.90648,0.826
75,0.93356,0.8141
76,0.95039,0.79359
77,0.93171,0.81922
78,0.94014,0.81869
79,0.95511,0.81912
80,0.94489,0.7635
81,0.91236,0.83434
82,0.91991,0.79274
83,0.91306,0.86682
84,0.9439,0.8139
85,0.90995,0.80314
86,0.93526,0.83936
87,0.92209,0.81566
88,0.90575,0.87154
89,0.93259,0.79545
90,0.93859,0.82003
91,0.93439,0.80451
92,0.90208,0.83826
93,0.92131,0.82182
94,0.89736,0.86248
95,0.93982,0.78156
96,0.9394,0.77096
97,0.95252,0.81087
98,0.94791,0.81951
99,0.94269,0.76399
100,0.90338,0.83033
101,0.90722,0.84468
102,0.95034,0.84908
103,0.93099,0.83496
104,0.91409,0.81589
105,0.93855,0.82799
106,0.94167,0.82717
107,0.94547,0.82257
108,0.90422,0.78883
109,0.97261,0.79053
110,0.95183,0.7708
111,0.94459,0.78788
112,0.94485,0.77266
113,0.92754,0.74641
114,0.91635,0.83578
115,0.92584,0.83056
116,0.9443,0.85087
117,0.92723,0.83562
118,0.94849,0.82414
119,0.92473,0.83936
120,0.94122,0.81586
121,0.92149,0.81612
122,0.90674,0.83764
123,0.9243,0.78746
124,0.91401,0.79264
125,0.90708,0.9005
126,0.92066,0.84579
127,0.95708,0.77165
128,0.96388,0.78564
129,0.92555,0.80598
130,0.91666,0.80914
131,0.90886,0.80451
132,0.92023,0.80611
133,0.92404,0.83174
134,0.95049,0.82515
135,0.91123,0.85648
136,0.93657,0.81335
137,0.91944,0.85218
138,0.93732,0.82316
139,0.91861,0.79115
140,0.95489,0.84442
141,0.92136,0.84054
142,0.89625,0.79121
143,0.95106,0.75919
144,0.90515,0.81602
145,0.92961,0.85133
146,0.9379,0.80839
147,0.93971,0.80637
148,0.92966,0.83917
149,0.95206,0.81765
