res_expno,res_lbl_score,res_tst_score
0,0.93584,0.88117
1,0.9705,0.83768
2,0.9465,0.88044
3,0.94161,0.91015
4,0.96662,0.83527
5,0.9601,0.86056
6,0.94867,0.8372
7,0.96219,0.85308
8,0.93958,0.8829
9,0.95945,0.85691
10,0.95664,0.85297
11,0.97294,0.80056
12,0.95529,0.87514
13,0.9618,0.83055
14,0.96343,0.85099
15,0.96703,0.83533
16,0.95846,0.86881
17,0.94592,0.84573
18,0.94792,0.88701
19,0.96889,0.88003
20,0.97104,0.80943
21,0.96178,0.867
22,0.95186,0.84866
23,0.95013,0.86284
24,0.96013,0.87029
25,0.96671,0.86064
26,0.95655,0.85144
27,0.96085,0.85728
28,0.92116,0.86644
29,0.94742,0.85562
30,0.97315,0.84246
31,0.95539,0.86308
32,0.96798,0.84991
33,0.94742,0.88246
34,0.96034,0.8564
35,0.95646,0.85961
36,0.96438,0.86586
37,0.95018,0.85237
38,0.94679,0.85099
39,0.9465,0.87044
40,0.96514,0.857
41,0.96213,0.83201
42,0.97116,0.86543
43,0.94158,0.89578
44,0.95619,0.85101
45,0.965,0.85972
46,0.95221,0.86781
47,0.94611,0.853
48,0.94419,0.86383
49,0.95695,0.8868
50,0.93686,0.89509
51,0.96618,0.84841
52,0.9331,0.88779
53,0.96182,0.85159
54,0.96609,0.84324
55,0.97343,0.84672
56,0.9522,0.84767
57,0.97543,0.83337
58,0.95292,0.87686
59,0.97724,0.82217
60,0.94671,0.88427
61,0.9793,0.81428
62,0.93725,0.86603
63,0.96124,0.82546
64,0.95332,0.86109
65,0.96025,0.84675
66,0.9614,0.84141
67,0.96491,0.84293
68,0.95195,0.89866
69,0.97195,0.86493
70,0.96597,0.85892
71,0.94722,0.84922
72,0.94084,0.86073
73,0.94694,0.88567
74,0.95503,0.86616
75,0.92852,0.88227
76,0.93965,0.87128
77,0.9565,0.88981
78,0.94355,0.89285
79,0.96486,0.85347
80,0.94541,0.90452
81,0.94985,0.83177
82,0.93757,0.8773
83,0.95739,0.84918
84,0.95521,0.85271
85,0.93967,0.86144
86,0.95469,0.85698
87,0.96983,0.84181
88,0.95081,0.881
89,0.94524,0.86898
90,0.93226,0.85707
91,0.95924,0.87262
92,0.96341,0.83223
93,0.93234,0.89545
94,0.94834,0.86015
95,0.97134,0.86809
96,0.9586,0.86377
97,0.96136,0.83415
98,0.97534,0.84287
99,0.94232,0.82953
100,0.96189,0.87245
101,0.96906,0.82355
102,0.9194,0.90427
103,0.95837,0.85911
104,0.95725,0.84026
105,0.95088,0.84895
106,0.95704,0.87619
107,0.97634,0.81766
108,0.97683,0.82292
109,0.95002,0.88076
110,0.95616,0.85091
111,0.97802,0.84272
112,0.93721,0.86947
113,0.95589,0.85349
114,0.94603,0.85552
115,0.94999,0.87255
116,0.96595,0.84847
117,0.96204,0.87111
118,0.94713,0.84739
119,0.96168,0.88089
120,0.95869,0.83645
121,0.94784,0.85808
122,0.95302,0.8573
123,0.95068,0.86853
124,0.95182,0.81342
125,0.96836,0.85569
126,0.93261,0.86928
127,0.96735,0.86652
128,0.96253,0.88387
129,0.95809,0.85209
130,0.92369,0.90651
131,0.94923,0.83447
132,0.97274,0.83779
133,0.95131,0.86137
134,0.95335,0.88294
135,0.94584,0.88044
136,0.94571,0.88048
137,0.94862,0.87994
138,0.95103,0.8456
139,0.95557,0.88522
140,0.948,0.86245
141,0.94839,0.84324
142,0.95727,0.88944
143,0.9593,0.85765
144,0.96993,0.88623
145,0.93625,0.86648
146,0.95914,0.85226
147,0.9673,0.85584
148,0.97692,0.79127
149,0.95906,0.88908
