res_expno,res_lbl_score,res_tst_score
0,0.95304,0.90801
1,0.94558,0.93063
2,0.93687,0.88699
3,0.96262,0.9592
4,0.96793,0.93354
5,0.94664,0.8685
6,0.94232,0.90243
7,0.96222,0.90457
8,0.9467,0.94323
9,0.95004,0.88946
10,0.9683,0.90235
11,0.96982,0.9025
12,0.96599,0.91637
13,0.94824,0.90577
14,0.94999,0.92811
15,0.95596,0.89879
16,0.9513,0.92661
17,0.95362,0.92102
18,0.96104,0.90015
19,0.95833,0.89543
20,0.9564,0.91698
21,0.94902,0.92829
22,0.95887,0.89759
23,0.94093,0.92536
24,0.95268,0.92712
25,0.95415,0.91745
26,0.96591,0.92766
27,0.95774,0.91988
28,0.92954,0.95351
29,0.94535,0.91762
30,0.97412,0.92786
31,0.95156,0.93751
32,0.96029,0.89871
33,0.96844,0.94302
34,0.9619,0.88565
35,0.94072,0.92245
36,0.96963,0.92352
37,0.94381,0.92424
38,0.94462,0.94015
39,0.96955,0.92503
40,0.95614,0.91853
41,0.9498,0.88548
42,0.96408,0.86277
43,0.94732,0.91611
44,0.96411,0.91368
45,0.96109,0.92796
46,0.94569,0.92413
47,0.95683,0.93184
48,0.95075,0.94132
49,0.95862,0.92917
50,0.92893,0.93212
51,0.95679,0.91795
52,0.9487,0.92171
53,0.96262,0.89993
54,0.95666,0.93464
55,0.96756,0.95452
56,0.94995,0.89069
57,0.97792,0.89993
58,0.96752,0.92372
59,0.98232,0.90235
60,0.95127,0.94655
61,0.97886,0.91766
62,0.95909,0.93492
63,0.96826,0.87131
64,0.93948,0.95177
65,0.95326,0.9084
66,0.96573,0.90595
67,0.96545,0.89567
68,0.95201,0.93921
69,0.97348,0.90384
70,0.96682,0.91038
71,0.94173,0.94504
72,0.9445,0.9213
73,0.93354,0.93751
74,0.96556,0.91054
75,0.97736,0.90651
76,0.94024,0.92501
77,0.97105,0.91557
78,0.9437,0.91975
79,0.96149,0.89255
80,0.9616,0.95306
81,0.96695,0.92294
82,0.92772,0.94218
83,0.96581,0.91069
84,0.94892,0.931
85,0.94596,0.92844
86,0.94952,0.90674
87,0.96902,0.91997
88,0.95468,0.90287
89,0.95295,0.94145
90,0.944,0.89091
91,0.95116,0.9089
92,0.94057,0.92564
93,0.939,0.95771
94,0.95101,0.90564
95,0.97102,0.85763
96,0.96878,0.92266
97,0.94936,0.92678
98,0.97283,0.91872
99,0.94962,0.89806
100,0.95981,0.91476
101,0.96744,0.92137
102,0.95837,0.92779
103,0.96054,0.9125
104,0.92721,0.9006
105,0.9522,0.91377
106,0.9499,0.92096
107,0.97827,0.87613
108,0.96798,0.89705
109,0.95924,0.92044
110,0.95164,0.91456
111,0.95988,0.89545
112,0.95861,0.91767
113,0.94817,0.93716
114,0.95705,0.92566
115,0.95229,0.93518
116,0.96438,0.89847
117,0.96033,0.90007
118,0.95248,0.91043
119,0.96096,0.93766
120,0.9463,0.89993
121,0.95675,0.90929
122,0.95001,0.92214
123,0.94568,0.93191
124,0.95184,0.90476
125,0.9733,0.91178
126,0.95388,0.93848
127,0.96193,0.92171
128,0.95381,0.87951
129,0.94199,0.89742
130,0.95676,0.938
131,0.95057,0.90332
132,0.95238,0.85384
133,0.95562,0.9307
134,0.93487,0.93371
135,0.93608,0.9397
136,0.94969,0.91991
137,0.96037,0.89866
138,0.94255,0.89937
139,0.94434,0.91127
140,0.96687,0.84905
141,0.96611,0.91284
142,0.95563,0.94089
143,0.95262,0.9129
144,0.95704,0.92355
145,0.9337,0.94462
146,0.94684,0.92152
147,0.96593,0.9156
148,0.975,0.8883
149,0.95479,0.93126
