res_expno,res_lbl_score,res_tst_score
0,0.99474,0.90349
1,0.99474,0.89632
2,0.99474,0.88914
3,0.99474,0.84784
4,0.99474,0.87115
5,0.99474,0.87667
6,0.99474,0.91058
7,0.99474,0.8952
8,0.99471,0.94138
9,0.99474,0.90216
10,0.99474,0.89843
11,0.99474,0.89487
12,0.99474,0.88669
13,0.99474,0.91629
14,0.99474,0.91848
15,0.99474,0.90676
16,0.99474,0.89767
17,0.99471,0.88387
18,0.99474,0.88384
19,0.9947,0.87518
20,0.99474,0.89097
21,0.99474,0.92178
22,0.99474,0.90788
23,0.99474,0.92019
24,0.99474,0.91211
25,0.99474,0.91767
26,0.99474,0.92439
27,0.99474,0.9039
28,0.99474,0.92572
29,0.99471,0.92555
30,0.99474,0.88513
31,0.99474,0.94104
32,0.99474,0.8813
33,0.99474,0.89798
34,0.99474,0.89588
35,0.99474,0.90474
36,0.99474,0.89724
37,0.9947,0.92693
38,0.99474,0.90062
39,0.99474,0.9131
40,0.9947,0.90845
41,0.99474,0.87925
42,0.99474,0.84375
43,0.99474,0.91096
44,0.99471,0.90463
45,0.99474,0.90586
46,0.99469,0.91452
47,0.99474,0.91799
48,0.99469,0.91331
49,0.99474,0.92663
50,0.99474,0.93068
51,0.99474,0.90763
52,0.99474,0.90836
53,0.99474,0.84826
54,0.99471,0.92174
55,0.99474,0.86846
56,0.99474,0.90653
57,0.99474,0.88121
58,0.99474,0.9098
59,0.99468,0.88822
60,0.99474,0.93283
61,0.99474,0.91497
62,0.99474,0.89711
63,0.99474,0.86008
64,0.99474,0.92116
65,0.99474,0.89839
66,0.99474,0.85052
67,0.99468,0.88266
68,0.99474,0.9101
69,0.99474,0.88135
70,0.99474,0.90834
71,0.99474,0.92228
72,0.99474,0.91915
73,0.99474,0.89449
74,0.99474,0.90144
75,0.99474,0.89537
76,0.99474,0.89802
77,0.99469,0.89317
78,0.99471,0.91715
79,0.99474,0.88624
80,0.99474,0.89227
81,0.99469,0.88692
82,0.99474,0.91622
83,0.99468,0.90454
84,0.9947,0.90383
85,0.99474,0.92174
86,0.99474,0.90982
87,0.99471,0.87484
88,0.99474,0.91297
89,0.99474,0.90719
90,0.99468,0.8706
91,0.99474,0.91211
92,0.99474,0.9106
93,0.99474,0.92432
94,0.99474,0.9009
95,0.99474,0.87159
96,0.99474,0.88415
97,0.99474,0.88725
98,0.99474,0.90905
99,0.9947,0.89797
100,0.99474,0.888
101,0.99474,0.89056
102,0.99474,0.91601
103,0.99474,0.87187
104,0.99474,0.89784
105,0.99474,0.90431
106,0.99474,0.91676
107,0.99471,0.86525
108,0.99474,0.87574
109,0.99471,0.92156
110,0.99474,0.88677
111,0.99474,0.89255
112,0.99474,0.89179
113,0.99474,0.92128
114,0.99472,0.92531
115,0.99474,0.91404
116,0.99469,0.87242
117,0.99474,0.89472
118,0.99471,0.89976
119,0.99474,0.93216
120,0.99474,0.89278
121,0.9947,0.89897
122,0.99474,0.91605
123,0.99474,0.93113
124,0.99474,0.89567
125,0.99474,0.85789
126,0.99474,0.92598
127,0.99474,0.91056
128,0.99474,0.89397
129,0.99474,0.89326
130,0.99474,0.92561
131,0.99474,0.90179
132,0.99474,0.83468
133,0.99474,0.89246
134,0.99474,0.92225
135,0.99471,0.91704
136,0.99474,0.92372
137,0.99474,0.87878
138,0.99474,0.89991
139,0.99474,0.89752
140,0.99474,0.87344
141,0.99474,0.88419
142,0.99474,0.89388
143,0.99474,0.91034
144,0.99474,0.90317
145,0.99474,0.89752
146,0.99471,0.89675
147,0.99474,0.8671
148,0.99474,0.86501
149,0.99474,0.89774
