res_expno,res_lbl_score,res_tst_score
0,0.99474,0.93378
1,0.99474,0.91633
2,0.99474,0.90896
3,0.99474,0.91788
4,0.99474,0.89595
5,0.99474,0.9059
6,0.99474,0.9114
7,0.99474,0.8927
8,0.99471,0.93645
9,0.99474,0.907
10,0.99474,0.90289
11,0.99474,0.89991
12,0.99474,0.91094
13,0.99471,0.92691
14,0.99474,0.92703
15,0.99474,0.9072
16,0.99474,0.9084
17,0.99474,0.89744
18,0.99474,0.91135
19,0.99474,0.8924
20,0.99471,0.90586
21,0.99474,0.92359
22,0.99474,0.91863
23,0.99474,0.9165
24,0.99474,0.92577
25,0.99474,0.92279
26,0.99474,0.92732
27,0.99474,0.90427
28,0.99474,0.93772
29,0.99471,0.9265
30,0.99474,0.91131
31,0.99471,0.94989
32,0.99474,0.89882
33,0.99474,0.91577
34,0.99474,0.89929
35,0.99474,0.92411
36,0.99474,0.91243
37,0.99474,0.93535
38,0.99474,0.93178
39,0.99474,0.92223
40,0.99474,0.91726
41,0.99474,0.89263
42,0.99474,0.89931
43,0.99474,0.9229
44,0.99474,0.90097
45,0.99474,0.91096
46,0.99469,0.92505
47,0.99474,0.92214
48,0.99474,0.92854
49,0.99474,0.92925
50,0.99474,0.9399
51,0.99474,0.91458
52,0.99474,0.91312
53,0.99474,0.89518
54,0.99471,0.92322
55,0.99474,0.90485
56,0.99474,0.91904
57,0.99474,0.89378
58,0.99474,0.91185
59,0.99474,0.88832
60,0.99474,0.94324
61,0.99474,0.91995
62,0.99474,0.91305
63,0.99474,0.88335
64,0.99474,0.92357
65,0.99474,0.91262
66,0.99474,0.87533
67,0.99474,0.89313
68,0.99474,0.91935
69,0.99474,0.90293
70,0.99474,0.92762
71,0.99474,0.91383
72,0.99474,0.92857
73,0.99474,0.92316
74,0.99474,0.90705
75,0.99474,0.89875
76,0.99474,0.90713
77,0.99474,0.90903
78,0.99474,0.91627
79,0.99474,0.89438
80,0.99474,0.92208
81,0.99474,0.92186
82,0.99474,0.93862
83,0.99474,0.9103
84,0.99474,0.9198
85,0.99474,0.92288
86,0.99474,0.9184
87,0.99474,0.89272
88,0.99474,0.92212
89,0.99474,0.94194
90,0.99471,0.88141
91,0.99474,0.93802
92,0.99471,0.92238
93,0.99474,0.92665
94,0.99474,0.92085
95,0.99474,0.90276
96,0.99474,0.90709
97,0.99474,0.90086
98,0.99474,0.92264
99,0.99474,0.89295
100,0.99474,0.90676
101,0.99474,0.89194
102,0.99474,0.92432
103,0.99474,0.91254
104,0.99474,0.91471
105,0.99474,0.90784
106,0.99474,0.91898
107,0.99474,0.86822
108,0.99474,0.88078
109,0.99474,0.92232
110,0.99474,0.90071
111,0.99474,0.89649
112,0.99474,0.90549
113,0.99474,0.93059
114,0.99472,0.93371
115,0.99474,0.92365
116,0.99474,0.8861
117,0.99474,0.91392
118,0.99474,0.90887
119,0.99474,0.94052
120,0.99474,0.89853
121,0.99474,0.93518
122,0.99474,0.91461
123,0.99474,0.93188
124,0.99474,0.91809
125,0.99474,0.88578
126,0.99474,0.9277
127,0.99474,0.9265
128,0.99474,0.89828
129,0.99474,0.91448
130,0.99474,0.94205
131,0.99474,0.89733
132,0.99474,0.89209
133,0.99474,0.91357
134,0.99474,0.92768
135,0.99474,0.92626
136,0.99474,0.9165
137,0.99474,0.89412
138,0.99474,0.91781
139,0.99474,0.92745
140,0.99474,0.89104
141,0.99474,0.90159
142,0.99471,0.90493
143,0.99474,0.92262
144,0.99474,0.9213
145,0.99474,0.90939
146,0.99474,0.94393
147,0.99474,0.89696
148,0.99474,0.88014
149,0.99471,0.92758
