res_expno,res_lbl_score,res_tst_score
0,0.92531,0.86069
1,0.95944,0.8396
2,0.93988,0.85196
3,0.90548,0.91525
4,0.9483,0.8251
5,0.93648,0.86883
6,0.92365,0.85118
7,0.95119,0.82458
8,0.90545,0.90672
9,0.94264,0.86219
10,0.92823,0.85226
11,0.96228,0.81676
12,0.92291,0.86911
13,0.95735,0.83412
14,0.93578,0.85784
15,0.92358,0.85131
16,0.94099,0.86155
17,0.92028,0.81618
18,0.91844,0.9009
19,0.9663,0.87195
20,0.94193,0.83725
21,0.93765,0.87428
22,0.9404,0.86258
23,0.93983,0.86344
24,0.93746,0.86706
25,0.94059,0.87549
26,0.93626,0.876
27,0.91023,0.88699
28,0.91812,0.85062
29,0.94962,0.84916
30,0.94073,0.85558
31,0.92919,0.87738
32,0.92257,0.87305
33,0.91665,0.88053
34,0.91111,0.86515
35,0.93848,0.8709
36,0.9452,0.83574
37,0.93056,0.87396
38,0.92774,0.84298
39,0.92317,0.87607
40,0.94383,0.84705
41,0.94549,0.83432
42,0.94239,0.85127
43,0.92699,0.90039
44,0.91763,0.88542
45,0.92727,0.86191
46,0.91757,0.87081
47,0.91913,0.85308
48,0.92955,0.85203
49,0.93628,0.8827
50,0.92021,0.89673
51,0.95009,0.84138
52,0.92467,0.88406
53,0.92486,0.86803
54,0.96653,0.85181
55,0.94897,0.84097
56,0.94061,0.85069
57,0.9712,0.84015
58,0.92755,0.89134
59,0.95853,0.81374
60,0.92672,0.89287
61,0.98454,0.81627
62,0.93453,0.87172
63,0.96229,0.84556
64,0.94457,0.84937
65,0.94869,0.8598
66,0.9515,0.83936
67,0.9392,0.84018
68,0.9374,0.89776
69,0.93707,0.86685
70,0.9417,0.86071
71,0.91904,0.86863
72,0.92754,0.88464
73,0.90613,0.88501
74,0.93705,0.87342
75,0.91521,0.85799
76,0.93956,0.88229
77,0.92088,0.90455
78,0.91812,0.88257
79,0.92974,0.86588
80,0.92577,0.89212
81,0.92545,0.83826
82,0.93772,0.87189
83,0.94535,0.84765
84,0.94824,0.86547
85,0.91483,0.85086
86,0.926,0.87581
87,0.95614,0.84127
88,0.9213,0.89806
89,0.90374,0.86991
90,0.94116,0.84504
91,0.94709,0.87327
92,0.96837,0.84225
93,0.90709,0.87792
94,0.93323,0.83703
95,0.95241,0.87893
96,0.92168,0.86626
97,0.92993,0.87051
98,0.95394,0.83389
99,0.93808,0.81473
100,0.94739,0.85879
101,0.94367,0.83712
102,0.87786,0.907
103,0.90584,0.87426
104,0.90927,0.86361
105,0.91758,0.86211
106,0.93588,0.8913
107,0.9663,0.82256
108,0.96507,0.84399
109,0.9295,0.8692
110,0.91592,0.87505
111,0.97692,0.83932
112,0.91933,0.886
113,0.92559,0.85261
114,0.91134,0.8542
115,0.93375,0.86404
116,0.94621,0.87202
117,0.94505,0.88145
118,0.93391,0.85692
119,0.9366,0.87729
120,0.94657,0.84457
121,0.92945,0.85864
122,0.93453,0.86493
123,0.89622,0.89989
124,0.94023,0.80939
125,0.96048,0.85106
126,0.90913,0.87434
127,0.93953,0.86973
128,0.91748,0.87395
129,0.93273,0.86385
130,0.88339,0.90636
131,0.89164,0.85067
132,0.9592,0.83262
133,0.93468,0.86178
134,0.90685,0.88972
135,0.90974,0.87107
136,0.89788,0.89446
137,0.93128,0.8857
138,0.94742,0.84636
139,0.9102,0.89589
140,0.92356,0.85383
141,0.9395,0.83705
142,0.93095,0.87645
143,0.91853,0.871
144,0.93372,0.89285
145,0.92702,0.87477
146,0.94741,0.87488
147,0.94076,0.8637
148,0.95377,0.80261
149,0.89164,0.88813
