res_expno,res_lbl_score,res_tst_score
0,0.95174,0.94403
1,0.93833,0.92757
2,0.95527,0.94401
3,0.95006,0.95719
4,0.96186,0.93606
5,0.95749,0.90336
6,0.94188,0.9106
7,0.97775,0.90177
8,0.94816,0.94778
9,0.94718,0.92378
10,0.96374,0.90704
11,0.96729,0.89942
12,0.96128,0.9201
13,0.95525,0.91428
14,0.95281,0.93066
15,0.96385,0.92824
16,0.94917,0.92008
17,0.95388,0.91495
18,0.96685,0.92516
19,0.96498,0.92813
20,0.95536,0.91975
21,0.95973,0.92818
22,0.96188,0.91853
23,0.95367,0.93167
24,0.96407,0.93167
25,0.95473,0.93527
26,0.97224,0.93108
27,0.9475,0.92917
28,0.93341,0.96585
29,0.96614,0.93238
30,0.96091,0.92301
31,0.95565,0.9307
32,0.94888,0.90844
33,0.97002,0.94336
34,0.96197,0.921
35,0.93881,0.92768
36,0.97441,0.93587
37,0.9524,0.93309
38,0.95783,0.94584
39,0.96564,0.93421
40,0.97219,0.92038
41,0.94704,0.91495
42,0.97079,0.91491
43,0.93167,0.93587
44,0.9676,0.91747
45,0.95897,0.92324
46,0.94848,0.94151
47,0.95328,0.93262
48,0.95116,0.94785
49,0.96833,0.92747
50,0.93925,0.959
51,0.95871,0.91599
52,0.95653,0.94091
53,0.97033,0.92521
54,0.94948,0.93214
55,0.96589,0.95679
56,0.95473,0.90806
57,0.96348,0.9087
58,0.95684,0.92689
59,0.9774,0.89597
60,0.94578,0.94894
61,0.97714,0.92227
62,0.96581,0.93415
63,0.96888,0.90767
64,0.95133,0.94511
65,0.95438,0.92238
66,0.96147,0.91144
67,0.9699,0.91165
68,0.94785,0.94112
69,0.95907,0.90566
70,0.97666,0.93425
71,0.95504,0.94375
72,0.95232,0.92777
73,0.93272,0.92859
74,0.95779,0.92249
75,0.9677,0.93654
76,0.94958,0.9249
77,0.95321,0.92479
78,0.95129,0.94427
79,0.95977,0.89806
80,0.96595,0.96129
81,0.96894,0.93033
82,0.93573,0.93582
83,0.96543,0.91473
84,0.96232,0.93938
85,0.95029,0.93012
86,0.95182,0.92018
87,0.96682,0.92712
88,0.95611,0.90877
89,0.95373,0.94328
90,0.95286,0.90717
91,0.9612,0.92197
92,0.95749,0.92878
93,0.93237,0.96232
94,0.95834,0.93925
95,0.96606,0.90661
96,0.96755,0.92628
97,0.95128,0.92152
98,0.96312,0.92031
99,0.94603,0.91202
100,0.94465,0.92661
101,0.97315,0.93733
102,0.94126,0.93175
103,0.95317,0.92184
104,0.93326,0.93445
105,0.96051,0.91364
106,0.95388,0.92553
107,0.9835,0.88468
108,0.96813,0.902
109,0.95588,0.93158
110,0.95736,0.91879
111,0.96249,0.9028
112,0.95801,0.92172
113,0.95077,0.9416
114,0.95329,0.92492
115,0.95104,0.92727
116,0.96223,0.89983
117,0.9553,0.91564
118,0.95823,0.92208
119,0.9611,0.93735
120,0.94177,0.91769
121,0.95085,0.92408
122,0.94754,0.91799
123,0.94151,0.94981
124,0.95735,0.93091
125,0.97791,0.91596
126,0.94257,0.94205
127,0.98213,0.93227
128,0.9559,0.90308
129,0.94498,0.92714
130,0.95078,0.9551
131,0.94344,0.90976
132,0.97047,0.8995
133,0.95364,0.9294
134,0.9337,0.94216
135,0.9464,0.95562
136,0.94829,0.92775
137,0.96086,0.92583
138,0.95023,0.9123
139,0.95056,0.93699
140,0.97062,0.89287
141,0.96986,0.91282
142,0.95596,0.94711
143,0.9671,0.94694
144,0.96449,0.95422
145,0.94505,0.9545
146,0.94631,0.92525
147,0.96488,0.92221
148,0.97339,0.90123
149,0.95189,0.9361
