res_expno,res_lbl_score,res_tst_score
0,0.99474,0.94608
1,0.99474,0.93638
2,0.99474,0.93393
3,0.99474,0.95174
4,0.99474,0.91926
5,0.99471,0.90291
6,0.99474,0.91435
7,0.99474,0.89741
8,0.99474,0.94373
9,0.99474,0.89909
10,0.99474,0.89998
11,0.99474,0.88785
12,0.99474,0.91788
13,0.99474,0.92398
14,0.99474,0.92637
15,0.99474,0.9143
16,0.99474,0.92353
17,0.99474,0.90857
18,0.99474,0.92893
19,0.99474,0.90857
20,0.99471,0.90526
21,0.99474,0.93522
22,0.99474,0.91547
23,0.99474,0.9227
24,0.99474,0.9243
25,0.99474,0.92113
26,0.99471,0.93527
27,0.99474,0.90216
28,0.99474,0.94005
29,0.99474,0.93048
30,0.99474,0.92294
31,0.99474,0.95121
32,0.99474,0.89782
33,0.99474,0.92755
34,0.99474,0.90414
35,0.99471,0.92518
36,0.99474,0.92951
37,0.99474,0.92822
38,0.99474,0.94323
39,0.99474,0.91967
40,0.99474,0.91993
41,0.99474,0.90261
42,0.99474,0.89494
43,0.99474,0.91564
44,0.99474,0.90489
45,0.99474,0.92816
46,0.99474,0.92997
47,0.99474,0.92512
48,0.99474,0.93397
49,0.99474,0.93279
50,0.99474,0.94203
51,0.99474,0.91753
52,0.99474,0.92411
53,0.99474,0.91191
54,0.99474,0.93813
55,0.99474,0.94388
56,0.99474,0.92006
57,0.99474,0.91351
58,0.99474,0.91366
59,0.99474,0.89679
60,0.99474,0.94894
61,0.99474,0.92488
62,0.99471,0.92154
63,0.99474,0.88875
64,0.99474,0.92716
65,0.99474,0.91639
66,0.99474,0.88544
67,0.99474,0.88826
68,0.99474,0.92152
69,0.99474,0.90978
70,0.99471,0.93022
71,0.99474,0.93568
72,0.99474,0.93352
73,0.99474,0.93583
74,0.99474,0.90612
75,0.99474,0.90907
76,0.99474,0.92869
77,0.99474,0.9176
78,0.99474,0.9162
79,0.99474,0.89518
80,0.99474,0.93778
81,0.99474,0.92391
82,0.99474,0.9453
83,0.99474,0.90963
84,0.99474,0.92716
85,0.99474,0.92083
86,0.99471,0.91073
87,0.99474,0.90655
88,0.99474,0.91334
89,0.99474,0.95235
90,0.99474,0.90125
91,0.99474,0.93914
92,0.99474,0.92846
93,0.99465,0.9335
94,0.99474,0.92803
95,0.99474,0.91137
96,0.99474,0.91924
97,0.99474,0.91609
98,0.99474,0.93057
99,0.99474,0.891
100,0.99474,0.90881
101,0.99474,0.90159
102,0.99474,0.93147
103,0.99474,0.93076
104,0.99474,0.91965
105,0.99474,0.90442
106,0.99474,0.92617
107,0.99474,0.8706
108,0.99474,0.89076
109,0.99474,0.93298
110,0.99474,0.91766
111,0.99474,0.89574
112,0.99474,0.90866
113,0.99474,0.93759
114,0.99474,0.93373
115,0.99474,0.92426
116,0.99474,0.89931
117,0.99474,0.9251
118,0.99474,0.91952
119,0.99474,0.94233
120,0.99474,0.90993
121,0.99474,0.93602
122,0.99474,0.91432
123,0.99474,0.94397
124,0.99474,0.92421
125,0.99474,0.90091
126,0.99474,0.93595
127,0.99471,0.93794
128,0.99474,0.90765
129,0.99474,0.91096
130,0.99474,0.95026
131,0.99474,0.90392
132,0.99474,0.8983
133,0.99474,0.92982
134,0.99474,0.9481
135,0.99474,0.9396
136,0.99474,0.91241
137,0.99474,0.90999
138,0.99474,0.91655
139,0.99474,0.94257
140,0.99474,0.88335
141,0.99474,0.90554
142,0.99474,0.93496
143,0.99474,0.93251
144,0.99474,0.93559
145,0.99474,0.93429
146,0.99474,0.94673
147,0.99471,0.90784
148,0.99474,0.88007
149,0.99474,0.93477
