res_expno,res_lbl_score,res_tst_score
0,0.94621,0.94414
1,0.94582,0.92813
2,0.95149,0.94117
3,0.93976,0.96178
4,0.96239,0.93617
5,0.94699,0.90575
6,0.94283,0.90847
7,0.9578,0.90405
8,0.94287,0.94841
9,0.94665,0.92243
10,0.96014,0.91004
11,0.96754,0.90842
12,0.96497,0.92477
13,0.94475,0.91792
14,0.94919,0.93154
15,0.96142,0.92462
16,0.94791,0.92408
17,0.94036,0.9095
18,0.96909,0.93895
19,0.96268,0.92811
20,0.95991,0.92314
21,0.94816,0.93486
22,0.95873,0.92105
23,0.94149,0.93893
24,0.94982,0.93152
25,0.95314,0.93682
26,0.96594,0.94097
27,0.95018,0.92755
28,0.92589,0.96717
29,0.9504,0.93201
30,0.96557,0.92589
31,0.94294,0.94005
32,0.94091,0.90224
33,0.96371,0.94233
34,0.9593,0.9226
35,0.93737,0.93638
36,0.96355,0.94056
37,0.94395,0.93315
38,0.94095,0.95334
39,0.9629,0.93796
40,0.96554,0.92262
41,0.94512,0.91991
42,0.96758,0.91993
43,0.93283,0.94205
44,0.97081,0.92077
45,0.96035,0.93473
46,0.93928,0.94067
47,0.95261,0.9377
48,0.94424,0.94263
49,0.95946,0.93169
50,0.93498,0.95801
51,0.9544,0.91579
52,0.95104,0.93623
53,0.972,0.92193
54,0.96019,0.93583
55,0.96305,0.95719
56,0.945,0.90125
57,0.97033,0.90922
58,0.95861,0.92607
59,0.97765,0.90265
60,0.94251,0.95168
61,0.97832,0.92512
62,0.96284,0.9433
63,0.96591,0.90739
64,0.94924,0.952
65,0.95308,0.92387
66,0.95743,0.90722
67,0.96412,0.91456
68,0.94777,0.94414
69,0.95969,0.91361
70,0.98004,0.94181
71,0.9303,0.9486
72,0.9474,0.92678
73,0.93529,0.93464
74,0.95349,0.9195
75,0.9717,0.94013
76,0.94329,0.93518
77,0.95977,0.92445
78,0.94828,0.94457
79,0.95037,0.89627
80,0.96514,0.96885
81,0.96451,0.9287
82,0.92869,0.95131
83,0.96132,0.91278
84,0.95009,0.93779
85,0.94406,0.93231
86,0.94648,0.9335
87,0.96491,0.92723
88,0.9521,0.91329
89,0.94756,0.94375
90,0.9455,0.90747
91,0.95703,0.92783
92,0.95442,0.92951
93,0.93064,0.9576
94,0.95806,0.94016
95,0.96562,0.91346
96,0.96628,0.92727
97,0.95086,0.93346
98,0.96511,0.92199
99,0.94741,0.91303
100,0.94168,0.92635
101,0.96512,0.93343
102,0.9415,0.94229
103,0.95347,0.91781
104,0.92852,0.93778
105,0.94602,0.91663
106,0.94616,0.94112
107,0.98496,0.88953
108,0.96378,0.90041
109,0.96036,0.93057
110,0.95039,0.9192
111,0.95784,0.90629
112,0.95991,0.92536
113,0.94349,0.94166
114,0.94838,0.928
115,0.96004,0.93024
116,0.96738,0.90412
117,0.95856,0.91562
118,0.96341,0.92193
119,0.95339,0.94395
120,0.94571,0.91648
121,0.95335,0.92848
122,0.95918,0.93262
123,0.94077,0.95472
124,0.95641,0.93158
125,0.97233,0.91176
126,0.94066,0.94981
127,0.98389,0.92798
128,0.97213,0.92723
129,0.93436,0.92777
130,0.94962,0.95134
131,0.9449,0.90739
132,0.96819,0.90254
133,0.95551,0.93455
134,0.93448,0.94354
135,0.93255,0.96312
136,0.95006,0.94242
137,0.95518,0.92758
138,0.9464,0.912
139,0.944,0.93852
140,0.9706,0.89349
141,0.96773,0.91848
142,0.95542,0.9537
143,0.95841,0.94994
144,0.96936,0.95564
145,0.93551,0.95806
146,0.94764,0.93111
147,0.9646,0.9232
148,0.9721,0.89864
149,0.94612,0.93824
